ID;Projectgrootte;RegioS;Perioden;GereedgemeldeWoningenTotaal_1;Tot7Maanden_2;k_7Tot10Maanden_3;k_10Tot13Maanden_4;k_13Tot16Maanden_5;k_16Tot19Maanden_6;k_19Tot22Maanden_7;k_22Tot25Maanden_8;k_25Tot37Maanden_9;k_37MaandenOfMeer_10;NietTeBepalen_11;GemiddeldeDoorlooptijd_12
0;Totaal;Nederland;2012;51449.0;2183.0;2093.0;4914.0;8788.0;7347.0;8400.0;5388.0;8534.0;3769.0;33.0;24.0
1;Totaal;Nederland;2013;49526.0;1231.0;1565.0;4544.0;4787.0;6785.0;7230.0;8240.0;11758.0;3384.0;2.0;23.0
2;Totaal;Nederland;2014;43180.0;1167.0;2502.0;3698.0;4544.0;5868.0;5299.0;4204.0;12323.0;3571.0;4.0;24.0
3;Totaal;Nederland;2015;47596.0;1308.0;2715.0;6939.0;7072.0;6643.0;7036.0;5282.0;6780.0;3816.0;5.0;21.0
4;Totaal;Nederland;2016;54177.0;1133.0;1789.0;6247.0;8810.0;9994.0;9717.0;6245.0;6795.0;3442.0;5.0;21.0
5;Totaal;Nederland;2017;61489.0;974.0;2484.0;5520.0;11330.0;10089.0;7884.0;9362.0;9207.0;4636.0;3.0;22.0
6;Totaal;Noord-Nederland (LD);2012;3855.0;226.0;331.0;269.0;614.0;281.0;414.0;1044.0;411.0;264.0;1.0;21.0
7;Totaal;Noord-Nederland (LD);2013;4233.0;224.0;251.0;441.0;477.0;503.0;1010.0;665.0;439.0;222.0;1.0;20.0
8;Totaal;Noord-Nederland (LD);2014;3044.0;290.0;392.0;275.0;400.0;239.0;341.0;61.0;833.0;212.0;1.0;19.0
9;Totaal;Noord-Nederland (LD);2015;3513.0;345.0;476.0;760.0;466.0;195.0;152.0;454.0;613.0;51.0;1.0;17.0
10;Totaal;Noord-Nederland (LD);2016;4108.0;161.0;280.0;647.0;735.0;772.0;589.0;174.0;577.0;169.0;4.0;19.0
11;Totaal;Noord-Nederland (LD);2017;4671.0;186.0;430.0;969.0;616.0;741.0;428.0;226.0;695.0;380.0;0.0;20.0
12;Totaal;Oost-Nederland (LD);2012;11816.0;314.0;380.0;1552.0;2959.0;1890.0;792.0;1787.0;1354.0;767.0;21.0;20.0
13;Totaal;Oost-Nederland (LD);2013;10400.0;151.0;549.0;1035.0;1645.0;1485.0;1417.0;1462.0;1559.0;1097.0;0.0;22.0
14;Totaal;Oost-Nederland (LD);2014;10677.0;251.0;835.0;1565.0;1478.0;1455.0;1772.0;819.0;1878.0;623.0;1.0;20.0
