ID;Leeftijd;Regiokenmerken;Inwoners_1;Bijstandontvangers_2;Bijstandsdichtheid_3;Instroom_4;Instroom_5;Uitstroom_6;Uitstroom_7;UitstroomNaarWerk_8;UitstroomNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkNaReIntegratie_11;WerkNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
0;15 jaar of ouder;Nederland;14303940;513980;36.0;148130;23.0;130750;20.5;60120.0;10.0;173940.0;47280.0;16.5;128970.0;28.0;74.0;91450.0;6.5
1;15 jaar of ouder;Noord-Nederland (LD);1452070;57800;40.0;18660;25.0;15470;21.0;7920.0;11.0;24340.0;6520.0;17.5;19370.0;35.0;79.5;13860.0;9.5
2;15 jaar of ouder;Oost-Nederland (LD);2990270;96260;32.0;29150;24.0;23770;19.5;11680.0;10.5;34950.0;9490.0;17.0;26540.0;30.0;76.0;20780.0;7.0
3;15 jaar of ouder;West-Nederland (LD);6774760;268300;39.5;71690;21.5;61690;18.5;29190.0;10.0;84020.0;22770.0;16.0;61730.0;26.0;73.5;29240.0;4.5
4;15 jaar of ouder;Zuid-Nederland (LD);3086840;91270;29.5;26890;23.5;23310;20.0;11180.0;10.5;28690.0;8390.0;17.5;21280.0;25.5;74.0;27370.0;9.0
5;15 jaar of ouder;Groningen (PV);499160;23510;47.0;7370;24.5;6210;20.5;3140.0;11.0;10030.0;2460.0;16.5;8160.0;36.5;81.5;5570.0;11.0
6;15 jaar of ouder;Friesland (PV);539870;21160;39.0;6660;25.0;5500;20.5;2780.0;10.5;7260.0;2030.0;18.5;5680.0;28.0;78.5;4220.0;8.0
7;15 jaar of ouder;Drenthe (PV);413050;13130;32.0;4630;26.5;3750;21.5;2010.0;12.0;7050.0;2030.0;18.0;5530.0;44.5;78.5;4070.0;10.0
8;15 jaar of ouder;Overijssel (PV);948540;32410;34.0;9450;23.0;8050;20.0;4000.0;10.5;12390.0;3300.0;18.0;9660.0;33.0;78.0;7500.0;8.0
9;15 jaar of ouder;Flevoland (PV);328520;12340;37.5;3990;25.0;3270;20.5;1640.0;11.0;4800.0;1410.0;18.5;3640.0;32.5;76.0;1240.0;4.0
10;15 jaar of ouder;Gelderland (PV);1713220;51510;30.0;15710;24.5;12450;19.5;6040.0;10.0;17760.0;4780.0;16.5;13240.0;28.0;74.5;12030.0;7.0
11;15 jaar of ouder;Utrecht (PV);1056730;30560;29.0;8820;23.0;7450;19.5;3510.0;10.0;8820.0;2620.0;17.5;6630.0;24.0;75.0;3930.0;3.5
12;15 jaar of ouder;Noord-Holland (PV);2356270;90180;38.5;23410;21.0;20090;18.0;9570.0;9.5;32970.0;7970.0;15.5;22560.0;28.5;68.5;9430.0;4.0
13;15 jaar of ouder;Zuid-Holland (PV);3039800;138760;45.5;36640;21.5;31860;18.5;14960.0;9.5;39030.0;11270.0;16.5;30120.0;24.5;77.0;13570.0;4.5
14;15 jaar of ouder;Zeeland (PV);321960;8800;27.5;2820;25.0;2290;20.5;1150.0;11.0;3210.0;910.0;20.0;2440.0;30.0;76.0;2310.0;7.0
15;15 jaar of ouder;Noord-Brabant (PV);2118290;58310;27.5;17520;24.0;14890;20.0;7200.0;10.5;16720.0;5450.0;18.0;12230.0;23.0;73.0;17280.0;8.0
16;15 jaar of ouder;Limburg (PV);968560;32960;34.0;9380;22.5;8420;20.0;3980.0;10.0;11970.0;2940.0;17.0;9050.0;30.0;75.5;10080.0;10.5
17;15 jaar of ouder;Oost-Groningen (CR);125740;5470;43.5;1970;27.5;1510;21.0;710.0;10.0;3630.0;810.0;15.5;3030.0;57.5;83.5;2650.0;21.0
18;15 jaar of ouder;Delfzijl en omgeving (CR);39860;1890;47.5;660;26.0;560;22.0;270.0;11.0;460.0;130.0;14.5;400.0;22.5;86.5;450.0;11.5
19;15 jaar of ouder;Overig Groningen (CR);333560;16150;48.5;4750;23.0;4150;20.5;2160.0;11.0;5930.0;1510.0;17.0;4730.0;30.5;80.0;2470.0;7.5
20;15 jaar of ouder;Noord-Friesland (CR);271060;11760;43.5;3600;24.5;2890;19.5;1400.0;10.0;3600.0;900.0;16.0;2840.0;25.0;79.0;2150.0;8.0
21;15 jaar of ouder;Zuidwest-Friesland (CR);112690;3680;32.5;1110;23.5;980;20.5;520.0;11.5;1530.0;370.0;16.5;1190.0;33.5;78.0;700.0;6.0
22;15 jaar of ouder;Zuidoost-Friesland (CR);156120;5720;36.5;1950;26.5;1640;22.0;860.0;12.0;2130.0;760.0;24.0;1640.0;30.0;77.0;1380.0;9.0
23;15 jaar of ouder;Noord-Drenthe (CR);160730;4530;28.0;1900;30.5;1370;22.0;760.0;13.0;1730.0;520.0;17.5;1170.0;27.5;68.0;1250.0;8.0
24;15 jaar of ouder;Zuidoost-Drenthe (CR);142740;5750;40.5;1650;22.5;1490;20.5;790.0;11.0;2640.0;890.0;20.0;2170.0;39.5;82.0;1600.0;11.0
25;15 jaar of ouder;Zuidwest-Drenthe (CR);109580;2860;26.0;1090;28.0;890;23.0;460.0;12.5;2690.0;630.0;16.5;2190.0;81.5;81.5;1220.0;11.0
26;15 jaar of ouder;Noord-Overijssel (CR);298110;7930;26.5;2430;24.5;2110;21.0;1140.0;12.0;2920.0;1200.0;27.0;2190.0;29.5;75.0;2070.0;7.0
27;15 jaar of ouder;Zuidwest-Overijssel (CR);128230;4190;32.5;1290;24.5;1020;19.5;480.0;9.5;2040.0;380.0;10.0;1600.0;41.0;78.0;1140.0;9.0
28;15 jaar of ouder;Twente (CR);522200;20290;39.0;5740;22.5;4930;19.5;2370.0;10.5;7430.0;1720.0;17.0;5880.0;32.5;79.0;4300.0;8.0
29;15 jaar of ouder;Veluwe (CR);559620;12520;22.5;4360;27.5;3480;22.0;1630.0;11.0;6940.0;1940.0;15.5;5370.0;46.5;77.5;3170.0;5.5
30;15 jaar of ouder;Achterhoek (CR);338210;8110;24.0;2580;25.0;2120;20.5;1020.0;10.5;4620.0;1210.0;17.5;3470.0;45.5;75.0;3020.0;9.0
31;15 jaar of ouder;Arnhem/Nijmegen (CR);617860;26350;42.5;7460;23.0;5750;18.0;2810.0;9.5;4800.0;1370.0;17.0;3330.0;14.0;69.5;4640.0;7.5
32;15 jaar of ouder;Zuidwest-Gelderland (CR);197530;4530;23.0;1320;23.0;1110;19.5;580.0;11.0;1400.0;260.0;13.5;1080.0;26.0;77.0;1210.0;6.0
33;15 jaar of ouder;Utrecht (CR);1056730;30560;29.0;8820;23.0;7450;19.5;3510.0;10.0;8820.0;2620.0;17.5;6630.0;24.0;75.0;3930.0;3.5
34;15 jaar of ouder;Kop van Noord-Holland (CR);312500;7440;24.0;2250;24.0;1830;19.5;980.0;11.0;2690.0;860.0;22.5;2080.0;30.5;77.5;1450.0;4.5
35;15 jaar of ouder;Alkmaar en omgeving (CR);203830;4960;24.5;1560;25.0;1210;19.5;620.0;11.0;1570.0;700.0;24.5;1160.0;25.5;73.5;890.0;4.5
36;15 jaar of ouder;IJmond (CR);165370;4310;26.0;1270;23.5;1140;21.0;530.0;10.5;1790.0;430.0;15.0;1470.0;36.5;82.0;710.0;4.5
37;15 jaar of ouder;Agglomeratie Haarlem (CR);192640;5280;27.5;1360;21.0;1080;17.0;500.0;8.5;630.0;150.0;9.0;480.0;10.0;76.5;830.0;4.5
38;15 jaar of ouder;Zaanstreek (CR);141230;5100;36.0;1360;21.5;1260;20.0;590.0;10.0;1280.0;520.0;23.5;930.0;20.0;72.5;480.0;3.5
39;15 jaar of ouder;Groot-Amsterdam (CR);1132880;57670;51.0;14170;20.0;12360;17.5;5780.0;9.5;22900.0;4760.0;13.5;14750.0;30.0;64.5;4440.0;4.0
40;15 jaar of ouder;Het Gooi en Vechtstreek (CR);207810;5430;26.0;1450;22.0;1210;18.5;580.0;9.5;2100.0;560.0;18.0;1690.0;34.5;80.5;630.0;3.0
41;15 jaar of ouder;Agglomeratie Leiden en Bollenstreek (CR);354010;8260;23.5;2520;24.5;2000;19.5;950.0;10.0;2410.0;940.0;22.5;1800.0;24.0;74.5;1810.0;5.0
42;15 jaar of ouder;Agglomeratie 's-Gravenhage (CR);705890;41040;58.0;10530;21.0;9150;18.0;4350.0;9.5;15160.0;3600.0;13.5;11750.0;33.0;77.5;2660.0;4.0
