ID;SelectieEersteJaar;SelectieTweedeJaar;Perioden;Koopkrachtverandering_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageVanCategorieInEersteJaar_8;PercentageAchteruit_9
0;310;310;1977-1979;2.2;-11.0;-2.1;2.2;8.5;19.0;100;100.0;34.0
1;310;310;1979-1981;-2.0;-17.0;-7.1;-2.0;3.0;12.0;100;100.0;63.0
2;310;310;1981-1983;-2.3;-16.0;-7.2;-2.3;2.8;13.0;100;100.0;63.0
3;310;310;1983-1985;-0.5;-14.0;-5.0;-0.5;4.9;15.0;100;100.0;53.0
4;310;310;1984-1985;1.6;-19.0;-4.8;1.6;9.8;25.0;100;100.0;43.0
5;310;310;1985-1986;4.2;-16.0;-2.2;4.2;12.3;28.0;100;100.0;32.0
6;310;310;1985-1987;4.2;-10.0;-0.7;4.2;10.3;19.0;100;100.0;28.0
7;310;310;1986-1987;3.9;-16.0;-2.8;3.9;13.1;29.0;100;100.0;32.0
8;310;310;1987-1988;1.5;-18.0;-4.4;1.5;9.6;24.0;100;100.0;42.0
9;310;310;1987-1989;2.3;-10.0;-2.1;2.3;8.1;17.0;100;100.0;34.0
10;310;310;1988-1989;2.7;-15.0;-2.8;2.7;10.8;26.0;100;100.0;34.0
11;310;310;1989-1990;3.7;-16.0;-3.0;3.7;12.2;26.0;100;100.0;33.0
12;310;310;1989-1991;2.4;-11.0;-2.2;2.4;8.5;18.0;100;100.0;35.0
13;310;310;1990-1991;0.7;-18.0;-4.7;0.7;8.5;23.0;100;100.0;46.0
14;310;310;1991-1992;0.5;-17.0;-4.7;0.5;7.7;21.0;100;100.0;44.0
15;310;310;1991-1993;0.8;-13.0;-3.6;0.8;6.1;14.0;100;100.0;42.0
16;310;310;1992-1993;1.0;-18.0;-4.8;1.0;7.7;20.0;100;100.0;42.0
17;310;310;1993-1994;0.0;-18.0;-5.6;0.0;7.5;21.0;100;100.0;50.0
18;310;310;1993-1995;0.5;-12.0;-3.8;0.5;5.9;15.0;100;100.0;46.0
19;310;310;1994-1995;1.0;-17.0;-4.6;1.0;8.6;23.0;100;100.0;42.0
20;310;310;1995-1996;1.3;-17.0;-4.4;1.3;8.5;22.0;100;100.0;41.0
21;310;310;1995-1997;1.3;-12.0;-3.1;1.3;6.8;16.0;100;100.0;39.0
22;310;310;1996-1997;1.5;-16.0;-4.5;1.5;9.6;23.0;100;100.0;41.0
23;310;310;1997-1998;2.8;-15.0;-3.4;2.8;10.1;24.0;100;100.0;35.0
24;310;310;1997-1999;1.9;-11.0;-2.6;1.9;7.6;17.0;100;100.0;36.0
25;310;310;1998-1999;1.2;-17.0;-4.6;1.2;9.7;25.0;100;100.0;40.0
26;310;310;1999-2000;2.0;-16.0;-3.6;2.0;11.2;27.0;100;100.0;37.0
27;310;301;1977-1979;1.3;-15.0;-2.0;1.3;4.2;11.0;10;10.0;35.0
28;310;301;1979-1981;-2.1;-19.0;-6.7;-2.1;0.5;10.0;11;11.0;72.0
29;310;301;1981-1983;-2.7;-16.0;-5.9;-2.7;0.2;6.0;11;11.0;74.0
30;310;301;1983-1985;-2.2;-19.0;-7.1;-2.2;2.3;11.0;13;13.0;66.0
31;310;301;1984-1985;-1.0;-29.0;-6.1;-1.0;5.5;19.0;15;15.0;56.0
