ID;BedrijfstakkenBranchesSBI2008;Perioden;RecreatieInstellingen_1;WerkzamePersonen_2;ArbeidsvolumeWerkzamePersonen_3;TotaalBaten_4;Bedrijfsopbrengsten_5;OverigeBaten_6;TotaalLasten_7;PersoneelInLoondienst_8;Afschrijvingen_9;OverigeLasten_10
0;92009 Exploitatie van speelautomaten;2018;144;4200;2945;507;91;9;417;30;17;53
1;92009 Exploitatie van speelautomaten;2020;157;3958;3233;319;85;15;319;30;20;50
2;92001 Loterijen en kansspelen;2018;9;6345;4377;2737;100;0;2480;11;2;87
3;92001 Loterijen en kansspelen;2020;11;5747;4385;2434;99;1;2328;8;3;89
