ID;Bedrijfsgroep;Geslacht;Dienstvorm;Personen_1
0;0;Totaal mannen en vrouwen;Totaal van alle dienstvormen;3185816
1;0;Totaal mannen en vrouwen;Staat;81334
2;0;Totaal mannen en vrouwen;Provincie;3990
3;0;Totaal mannen en vrouwen;Gemeente;112456
4;0;Totaal mannen en vrouwen;Waterschap;4129
5;0;Totaal mannen en vrouwen;Particulier;2983907
6;0;Mannen;Totaal van alle dienstvormen;2418237
7;0;Mannen;Staat;69912
8;0;Mannen;Provincie;3258
9;0;Mannen;Gemeente;90714
10;0;Mannen;Waterschap;4075
11;0;Mannen;Particulier;2250278
12;0;Vrouwen;Totaal van alle dienstvormen;767579
13;0;Vrouwen;Staat;11422
14;0;Vrouwen;Provincie;732
15;0;Vrouwen;Gemeente;21742
16;0;Vrouwen;Waterschap;54
17;0;Vrouwen;Particulier;733629
18;111;Totaal mannen en vrouwen;Totaal van alle dienstvormen;3496
19;111;Totaal mannen en vrouwen;Staat;0
20;111;Totaal mannen en vrouwen;Provincie;0
21;111;Totaal mannen en vrouwen;Gemeente;5
22;111;Totaal mannen en vrouwen;Waterschap;0
23;111;Totaal mannen en vrouwen;Particulier;3491
24;111;Mannen;Totaal van alle dienstvormen;3453
25;111;Mannen;Staat;0
26;111;Mannen;Provincie;0
27;111;Mannen;Gemeente;5
28;111;Mannen;Waterschap;0
29;111;Mannen;Particulier;3448
30;111;Vrouwen;Totaal van alle dienstvormen;43
31;111;Vrouwen;Staat;0
32;111;Vrouwen;Provincie;0
33;111;Vrouwen;Gemeente;0
34;111;Vrouwen;Waterschap;0
35;111;Vrouwen;Particulier;43
36;301;Totaal mannen en vrouwen;Totaal van alle dienstvormen;24319
37;301;Totaal mannen en vrouwen;Staat;282
38;301;Totaal mannen en vrouwen;Provincie;0
39;301;Totaal mannen en vrouwen;Gemeente;123
40;301;Totaal mannen en vrouwen;Waterschap;0
41;301;Totaal mannen en vrouwen;Particulier;23914
42;301;Mannen;Totaal van alle dienstvormen;22881
43;301;Mannen;Staat;275
44;301;Mannen;Provincie;0
45;301;Mannen;Gemeente;115
46;301;Mannen;Waterschap;0
47;301;Mannen;Particulier;22491
48;301;Vrouwen;Totaal van alle dienstvormen;1438
49;301;Vrouwen;Staat;7
50;301;Vrouwen;Provincie;0
51;301;Vrouwen;Gemeente;8
52;301;Vrouwen;Waterschap;0
53;301;Vrouwen;Particulier;1423
54;302;Totaal mannen en vrouwen;Totaal van alle dienstvormen;3251
55;302;Totaal mannen en vrouwen;Staat;148
56;302;Totaal mannen en vrouwen;Provincie;0
57;302;Totaal mannen en vrouwen;Gemeente;10
58;302;Totaal mannen en vrouwen;Waterschap;0
59;302;Totaal mannen en vrouwen;Particulier;3093
60;302;Mannen;Totaal van alle dienstvormen;2856
61;302;Mannen;Staat;110
62;302;Mannen;Provincie;0
63;302;Mannen;Gemeente;9
64;302;Mannen;Waterschap;0
65;302;Mannen;Particulier;2737
66;302;Vrouwen;Totaal van alle dienstvormen;395
67;302;Vrouwen;Staat;38
68;302;Vrouwen;Provincie;0
69;302;Vrouwen;Gemeente;1
70;302;Vrouwen;Waterschap;0
71;302;Vrouwen;Particulier;356
72;402;Totaal mannen en vrouwen;Totaal van alle dienstvormen;2853
73;402;Totaal mannen en vrouwen;Staat;7
74;402;Totaal mannen en vrouwen;Provincie;3
75;402;Totaal mannen en vrouwen;Gemeente;2736
76;402;Totaal mannen en vrouwen;Waterschap;0
77;402;Totaal mannen en vrouwen;Particulier;107
78;402;Mannen;Totaal van alle dienstvormen;2736
79;402;Mannen;Staat;6
80;402;Mannen;Provincie;3
81;402;Mannen;Gemeente;2625
82;402;Mannen;Waterschap;0
83;402;Mannen;Particulier;102
84;402;Vrouwen;Totaal van alle dienstvormen;117
85;402;Vrouwen;Staat;1
86;402;Vrouwen;Provincie;0
87;402;Vrouwen;Gemeente;111
88;402;Vrouwen;Waterschap;0
89;402;Vrouwen;Particulier;5
90;403;Totaal mannen en vrouwen;Totaal van alle dienstvormen;123934
91;403;Totaal mannen en vrouwen;Staat;287
92;403;Totaal mannen en vrouwen;Provincie;6
93;403;Totaal mannen en vrouwen;Gemeente;3437
94;403;Totaal mannen en vrouwen;Waterschap;16
95;403;Totaal mannen en vrouwen;Particulier;120188
96;403;Mannen;Totaal van alle dienstvormen;123490
97;403;Mannen;Staat;271
98;403;Mannen;Provincie;6
99;403;Mannen;Gemeente;3350
100;403;Mannen;Waterschap;16
101;403;Mannen;Particulier;119847
102;403;Vrouwen;Totaal van alle dienstvormen;444
103;403;Vrouwen;Staat;16
104;403;Vrouwen;Provincie;0
105;403;Vrouwen;Gemeente;87
106;403;Vrouwen;Waterschap;0
107;403;Vrouwen;Particulier;341
108;405;Totaal mannen en vrouwen;Totaal van alle dienstvormen;6684
109;405;Totaal mannen en vrouwen;Staat;2
110;405;Totaal mannen en vrouwen;Provincie;1
111;405;Totaal mannen en vrouwen;Gemeente;54
112;405;Totaal mannen en vrouwen;Waterschap;1
113;405;Totaal mannen en vrouwen;Particulier;6626
114;405;Mannen;Totaal van alle dienstvormen;6625
115;405;Mannen;Staat;2
116;405;Mannen;Provincie;1
117;405;Mannen;Gemeente;54
118;405;Mannen;Waterschap;1
119;405;Mannen;Particulier;6567
120;405;Vrouwen;Totaal van alle dienstvormen;59
121;405;Vrouwen;Staat;0
122;405;Vrouwen;Provincie;0
123;405;Vrouwen;Gemeente;0
124;405;Vrouwen;Waterschap;0
125;405;Vrouwen;Particulier;59
126;406;Totaal mannen en vrouwen;Totaal van alle dienstvormen;510
127;406;Totaal mannen en vrouwen;Staat;0
128;406;Totaal mannen en vrouwen;Provincie;0
129;406;Totaal mannen en vrouwen;Gemeente;6
130;406;Totaal mannen en vrouwen;Waterschap;0
131;406;Totaal mannen en vrouwen;Particulier;504
132;406;Mannen;Totaal van alle dienstvormen;505
133;406;Mannen;Staat;0
134;406;Mannen;Provincie;0
135;406;Mannen;Gemeente;5
136;406;Mannen;Waterschap;0
137;406;Mannen;Particulier;500
138;406;Vrouwen;Totaal van alle dienstvormen;5
139;406;Vrouwen;Staat;0
140;406;Vrouwen;Provincie;0
141;406;Vrouwen;Gemeente;1
142;406;Vrouwen;Waterschap;0
143;406;Vrouwen;Particulier;4
144;407;Totaal mannen en vrouwen;Totaal van alle dienstvormen;36403
145;407;Totaal mannen en vrouwen;Staat;939
146;407;Totaal mannen en vrouwen;Provincie;345
147;407;Totaal mannen en vrouwen;Gemeente;2783
148;407;Totaal mannen en vrouwen;Waterschap;1438
149;407;Totaal mannen en vrouwen;Particulier;30898
150;407;Mannen;Totaal van alle dienstvormen;36282
151;407;Mannen;Staat;906
152;407;Mannen;Provincie;343
153;407;Mannen;Gemeente;2778
154;407;Mannen;Waterschap;1438
155;407;Mannen;Particulier;30817
156;407;Vrouwen;Totaal van alle dienstvormen;121
157;407;Vrouwen;Staat;33
158;407;Vrouwen;Provincie;2
159;407;Vrouwen;Gemeente;5
160;407;Vrouwen;Waterschap;0
161;407;Vrouwen;Particulier;81
162;409;Totaal mannen en vrouwen;Totaal van alle dienstvormen;4754
163;409;Totaal mannen en vrouwen;Staat;13
164;409;Totaal mannen en vrouwen;Provincie;7
165;409;Totaal mannen en vrouwen;Gemeente;2683
166;409;Totaal mannen en vrouwen;Waterschap;20
167;409;Totaal mannen en vrouwen;Particulier;2031
168;409;Mannen;Totaal van alle dienstvormen;4752
169;409;Mannen;Staat;13
170;409;Mannen;Provincie;7
171;409;Mannen;Gemeente;2681
172;409;Mannen;Waterschap;20
173;409;Mannen;Particulier;2031
174;409;Vrouwen;Totaal van alle dienstvormen;2
175;409;Vrouwen;Staat;0
176;409;Vrouwen;Provincie;0
177;409;Vrouwen;Gemeente;2
178;409;Vrouwen;Waterschap;0
179;409;Vrouwen;Particulier;0
180;410;Totaal mannen en vrouwen;Totaal van alle dienstvormen;7534
181;410;Totaal mannen en vrouwen;Staat;607
182;410;Totaal mannen en vrouwen;Provincie;634
183;410;Totaal mannen en vrouwen;Gemeente;2422
184;410;Totaal mannen en vrouwen;Waterschap;776
185;410;Totaal mannen en vrouwen;Particulier;3095
186;410;Mannen;Totaal van alle dienstvormen;7519
187;410;Mannen;Staat;604
188;410;Mannen;Provincie;634
189;410;Mannen;Gemeente;2422
190;410;Mannen;Waterschap;776
191;410;Mannen;Particulier;3083
192;410;Vrouwen;Totaal van alle dienstvormen;15
193;410;Vrouwen;Staat;3
194;410;Vrouwen;Provincie;0
195;410;Vrouwen;Gemeente;0
196;410;Vrouwen;Waterschap;0
197;410;Vrouwen;Particulier;12
198;411;Totaal mannen en vrouwen;Totaal van alle dienstvormen;8337
199;411;Totaal mannen en vrouwen;Staat;0
200;411;Totaal mannen en vrouwen;Provincie;0
201;411;Totaal mannen en vrouwen;Gemeente;17
202;411;Totaal mannen en vrouwen;Waterschap;0
203;411;Totaal mannen en vrouwen;Particulier;8320
204;411;Mannen;Totaal van alle dienstvormen;8334
205;411;Mannen;Staat;0
206;411;Mannen;Provincie;0
207;411;Mannen;Gemeente;17
208;411;Mannen;Waterschap;0
209;411;Mannen;Particulier;8317
210;411;Vrouwen;Totaal van alle dienstvormen;3
211;411;Vrouwen;Staat;0
212;411;Vrouwen;Provincie;0
213;411;Vrouwen;Gemeente;0
214;411;Vrouwen;Waterschap;0
215;411;Vrouwen;Particulier;3
216;412;Totaal mannen en vrouwen;Totaal van alle dienstvormen;39320
217;412;Totaal mannen en vrouwen;Staat;3
218;412;Totaal mannen en vrouwen;Provincie;0
219;412;Totaal mannen en vrouwen;Gemeente;506
220;412;Totaal mannen en vrouwen;Waterschap;4
221;412;Totaal mannen en vrouwen;Particulier;38807
222;412;Mannen;Totaal van alle dienstvormen;39224
223;412;Mannen;Staat;3
224;412;Mannen;Provincie;0
225;412;Mannen;Gemeente;505
226;412;Mannen;Waterschap;4
227;412;Mannen;Particulier;38712
228;412;Vrouwen;Totaal van alle dienstvormen;96
229;412;Vrouwen;Staat;0
230;412;Vrouwen;Provincie;0
231;412;Vrouwen;Gemeente;1
232;412;Vrouwen;Waterschap;0
233;412;Vrouwen;Particulier;95
234;413;Totaal mannen en vrouwen;Totaal van alle dienstvormen;2462
235;413;Totaal mannen en vrouwen;Staat;2
236;413;Totaal mannen en vrouwen;Provincie;0
237;413;Totaal mannen en vrouwen;Gemeente;21
