ID;Eigendomsvorm;RegioS;Perioden;AantalWoningenBouwvergunningVerleend_1;GemiddeldeBouwkostenPerWoning_2;GemiddeldeInhoudPerWoning_3;GemiddeldeBouwkostenPerKubiekeMeter_4;GemiddeldeProjectgrootte_5
0;Huurwoningen;Nederland;1990;29043;38;294;129;24
1;Huurwoningen;Nederland;1991;27003;39;294;133;23
2;Huurwoningen;Nederland;1992;28680;40;294;137;23
3;Huurwoningen;Nederland;1993;26608;42;292;142;22
4;Huurwoningen;Nederland;1994;32726;43;293;148;27
5;Huurwoningen;Nederland;1995;34292;46;306;150;29
6;Huurwoningen;Nederland;1996;24722;48;313;155;27
7;Huurwoningen;Nederland;1997;21554;49;306;161;29
8;Huurwoningen;Nederland;1998;19452;52;320;161;32
9;Huurwoningen;Nederland;1999;14324;57;351;164;29
10;Huurwoningen;Nederland;2000;14311;61;351;173;30
11;Huurwoningen;Nederland;2001;11108;74;377;196;18
12;Huurwoningen;Nederland;2002;13159;78;380;205;26
13;Huurwoningen;Nederland;2003;15848;90;383;235;30
14;Huurwoningen;Nederland;2004;17300;80;351;229;31
15;Huurwoningen;Nederland;2005;18637;85;357;236;26
16;Huurwoningen;Nederland;2006;23917;86;369;233;25
17;Huurwoningen;Nederland;2007;23743;99;385;257;27
18;Huurwoningen;Nederland;2008;23741;99;385;258;26
19;Huurwoningen;Nederland;2009;25951;100;380;263;31
20;Huurwoningen;Nederland;2010;19397;100;380;263;29
21;Huurwoningen;Nederland;2011;17681;100;401;250;24
22;Huurwoningen;Nederland;2012;15484;94;365;259;23
23;Huurwoningen;Nederland;2013;10726;92;347;264;26
24;Huurwoningen;Nederland;2014;13704;86;365;236;27
25;Huurwoningen;Nederland;2015;17591;81;326;249;32
26;Huurwoningen;Nederland;2016;15846;85;334;255;29
27;Huurwoningen;Noord-Nederland (LD);1990;1783;42;316;134;19
28;Huurwoningen;Noord-Nederland (LD);1991;1973;41;293;141;18
29;Huurwoningen;Noord-Nederland (LD);1992;1827;40;288;138;14
30;Huurwoningen;Noord-Nederland (LD);1993;2341;42;296;143;19
31;Huurwoningen;Noord-Nederland (LD);1994;2617;44;295;150;20
32;Huurwoningen;Noord-Nederland (LD);1995;2504;48;313;152;21
33;Huurwoningen;Noord-Nederland (LD);1996;1778;48;316;153;20
34;Huurwoningen;Noord-Nederland (LD);1997;1579;50;290;171;22
35;Huurwoningen;Noord-Nederland (LD);1998;1280;53;329;163;22
36;Huurwoningen;Noord-Nederland (LD);1999;1035;59;332;177;19
37;Huurwoningen;Noord-Nederland (LD);2000;964;66;381;173;14
38;Huurwoningen;Noord-Nederland (LD);2001;1389;80;447;178;9
39;Huurwoningen;Noord-Nederland (LD);2002;1039;81;393;207;16
40;Huurwoningen;Noord-Nederland (LD);2003;1345;95;423;224;19
41;Huurwoningen;Noord-Nederland (LD);2004;1639;88;409;215;20
42;Huurwoningen;Noord-Nederland (LD);2005;1796;85;387;220;18
43;Huurwoningen;Noord-Nederland (LD);2006;2664;91;412;221;15
44;Huurwoningen;Noord-Nederland (LD);2007;2212;80;351;227;15
45;Huurwoningen;Noord-Nederland (LD);2008;2339;83;339;245;20
46;Huurwoningen;Noord-Nederland (LD);2009;2005;103;442;232;28
47;Huurwoningen;Noord-Nederland (LD);2010;1488;96;422;228;18
48;Huurwoningen;Noord-Nederland (LD);2011;1815;103;419;246;19
49;Huurwoningen;Noord-Nederland (LD);2012;1971;77;311;246;33
50;Huurwoningen;Noord-Nederland (LD);2013;940;95;357;266;19
51;Huurwoningen;Noord-Nederland (LD);2014;1582;93;380;245;16
52;Huurwoningen;Noord-Nederland (LD);2015;1047;90;365;246;16
53;Huurwoningen;Noord-Nederland (LD);2016;1664;63;250;253;22
54;Huurwoningen;Oost-Nederland (LD);1990;4866;37;291;126;22
55;Huurwoningen;Oost-Nederland (LD);1991;4754;39;299;131;19
56;Huurwoningen;Oost-Nederland (LD);1992;5250;40;297;133;20
57;Huurwoningen;Oost-Nederland (LD);1993;6022;42;296;142;21
58;Huurwoningen;Oost-Nederland (LD);1994;7084;42;292;145;29
59;Huurwoningen;Oost-Nederland (LD);1995;7373;44;288;153;27
60;Huurwoningen;Oost-Nederland (LD);1996;6022;47;300;158;28
61;Huurwoningen;Oost-Nederland (LD);1997;5144;48;289;165;26
62;Huurwoningen;Oost-Nederland (LD);1998;3644;50;307;164;29
63;Huurwoningen;Oost-Nederland (LD);1999;3120;54;347;155;28
64;Huurwoningen;Oost-Nederland (LD);2000;3524;53;322;164;34
65;Huurwoningen;Oost-Nederland (LD);2001;1759;66;361;183;17
66;Huurwoningen;Oost-Nederland (LD);2002;2226;74;341;217;18
67;Huurwoningen;Oost-Nederland (LD);2003;3227;81;360;226;25
68;Huurwoningen;Oost-Nederland (LD);2004;3423;80;353;228;21
69;Huurwoningen;Oost-Nederland (LD);2005;3613;85;364;234;24
70;Huurwoningen;Oost-Nederland (LD);2006;5147;84;366;229;22
71;Huurwoningen;Oost-Nederland (LD);2007;4837;93;376;248;25
72;Huurwoningen;Oost-Nederland (LD);2008;4547;96;376;255;21
73;Huurwoningen;Oost-Nederland (LD);2009;4958;98;373;264;22
74;Huurwoningen;Oost-Nederland (LD);2010;4553;100;393;255;27
75;Huurwoningen;Oost-Nederland (LD);2011;4173;95;404;236;21
76;Huurwoningen;Oost-Nederland (LD);2012;3679;96;383;252;23
77;Huurwoningen;Oost-Nederland (LD);2013;2675;94;371;252;22
78;Huurwoningen;Oost-Nederland (LD);2014;2663;85;382;222;20
79;Huurwoningen;Oost-Nederland (LD);2015;3256;88;374;235;23
80;Huurwoningen;Oost-Nederland (LD);2016;2728;87;356;245;21
81;Huurwoningen;West-Nederland (LD);1990;17385;38;293;130;33
82;Huurwoningen;West-Nederland (LD);1991;15652;40;291;136;31
83;Huurwoningen;West-Nederland (LD);1992;16186;42;292;142;30
84;Huurwoningen;West-Nederland (LD);1993;13065;41;284;146;28
85;Huurwoningen;West-Nederland (LD);1994;15786;45;293;153;33
86;Huurwoningen;West-Nederland (LD);1995;18372;47;311;152;36
87;Huurwoningen;West-Nederland (LD);1996;11564;50;321;155;33
88;Huurwoningen;West-Nederland (LD);1997;10337;52;315;165;35
89;Huurwoningen;West-Nederland (LD);1998;10744;52;313;166;38
90;Huurwoningen;West-Nederland (LD);1999;7807;58;350;165;38
91;Huurwoningen;West-Nederland (LD);2000;7625;62;352;177;38
92;Huurwoningen;West-Nederland (LD);2001;6457;74;350;211;29
93;Huurwoningen;West-Nederland (LD);2002;7388;78;377;206;38
94;Huurwoningen;West-Nederland (LD);2003;7656;96;397;241;38
95;Huurwoningen;West-Nederland (LD);2004;9007;77;329;235;49
96;Huurwoningen;West-Nederland (LD);2005;8224;86;355;242;32
97;Huurwoningen;West-Nederland (LD);2006;11673;82;345;239;42
98;Huurwoningen;West-Nederland (LD);2007;11504;103;389;265;42
99;Huurwoningen;West-Nederland (LD);2008;12351;104;395;263;45
100;Huurwoningen;West-Nederland (LD);2009;14446;101;370;272;48
101;Huurwoningen;West-Nederland (LD);2010;9401;99;358;276;38
102;Huurwoningen;West-Nederland (LD);2011;7758;103;394;263;27
103;Huurwoningen;West-Nederland (LD);2012;5312;99;365;272;26
104;Huurwoningen;West-Nederland (LD);2013;4978;88;318;276;33
105;Huurwoningen;West-Nederland (LD);2014;7043;82;344;240;40
106;Huurwoningen;West-Nederland (LD);2015;10393;76;299;255;48
107;Huurwoningen;West-Nederland (LD);2016;8423;87;338;258;45
108;Huurwoningen;Zuid-Nederland (LD);1990;5009;37;293;125;16
109;Huurwoningen;Zuid-Nederland (LD);1991;4624;37;299;124;17
110;Huurwoningen;Zuid-Nederland (LD);1992;5417;39;298;130;20
111;Huurwoningen;Zuid-Nederland (LD);1993;5180;41;302;135;16
112;Huurwoningen;Zuid-Nederland (LD);1994;7239;42;293;142;21
113;Huurwoningen;Zuid-Nederland (LD);1995;6043;43;311;140;22
114;Huurwoningen;Zuid-Nederland (LD);1996;5358;48;312;152;23
115;Huurwoningen;Zuid-Nederland (LD);1997;4494;45;311;146;25
