ID;Perioden;TotaalWatersportclubs_1;WatersportclubsMetJachthaven_2;WatersportclubsMetClubhuis_3;WatersportclubsMetClubhuisInEigendom_4;InLoondienst_5;NietInLoondienst_6;WerkzamePersonenInLoondienst_7;ArbeidsvolumeWerkzPersInLoondienst_8;WatersportclubsMetVrijwilligers_9;ArbeidsurenVrijwilligersPerWeek_10;TotaalBaten_11;ContributieVerhuurLesgelden_12;OverigeBaten_13;TotaalLasten_14;LonenEnSocialeLasten_15;PersoneelNietInLoondienst_16;Huisvestingskosten_17;OnderhoudGebouwenTerreinen_18;RenteEnAfschrijving_19;OverigeLasten_20
0;1994;955;;;;11;10;;130;55;;32;76;24;28;11;1;17;10;19;42
1;1997;950;;;;9;3;;110;67;;30;76;24;28;11;1;19;13;19;37
2;2000;1070;;;;9;3;;120;72;;36;73;27;33;10;2;20;11;16;41
3;2003;1080;;;;8;4;;120;72;;47;73;27;43;9;2;18;14;16;41
4;2006;1050;;;;7;2;;100;72;;47;72;28;43;7;2;21;16;14;40
5;2009;1105;;;;6;3;;90;73;;51;71;29;46;7;2;20;14;14;42
6;2012;1110;;;;6;2;;90;74;;54;72;28;50;7;2;21;15;12;43
7;2015;1125;35.0;57.0;48.0;6;3;140.0;95;82;63.0;55;78;22;51;8;2;21;12;17;39
8;2018;1145;38.0;56.0;47.0;6;6;130.0;90;82;57.0;60;74;26;55;8;4;20;13;16;39
9;2020;1140;41.0;59.0;50.0;6;7;140.0;100;86;56.0;63;78;22;57;8;4;22;16;17;33
10;2021;1160;39.0;58.0;50.0;7;6;194.0;125;86;64.0;63;80;20;57;10;2;19;16;18;36
