ID;SeasonalAndWorkingDayAdjustment;Periods;GrossDomesticProduct_1;GrossOperatingSurplus_2;GrossNationalIncome_3;GrossDisposableIncome_4;GrossSaving_5;NetLendingOrNetBorrowing_6;ValueAdded_7;GrossOperatingSurplus_8;GrossFixedCapitalFormation_9;CompensationOfEmployees_10;FinalConsumptionExpenditure_11;GrossFixedCapitalFormation_12;TotalRevenue_13;TotalExpenditure_14;BalanceGeneralGovernmentSectorEMU_15;CompensationOfEmployees_16;PropertyIncome_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;AdjustmChangeInPensionEntitlements_20;FinalConsumptionExpenditure_21;GrossFixedCapitalFormation_22;PropertyIncome_23;CurrentTaxesOnIncomeAndWealth_24;NetSocialContributions_25;OtherCurrentTransfers_26;AdjustmChangeInPensionEntitlements_27;GrossOperatingSurplus_28;GrossDisposableIncome_29;GrossSaving_30;ImportsFromTheRestOfTheWorld_31;ReceivedPrimaryIncome_32;ReceivedCurrentTransfers_33;AdjustmChangeInPensionEntitlements_34;ReceivedCapitalTransfers_35;ExportsToTheRestOfTheWorld_36;PaidPrimaryIncome_37;PaidCurrentTransfers_38;AdjustmChangeInPensionEntitlements_39;PaidCapitalTransfers_40
0;Original, unadjusted data;1999 1st quarter;101107;42382;99847;98248;26807;4156;57653;22915;11052;35484;20342;3504;45271;44825;446;49268;9416;16323;4326;3528;51083;7960;4101;6952;25026;4630;0;12059;50683;3128;51969;19520;2687;16;393;59107;18260;1088;0;283
1;Original, unadjusted data;1999 2nd quarter;104719;36140;104072;102911;27414;4711;58370;17353;12520;41511;22589;3851;47052;48591;-1539;58154;12132;19939;4373;4056;52894;7966;4243;7069;28350;4119;0;12170;62987;14149;55200;19468;2199;14;524;62013;18821;1038;0;241
2;Original, unadjusted data;1999 3rd quarter;103155;43033;102913;101506;27386;3410;58472;23014;10808;35963;20365;3935;44465;44186;279;49653;10712;17267;4491;3928;53738;6206;4498;6901;25464;4273;0;12861;53848;4038;57103;19510;2451;17;592;62515;19268;1044;0;253
3;Original, unadjusted data;1999 4th quarter;111162;47034;110593;109137;32818;4786;61926;25847;12479;36654;22814;4520;50422;48420;2002;52489;9928;18245;4556;3529;53488;7257;4844;7078;27036;4390;0;13132;55002;5043;62739;19739;2456;17;399;69694;19170;1000;0;269
4;Original, unadjusted data;2000 1st quarter;109129;45288;106789;104925;27874;2886;62072;23845;11067;38865;21916;3748;46703;46969;-266;53725;10444;17050;4753;3911;55124;8016;5248;7464;26499;4401;0;13338;55698;4485;62504;25699;2900;11;461;69689;23359;1036;0;378
5;Original, unadjusted data;2000 2nd quarter;113173;38499;112973;111225;30475;4973;63200;18735;12061;44983;24308;4084;52048;50950;1098;62928;13193;20842;4868;4492;56433;8379;5471;7590;30968;4554;0;12886;66134;14193;65966;31379;2778;9;616;73194;31179;1030;0;319
6;Original, unadjusted data;2000 3rd quarter;111016;46751;111942;110147;31386;7133;63839;25264;13051;39099;21929;4062;46827;46096;731;53695;11563;17923;4884;4494;56820;7445;5559;7410;27346;4596;0;13810;56964;4638;66375;38958;2818;12;697;74750;39884;1023;0;337
7;Original, unadjusted data;2000 4th quarter;118873;50124;116838;114885;33414;5751;66514;27654;12060;39470;24551;5224;54951;51378;3573;56274;10099;18696;4924;4155;56910;7005;5586;7595;29406;4659;0;14084;56831;4076;72961;34169;2939;10;466;82816;32134;986;0;361
8;Original, unadjusted data;2001 1st quarter;118367;49588;115042;113168;31417;4293;68630;28350;12214;40988;23875;4255;50298;50961;-663;56750;8881;17955;5260;2866;57861;8329;3870;6730;26611;4416;0;12500;59719;4724;67484;29982;2993;15;243;76915;26657;1119;0;314
9;Original, unadjusted data;2001 2nd quarter;121698;42269;119400;117602;31449;4261;69452;22570;12473;47418;26426;4498;54464;55328;-864;66509;12266;22088;5265;2842;59718;9004;4058;7936;28988;4330;0;12122;72938;16062;68603;26366;2809;9;315;77000;24068;1011;0;278
10;Original, unadjusted data;2001 3rd quarter;117722;48916;115622;113654;29902;3445;68047;27300;11292;41197;23923;4620;50029;50741;-712;56715;10600;18932;5561;3208;59814;7181;3622;7654;25915;4586;0;13250;63281;6675;67169;35529;3002;15;359;74764;33429;1034;0;287
11;Original, unadjusted data;2001 4th quarter;125154;52121;120706;118713;31651;3298;69809;29171;13288;41329;26704;5572;55808;55828;-20;59124;8878;19582;6031;2842;60346;8783;3283;8084;27937;5072;0;13088;62327;4823;67688;34617;2951;12;242;77373;30169;958;0;302
12;Original, unadjusted data;2002 1st quarter;122927;50354;120423;118553;31412;4834;70521;28477;11804;42733;26211;4840;52224;53936;-1712;59818;9588;19340;5612;3868;60914;9069;4004;7943;28889;4665;0;12474;61331;4285;63522;25874;3049;16;174;72680;23370;1179;0;240
13;Original, unadjusted data;2002 2nd quarter;126957;43247;122077;120054;28530;1953;71975;22579;12298;49928;28931;5225;55237;58892;-3655;70201;13782;23477;5812;4111;62584;8974;4261;10161;29747;4902;0;12497;76698;18225;66573;30008;3119;9;216;75446;25128;1096;0;208
14;Original, unadjusted data;2002 3rd quarter;123183;52106;120384;118779;29630;4166;71895;29992;11207;42454;26259;5182;49831;53585;-3754;58974;11469;19871;6053;4345;62874;7960;3971;8148;28283;5054;0;13703;64614;6085;65906;29494;2738;16;614;74888;26695;1133;0;218
15;Original, unadjusted data;2002 4th quarter;129834;53726;125533;123535;31344;4242;72809;30656;11358;42817;29334;6158;56698;58792;-2094;61884;9582;20310;6217;3959;62842;7965;3694;9119;29275;5313;0;13973;64565;5682;68752;29287;3003;15;175;79254;24986;1005;0;229
16;Original, unadjusted data;2003 1st quarter;126858;52808;123207;121232;30450;4342;72523;29832;10945;43352;27815;5058;53758;56607;-2849;60851;8915;20278;6084;4312;62950;9211;3932;7626;30623;5260;0;13226;61913;3275;65499;25994;3237;17;216;75372;22343;1262;0;324
17;Original, unadjusted data;2003 2nd quarter;129628;43796;127508;125394;30592;4442;73005;21948;12107;51601;30643;5371;56453;61371;-4918;72474;12988;24780;6048;4905;64148;9148;3707;9562;33353;5373;0;12898;77193;17950;66278;27489;3193;11;277;74954;25369;1079;0;284
18;Original, unadjusted data;2003 3rd quarter;125400;51795;125283;122957;30831;6229;70863;28076;10115;43259;27933;5638;50169;56501;-6332;60269;10866;21308;6220;4876;64176;7654;3744;7811;29373;5394;0;14242;66583;7283;65590;29623;3232;17;286;74264;29506;906;0;297
19;Original, unadjusted data;2003 4th quarter;133015;54639;132496;130953;35841;7751;73646;30328;12633;43970;31172;6172;58763;61099;-2336;63630;9566;21129;6392;4489;63924;8787;4003;9218;31653;5617;0;14489;64715;5280;70717;26856;2546;16;204;80434;26337;1003;0;312
