ID;NederlandseZeehavens;Vervoerstroom;SoortLading;Perioden;BrutoplusgewichtOvergeslagenGoederen_1
0;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2015 1e kwartaal;155113
1;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2015 2e kwartaal;161723
2;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2015 3e kwartaal;151629
3;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2015 4e kwartaal;153962
4;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2015;622428
5;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2016 1e kwartaal;154687
6;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2016 2e kwartaal;148353
7;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2016 3e kwartaal;154254
8;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2016 4e kwartaal;158409
9;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2016;615703
10;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2017 1e kwartaal;160554
11;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2017 2e kwartaal;159311
12;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2017 3e kwartaal;154254
13;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2017 4e kwartaal;157133
14;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2017;631252
15;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2018 1e kwartaal;161914
16;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2018 2e kwartaal;155040
17;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2018 3e kwartaal;159464
18;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2018 4e kwartaal;162497
19;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2018;638915
20;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2019 1e kwartaal;168725
21;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2019 2e kwartaal;161829
22;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2019 3e kwartaal;156915
23;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2019 4e kwartaal;156010
24;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2019;643478
25;Totaal Nederlandse zeehavens;Totaal aan- en afvoer;Totaal lading;2020 1e kwartaal;153140
