ID;PrognoseInterval;Perioden;Bevolkingsomvang_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;Levendgeborenen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
0;Prognose;2016;;;;;;;;;;;171795.0;1.65;148005.0;81.59;79.9;83.19;19.79;18.43;21.01;227064.0;140180.0;86884.0
1;Prognose;2017;17089794.0;3816839.0;10112251.0;3160704.0;22.3;59.2;18.5;69.0;37.7;31.3;175012.0;1.67;148541.0;81.81;80.22;83.31;19.95;18.67;21.09;222226.0;146559.0;75666.0
2;Prognose;2018;17191932.0;3814003.0;10136987.0;3240941.0;22.2;59.0;18.9;69.6;37.6;32.0;177405.0;1.68;149309.0;82.03;80.49;83.47;20.09;18.87;21.19;205784.0;154425.0;51359.0
3;Prognose;2019;17271386.0;3798267.0;10155069.0;3318050.0;22.0;58.8;19.2;70.1;37.4;32.7;180447.0;1.7;150283.0;82.23;80.72;83.67;20.23;19.03;21.31;201233.0;160357.0;40876.0
4;Prognose;2020;17342426.0;3782080.0;10164521.0;3395825.0;21.8;58.6;19.6;70.6;37.2;33.4;182858.0;1.71;151412.0;82.44;80.93;83.88;20.36;19.17;21.45;195703.0;163920.0;31783.0
5;Prognose;2021;17405656.0;3761785.0;10169726.0;3474144.0;21.6;58.4;20.0;71.2;37.0;34.2;185201.0;1.72;152676.0;82.63;81.11;84.09;20.5;19.3;21.6;190018.0;166319.0;23699.0
6;Prognose;2022;17461878.0;3745714.0;10160989.0;3555175.0;21.5;58.2;20.4;71.9;36.9;35.0;187680.0;1.72;154046.0;82.83;81.3;84.31;20.63;19.43;21.75;184462.0;168639.0;15823.0
7;Prognose;2023;17511336.0;3731841.0;10142215.0;3637280.0;21.3;57.9;20.8;72.7;36.8;35.9;189920.0;1.73;156030.0;82.99;81.46;84.49;20.74;19.54;21.87;183011.0;168534.0;14476.0
8;Prognose;2024;17559702.0;3720891.0;10117791.0;3721021.0;21.2;57.6;21.2;73.6;36.8;36.8;191854.0;1.74;158048.0;83.16;81.62;84.66;20.85;19.66;21.98;183013.0;168579.0;14433.0
9;Prognose;2025;17607942.0;3718565.0;10081750.0;3807627.0;21.1;57.3;21.6;74.7;36.9;37.8;193288.0;1.74;160112.0;83.32;81.79;84.82;20.96;19.78;22.1;183610.0;168807.0;14803.0
10;Prognose;2026;17655920.0;3723665.0;10039455.0;3892801.0;21.1;56.9;22.0;75.9;37.1;38.8;194326.0;1.75;162226.0;83.49;81.97;84.99;21.08;19.9;22.21;183965.0;168953.0;15012.0
11;Prognose;2027;17703034.0;3731642.0;9990133.0;3981259.0;21.1;56.4;22.5;77.2;37.4;39.9;195072.0;1.75;164402.0;83.65;82.14;85.15;21.2;20.03;22.32;184321.0;168902.0;15419.0
12;Prognose;2028;17749122.0;3743816.0;9936796.0;4068510.0;21.1;56.0;22.9;78.6;37.7;40.9;195577.0;1.75;166635.0;83.82;82.31;85.32;21.31;20.15;22.44;184548.0;168711.0;15837.0
13;Prognose;2029;17793902.0;3753116.0;9884056.0;4156730.0;21.1;55.5;23.4;80.0;38.0;42.1;195841.0;1.75;168922.0;83.98;82.47;85.49;21.43;20.27;22.56;184666.0;168392.0;16275.0
14;Prognose;2030;17837096.0;3762939.0;9828688.0;4245469.0;21.1;55.1;23.8;81.5;38.3;43.2;195829.0;1.75;171240.0;84.15;82.63;85.66;21.55;20.38;22.69;184733.0;168410.0;16323.0
15;Prognose;2031;17878008.0;3773447.0;9778286.0;4326275.0;21.1;54.7;24.2;82.8;38.6;44.2;195550.0;1.75;173578.0;84.31;82.79;85.83;21.67;20.5;22.82;184797.0;168382.0;16416.0
16;Prognose;2032;17916396.0;3788232.0;9727876.0;4400287.0;21.1;54.3;24.6;84.2;38.9;45.2;195017.0;1.75;175909.0;84.48;82.95;86.01;21.79;20.61;22.95;184846.0;168320.0;16526.0
17;Prognose;2033;17952030.0;3806500.0;9675748.0;4469782.0;21.2;53.9;24.9;85.5;39.3;46.2;194233.0;1.75;178216.0;84.64;83.1;86.18;21.91;20.73;23.08;184872.0;168261.0;16611.0
18;Prognose;2034;17984658.0;3828444.0;9618043.0;4538171.0;21.3;53.5;25.2;87.0;39.8;47.2;193217.0;1.75;180485.0;84.81;83.26;86.35;22.03;20.84;23.21;184943.0;168200.0;16744.0
19;Prognose;2035;18014134.0;3845586.0;9554816.0;4613733.0;21.3;53.0;25.6;88.5;40.2;48.3;192011.0;1.75;182711.0;84.97;83.41;86.53;22.16;20.96;23.34;184977.0;168129.0;16848.0
20;Prognose;2036;18040282.0;3865379.0;9494281.0;4680621.0;21.4;52.6;25.9;90.0;40.7;49.3;190685.0;1.75;184870.0;85.13;83.57;86.7;22.28;21.07;23.48;185042.0;168089.0;16953.0
21;Prognose;2037;18063048.0;3882233.0;9446057.0;4734760.0;21.5;52.3;26.2;91.2;41.1;50.1;189307.0;1.75;186947.0;85.29;83.72;86.87;22.4;21.19;23.61;185115.0;168110.0;17006.0
22;Prognose;2038;18082416.0;3895282.0;9411671.0;4775463.0;21.5;52.0;26.4;92.1;41.4;50.7;187941.0;1.75;188909.0;85.45;83.88;87.03;22.52;21.3;23.73;185146.0;168143.0;17003.0
23;Prognose;2039;18098450.0;3905051.0;9396307.0;4797092.0;21.6;51.9;26.5;92.6;41.6;51.1;186638.0;1.75;190732.0;85.61;84.03;87.2;22.64;21.41;23.86;185222.0;168205.0;17018.0
24;Prognose;2040;18111372.0;3910804.0;9391087.0;4809482.0;21.6;51.9;26.6;92.9;41.6;51.2;185434.0;1.75;192385.0;85.77;84.18;87.36;22.76;21.53;23.98;185310.0;168278.0;17032.0
25;Prognose;2041;18121456.0;3913211.0;9396622.0;4811622.0;21.6;51.9;26.6;92.9;41.6;51.2;184355.0;1.75;193884.0;85.92;84.33;87.52;22.88;21.64;24.11;185346.0;168384.0;16963.0
