ID;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
0;"Inbound transport; total";Total;Total all continents;2007;454976;414760;495192;9.0;100;;586619;563947;609291;4.0;100;
1;"Inbound transport; total";Total;Total all continents;2008;512560;472561;552560;8.0;100;5.0;594685;572389;616980;4.0;100;9.0
2;"Inbound transport; total";Total;Total all continents;2009;427225;388065;466385;9.0;100;1.0;524454;502586;546322;4.0;100;1.0
3;"Inbound transport; total";Total;Total all continents;2010;511786;467645;555928;9.0;100;5.0;570522;547744;593301;4.0;100;4.0
4;"Inbound transport; total";Total;Total all continents;2011;527113;485562;568664;8.0;100;9.0;573216;551488;594944;4.0;100;9.0
5;"Inbound transport; total";Total;Total all continents;2012;586128;540019;632238;8.0;100;5.0;567724;545494;589954;4.0;100;9.0
6;"Inbound transport; total";Total;Total all continents;2013;574778;528596;620961;8.0;100;9.0;564886;542211;587560;4.0;100;9.0
7;"Inbound transport; total";Total;Total all continents;2014;567226;516786;617666;9.0;100;9.0;577191;552153;602229;4.0;100;9.0
8;"Inbound transport; total";Total;Total all continents;2015;609925;549432;670418;10.0;100;9.0;591188;565186;617190;4.0;100;9.0
9;"Inbound transport; total";Total;Total all continents;2016;581417;523725;639109;10.0;100;9.0;590101;566361;613842;4.0;100;9.0
10;"Inbound transport; total";Total;Total all continents;2017;650556;593942;707171;9.0;100;5.0;604351;581903;626799;4.0;100;9.0
11;"Inbound transport; total";Total;Africa;2007;20249;17198;23299;15.0;4;;52287;46101;58474;12.0;9;
12;"Inbound transport; total";Total;Africa;2008;22948;19129;26766;17.0;4;9.0;51426;44683;58168;13.0;9;9.0
13;"Inbound transport; total";Total;Africa;2009;14977;12810;17143;14.0;4;1.0;42373;37065;47681;13.0;8;1.0
14;"Inbound transport; total";Total;Africa;2010;19398;16592;22204;14.0;4;5.0;38450;33487;43412;13.0;7;9.0
15;"Inbound transport; total";Total;Africa;2011;24390;20154;28625;17.0;5;5.0;39133;33607;44658;14.0;7;9.0
16;"Inbound transport; total";Total;Africa;2012;28456;23420;33493;18.0;5;9.0;46609;40002;53217;14.0;8;5.0
17;"Inbound transport; total";Total;Africa;2013;24573;20640;28505;16.0;4;1.0;44833;38842;50823;13.0;8;9.0
18;"Inbound transport; total";Total;Africa;2014;28054;23108;32999;18.0;5;9.0;53634;46515;60753;13.0;9;5.0
19;"Inbound transport; total";Total;Africa;2015;24590;20786;28395;15.0;4;9.0;51465;43664;59266;15.0;9;9.0
20;"Inbound transport; total";Total;Africa;2016;16571;14560;18582;12.0;3;1.0;35345;30838;39851;13.0;6;1.0
21;"Inbound transport; total";Total;Africa;2017;19607;17122;22092;13.0;3;5.0;39620;34701;44539;12.0;7;9.0
22;"Inbound transport; total";Total;America;2007;72717;61555;83879;15.0;16;;103722;94933;112512;8.0;18;
23;"Inbound transport; total";Total;America;2008;82803;70822;94784;14.0;16;9.0;117892;107703;128081;9.0;20;5.0
24;"Inbound transport; total";Total;America;2009;65717;54665;76769;17.0;15;1.0;84049;77335;90763;8.0;16;1.0
25;"Inbound transport; total";Total;America;2010;74959;64626;85291;14.0;15;9.0;107933;99429;116436;8.0;19;5.0
26;"Inbound transport; total";Total;America;2011;75914;66309;85520;13.0;14;9.0;117620;108707;126533;8.0;21;4.0
27;"Inbound transport; total";Total;America;2012;83444;72330;94558;13.0;14;9.0;108423;100921;115925;7.0;19;2.0
28;"Inbound transport; total";Total;America;2013;86989;73835;100143;15.0;15;9.0;114730;106063;123398;8.0;20;9.0
29;"Inbound transport; total";Total;America;2014;82489;70879;94099;14.0;15;9.0;109766;101307;118225;8.0;19;9.0
30;"Inbound transport; total";Total;America;2015;80650;69249;92052;14.0;13;9.0;110452;102353;118551;7.0;19;9.0
31;"Inbound transport; total";Total;America;2016;77631;66026;89236;15.0;13;9.0;106634;99391;113878;7.0;18;9.0
32;"Inbound transport; total";Total;America;2017;99764;78156;121372;22.0;15;5.0;95576;88073;103080;8.0;16;1.0
33;"Inbound transport; total";Total;Asia;2007;123174;87647;158701;29.0;27;;77590;70678;84502;9.0;13;
