ID;Kenmerken;Perioden;WerkzameBeroepsbevolkingTotaal_1;TotaalCreatieveBeroepen_2;Kunsten_3;MediaEnEntertainment_4;CreatieveZakelijkeDienstverlening_5;OverigeCreatieveBeroepen_6;WerkzPersMetNietCreatiefBeroep_7;WerkzPersMetBeroepOnbekend_8
0;Totaal;2001/2003;6971.0;538.0;49.0;38.0;68.0;286.0;6433.0;98.0
1;Totaal;2002/2004;6973.0;520.0;54.0;38.0;72.0;276.0;6452.0;81.0
2;Totaal;2003/2005;6961.0;506.0;55.0;39.0;74.0;271.0;6455.0;66.0
3;Totaal;2004/2006;7004.0;500.0;55.0;40.0;72.0;270.0;6504.0;63.0
4;Totaal;2005/2007;7127.0;520.0;56.0;41.0;70.0;278.0;6606.0;75.0
5;Totaal;2006/2008;7303.0;548.0;57.0;44.0;72.0;287.0;6755.0;88.0
6;Totaal;2007/2009;7426.0;562.0;60.0;44.0;75.0;291.0;6864.0;93.0
7;Totaal;2008/2010;7454.0;573.0;59.0;45.0;76.0;294.0;6881.0;99.0
8;Totaal;2009/2011;7417.0;580.0;61.0;45.0;78.0;291.0;6837.0;105.0
9;Geslacht: mannen;2001/2003;4155.0;371.0;25.0;24.0;56.0;199.0;3783.0;67.0
10;Geslacht: mannen;2002/2004;4118.0;357.0;27.0;24.0;59.0;192.0;3761.0;55.0
11;Geslacht: mannen;2003/2005;4083.0;346.0;28.0;24.0;61.0;189.0;3737.0;44.0
12;Geslacht: mannen;2004/2006;4079.0;342.0;28.0;24.0;59.0;189.0;3737.0;42.0
13;Geslacht: mannen;2005/2007;4118.0;356.0;31.0;24.0;56.0;194.0;3763.0;50.0
14;Geslacht: mannen;2006/2008;4184.0;373.0;32.0;26.0;57.0;201.0;3811.0;57.0
15;Geslacht: mannen;2007/2009;4217.0;382.0;34.0;26.0;59.0;204.0;3835.0;59.0
16;Geslacht: mannen;2008/2010;4195.0;388.0;33.0;26.0;60.0;209.0;3807.0;60.0
17;Geslacht: mannen;2009/2011;4138.0;393.0;34.0;26.0;62.0;208.0;3745.0;64.0
18;Geslacht: vrouwen;2001/2003;2816.0;167.0;24.0;13.0;12.0;87.0;2650.0;31.0
19;Geslacht: vrouwen;2002/2004;2855.0;163.0;27.0;14.0;12.0;84.0;2691.0;26.0
20;Geslacht: vrouwen;2003/2005;2878.0;160.0;27.0;15.0;13.0;82.0;2718.0;22.0
21;Geslacht: vrouwen;2004/2006;2925.0;158.0;27.0;16.0;13.0;81.0;2767.0;21.0
22;Geslacht: vrouwen;2005/2007;3008.0;165.0;26.0;17.0;14.0;84.0;2844.0;25.0
23;Geslacht: vrouwen;2006/2008;3119.0;174.0;25.0;18.0;15.0;87.0;2944.0;30.0
24;Geslacht: vrouwen;2007/2009;3209.0;180.0;26.0;18.0;16.0;87.0;3029.0;34.0
25;Geslacht: vrouwen;2008/2010;3259.0;185.0;26.0;19.0;16.0;85.0;3074.0;39.0
26;Geslacht: vrouwen;2009/2011;3279.0;187.0;27.0;20.0;16.0;83.0;3092.0;41.0
27;Leeftijd: 15 tot 25 jaar;2001/2003;835.0;47.0;2.0;2.0;5.0;25.0;787.0;14.0
28;Leeftijd: 15 tot 25 jaar;2002/2004;806.0;41.0;2.0;2.0;4.0;24.0;764.0;10.0
29;Leeftijd: 15 tot 25 jaar;2003/2005;773.0;39.0;2.0;;4.0;23.0;735.0;9.0
30;Leeftijd: 15 tot 25 jaar;2004/2006;757.0;39.0;2.0;;4.0;24.0;719.0;8.0
31;Leeftijd: 15 tot 25 jaar;2005/2007;771.0;43.0;2.0;2.0;4.0;26.0;728.0;9.0
32;Leeftijd: 15 tot 25 jaar;2006/2008;799.0;47.0;3.0;2.0;4.0;28.0;753.0;10.0
33;Leeftijd: 15 tot 25 jaar;2007/2009;813.0;47.0;3.0;2.0;5.0;27.0;766.0;9.0
34;Leeftijd: 15 tot 25 jaar;2008/2010;797.0;46.0;3.0;3.0;5.0;25.0;751.0;10.0
35;Leeftijd: 15 tot 25 jaar;2009/2011;774.0;44.0;4.0;3.0;5.0;23.0;730.0;9.0
36;Leeftijd: 25 tot 35 jaar;2001/2003;1884.0;173.0;15.0;13.0;23.0;93.0;1711.0;30.0
37;Leeftijd: 25 tot 35 jaar;2002/2004;1824.0;161.0;16.0;13.0;23.0;84.0;1663.0;23.0
38;Leeftijd: 25 tot 35 jaar;2003/2005;1769.0;151.0;15.0;13.0;25.0;79.0;1618.0;18.0
39;Leeftijd: 25 tot 35 jaar;2004/2006;1732.0;144.0;13.0;12.0;24.0;77.0;1588.0;17.0
40;Leeftijd: 25 tot 35 jaar;2005/2007;1710.0;147.0;13.0;11.0;24.0;79.0;1563.0;20.0
41;Leeftijd: 25 tot 35 jaar;2006/2008;1704.0;153.0;13.0;12.0;23.0;81.0;1551.0;23.0
42;Leeftijd: 25 tot 35 jaar;2007/2009;1692.0;155.0;14.0;12.0;23.0;82.0;1536.0;24.0
43;Leeftijd: 25 tot 35 jaar;2008/2010;1675.0;156.0;14.0;11.0;23.0;82.0;1519.0;26.0
44;Leeftijd: 25 tot 35 jaar;2009/2011;1651.0;154.0;15.0;11.0;23.0;78.0;1497.0;27.0
45;Leeftijd: 35 tot 45 jaar;2001/2003;2005.0;161.0;15.0;12.0;20.0;87.0;1845.0;26.0
46;Leeftijd: 35 tot 45 jaar;2002/2004;2012.0;159.0;16.0;12.0;22.0;85.0;1853.0;23.0
47;Leeftijd: 35 tot 45 jaar;2003/2005;2016.0;155.0;16.0;12.0;23.0;85.0;1861.0;18.0
48;Leeftijd: 35 tot 45 jaar;2004/2006;2038.0;154.0;17.0;12.0;23.0;85.0;1884.0;17.0
49;Leeftijd: 35 tot 45 jaar;2005/2007;2067.0;158.0;18.0;12.0;21.0;85.0;1909.0;21.0
50;Leeftijd: 35 tot 45 jaar;2006/2008;2097.0;163.0;18.0;13.0;22.0;84.0;1933.0;25.0
51;Leeftijd: 35 tot 45 jaar;2007/2009;2096.0;165.0;19.0;13.0;23.0;84.0;1931.0;27.0
52;Leeftijd: 35 tot 45 jaar;2008/2010;2063.0;168.0;18.0;14.0;23.0;86.0;1895.0;27.0
53;Leeftijd: 35 tot 45 jaar;2009/2011;2002.0;169.0;18.0;14.0;24.0;85.0;1833.0;28.0
54;Leeftijd: 45 tot 55 jaar;2001/2003;1627.0;113.0;11.0;7.0;13.0;60.0;1514.0;21.0
55;Leeftijd: 45 tot 55 jaar;2002/2004;1648.0;112.0;12.0;8.0;14.0;61.0;1536.0;18.0
56;Leeftijd: 45 tot 55 jaar;2003/2005;1673.0;113.0;14.0;10.0;14.0;60.0;1560.0;15.0
57;Leeftijd: 45 tot 55 jaar;2004/2006;1707.0;115.0;15.0;10.0;14.0;61.0;1592.0;15.0
58;Leeftijd: 45 tot 55 jaar;2005/2007;1756.0;119.0;16.0;10.0;13.0;63.0;1637.0;18.0
59;Leeftijd: 45 tot 55 jaar;2006/2008;1814.0;126.0;15.0;10.0;14.0;66.0;1688.0;21.0
60;Leeftijd: 45 tot 55 jaar;2007/2009;1868.0;131.0;15.0;11.0;15.0;68.0;1737.0;22.0
61;Leeftijd: 45 tot 55 jaar;2008/2010;1908.0;133.0;15.0;12.0;15.0;68.0;1775.0;23.0
62;Leeftijd: 45 tot 55 jaar;2009/2011;1934.0;138.0;16.0;12.0;16.0;69.0;1796.0;26.0
63;Leeftijd: 55 tot 65 jaar;2001/2003;620.0;44.0;7.0;3.0;7.0;20.0;576.0;7.0
64;Leeftijd: 55 tot 65 jaar;2002/2004;683.0;47.0;8.0;3.0;8.0;22.0;636.0;7.0
65;Leeftijd: 55 tot 65 jaar;2003/2005;729.0;48.0;7.0;4.0;8.0;23.0;681.0;6.0
66;Leeftijd: 55 tot 65 jaar;2004/2006;770.0;49.0;8.0;4.0;8.0;24.0;721.0;6.0
67;Leeftijd: 55 tot 65 jaar;2005/2007;822.0;54.0;8.0;5.0;7.0;26.0;768.0;7.0
68;Leeftijd: 55 tot 65 jaar;2006/2008;889.0;60.0;8.0;6.0;8.0;28.0;829.0;9.0
69;Leeftijd: 55 tot 65 jaar;2007/2009;958.0;65.0;9.0;6.0;9.0;30.0;893.0;11.0
70;Leeftijd: 55 tot 65 jaar;2008/2010;1011.0;69.0;8.0;6.0;9.0;33.0;942.0;12.0
71;Leeftijd: 55 tot 65 jaar;2009/2011;1056.0;74.0;9.0;6.0;9.0;35.0;982.0;15.0
72;Herkomst: autochtoon;2001/2003;5792.0;428.0;34.0;31.0;57.0;233.0;5364.0;73.0
73;Herkomst: autochtoon;2002/2004;5786.0;417.0;37.0;32.0;60.0;226.0;5369.0;61.0
74;Herkomst: autochtoon;2003/2005;5768.0;408.0;39.0;33.0;62.0;223.0;5360.0;51.0
75;Herkomst: autochtoon;2004/2006;5791.0;403.0;40.0;34.0;60.0;221.0;5387.0;49.0
76;Herkomst: autochtoon;2005/2007;5875.0;417.0;42.0;34.0;58.0;226.0;5458.0;56.0
77;Herkomst: autochtoon;2006/2008;5992.0;436.0;43.0;36.0;60.0;232.0;5555.0;65.0
78;Herkomst: autochtoon;2007/2009;6062.0;449.0;45.0;36.0;63.0;234.0;5614.0;70.0
79;Herkomst: autochtoon;2008/2010;6075.0;459.0;43.0;37.0;65.0;238.0;5616.0;76.0
80;Herkomst: autochtoon;2009/2011;6043.0;466.0;45.0;37.0;67.0;235.0;5576.0;83.0
81;Herkomst: westerse allochtoon;2001/2003;628.0;68.0;12.0;5.0;8.0;33.0;560.0;10.0
82;Herkomst: westerse allochtoon;2002/2004;632.0;65.0;12.0;4.0;8.0;32.0;567.0;9.0
83;Herkomst: westerse allochtoon;2003/2005;633.0;62.0;12.0;4.0;8.0;31.0;571.0;7.0
84;Herkomst: westerse allochtoon;2004/2006;638.0;61.0;11.0;4.0;9.0;31.0;576.0;6.0
85;Herkomst: westerse allochtoon;2005/2007;645.0;63.0;10.0;5.0;9.0;32.0;582.0;8.0
86;Herkomst: westerse allochtoon;2006/2008;661.0;67.0;10.0;5.0;8.0;34.0;594.0;10.0
87;Herkomst: westerse allochtoon;2007/2009;677.0;68.0;10.0;6.0;8.0;34.0;609.0;10.0
88;Herkomst: westerse allochtoon;2008/2010;684.0;69.0;11.0;6.0;8.0;34.0;615.0;10.0
89;Herkomst: westerse allochtoon;2009/2011;683.0;68.0;11.0;6.0;7.0;34.0;614.0;10.0
90;Herkomst: niet-westerse allochtoon;2001/2003;533.0;41.0;4.0;;3.0;19.0;492.0;14.0
91;Herkomst: niet-westerse allochtoon;2002/2004;542.0;37.0;4.0;2.0;4.0;18.0;505.0;11.0
92;Herkomst: niet-westerse allochtoon;2003/2005;552.0;34.0;4.0;2.0;3.0;17.0;518.0;8.0
93;Herkomst: niet-westerse allochtoon;2004/2006;568.0;34.0;4.0;2.0;3.0;18.0;534.0;8.0
94;Herkomst: niet-westerse allochtoon;2005/2007;599.0;40.0;4.0;2.0;3.0;20.0;559.0;11.0
95;Herkomst: niet-westerse allochtoon;2006/2008;640.0;43.0;4.0;2.0;3.0;22.0;597.0;13.0
96;Herkomst: niet-westerse allochtoon;2007/2009;676.0;45.0;5.0;2.0;3.0;22.0;631.0;13.0
97;Herkomst: niet-westerse allochtoon;2008/2010;682.0;44.0;5.0;2.0;3.0;22.0;639.0;12.0
98;Herkomst: niet-westerse allochtoon;2009/2011;681.0;44.0;5.0;2.0;4.0;22.0;636.0;11.0
99;Herkomst: onbekend;2001/2003;19.0;2.0;;;;;16.0;
100;Herkomst: onbekend;2002/2004;13.0;;;;;;12.0;
101;Herkomst: onbekend;2003/2005;;;;;;;;
102;Herkomst: onbekend;2004/2006;8.0;;;;;;7.0;
103;Herkomst: onbekend;2005/2007;8.0;;;;;;7.0;
104;Herkomst: onbekend;2006/2008;9.0;;;;;;9.0;
105;Herkomst: onbekend;2007/2009;11.0;;;;;;10.0;
106;Herkomst: onbekend;2008/2010;13.0;;;;;;12.0;
107;Herkomst: onbekend;2009/2011;12.0;;;;;;11.0;
108;1;2001/2003;116.0;58.0;20.0;4.0;13.0;20.0;58.0;
109;1;2002/2004;124.0;62.0;22.0;4.0;14.0;20.0;62.0;
110;1;2003/2005;127.0;62.0;22.0;5.0;15.0;20.0;65.0;
111;1;2004/2006;130.0;61.0;22.0;5.0;14.0;19.0;69.0;
112;1;2005/2007;136.0;63.0;23.0;5.0;14.0;20.0;72.0;2.0
