ID;Geslacht;Onderwijssoort;Populatie;Herkomstgroepering;RegioS;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Nederland;2003/'04;;27310.0;94.0
1;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Nederland;2004/'05;;28340.0;94.0
2;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Nederland (LD);2003/'04;;;93.0
3;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Nederland (LD);2004/'05;;;94.0
4;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Oost-Nederland (LD);2003/'04;;;94.0
5;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Oost-Nederland (LD);2004/'05;;;94.0
6;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;West-Nederland (LD);2003/'04;;;93.0
7;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;West-Nederland (LD);2004/'05;;;93.0
8;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuid-Nederland (LD);2003/'04;;;96.0
9;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuid-Nederland (LD);2004/'05;;;95.0
10;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (LD);2003/'04;;;
11;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (LD);2004/'05;;;
12;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Groningen (PV);2003/'04;;;
13;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Groningen (PV);2004/'05;;;
14;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Friesland (PV);2003/'04;;;
15;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Friesland (PV);2004/'05;;;
16;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Drenthe (PV);2003/'04;;;
17;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Drenthe (PV);2004/'05;;;
18;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Overijssel (PV);2003/'04;;;
19;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Overijssel (PV);2004/'05;;;
20;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Flevoland (PV);2003/'04;;;
21;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Flevoland (PV);2004/'05;;;
22;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gelderland (PV);2003/'04;;;
23;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Gelderland (PV);2004/'05;;;
24;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Utrecht (PV);2003/'04;;;
25;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Utrecht (PV);2004/'05;;;
26;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Holland (PV);2003/'04;;;
27;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Holland (PV);2004/'05;;;
28;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuid-Holland (PV);2003/'04;;;
29;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zuid-Holland (PV);2004/'05;;;
30;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zeeland (PV);2003/'04;;;
31;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Zeeland (PV);2004/'05;;;
32;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Brabant (PV);2003/'04;;;
33;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Noord-Brabant (PV);2004/'05;;;
34;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Limburg (PV);2003/'04;;;
35;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Limburg (PV);2004/'05;;;
36;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (PV);2003/'04;;;
37;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Niet in te delen (PV);2004/'05;;;
38;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Amsterdam;2003/'04;;;89.0
39;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Amsterdam;2004/'05;;;90.0
40;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;'s-Gravenhage (gemeente);2003/'04;;;93.0
41;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;'s-Gravenhage (gemeente);2004/'05;;;91.0
42;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rotterdam;2003/'04;;;87.0
43;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Rotterdam;2004/'05;;;87.0
44;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Utrecht (gemeente);2003/'04;;;91.0
45;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Utrecht (gemeente);2004/'05;;;93.0
46;Totaal mannen en vrouwen;Vwo;Woonregio;Totaal herkomstgroepering;Vier grootste gemeenten (G4);2003/'04;;;89.0
