ID;SBI93;RegioS;Perioden;AantalBanenVanWerknemersNiveau_1;AantalBanenVanWerknemersMutatie_2
0;4;Nederland totaal;1993 30 september;5508.5;
1;4;Nederland totaal;1994 30 september;5557.2;
2;4;Nederland totaal;1995 31 december;5677.4;
3;4;Nederland totaal;1996 31 december;5869.2;191.8
4;4;Nederland totaal;1997 31 december;6067.2;198.9
5;4;Nederland totaal;1998 31 december;6261.8;194.5
6;4;Nederland totaal;1999 31 december voorlopig;6465.9;204.2
7;4;Nederland totaal;1999 31 december nader voorlopig;6694.1;
8;4;Nederland totaal;2000 31 december voorlopig;6889.1;194.9
9;4;Nederland totaal;2000 31 december nader voorlopig;6870.7;
10;4;Nederland totaal;2001 31 december voorlopig;7011.9;141.2
11;4;Nederland totaal;2001 31 december nader voorlopig;6998.6;
12;4;Nederland totaal;2002 31 december voorlopig;7058.5;59.9
13;4;Nederland totaal;2002 31 december nader voorlopig;7055.6;
14;4;Nederland totaal;2003 31 december voorlopig;6979.4;-76.2
15;4;Nederland totaal;2003 31 december nader voorlopig;6994.7;
16;4;Nederland totaal;2004 31 december voorlopig;6929.4;-65.2
17;4;Nederland totaal;2004 31 december nader voorlopig;6947.4;
18;4;Nederland totaal;2005 31 december voorlopig;6975.4;28.0
19;4;Noord-Nederland (Landsdeel);1993 30 september;503.1;
20;4;Noord-Nederland (Landsdeel);1994 30 september;515.4;
21;4;Noord-Nederland (Landsdeel);1995 31 december;520.3;
22;4;Noord-Nederland (Landsdeel);1996 31 december;533.5;13.9
23;4;Noord-Nederland (Landsdeel);1997 31 december;552.3;16.9
24;4;Noord-Nederland (Landsdeel);1998 31 december;564.7;12.3
25;4;Noord-Nederland (Landsdeel);1999 31 december voorlopig;582.8;18.3
26;4;Noord-Nederland (Landsdeel);1999 31 december nader voorlopig;599.8;
27;4;Noord-Nederland (Landsdeel);2000 31 december voorlopig;617.1;17.2
28;4;Noord-Nederland (Landsdeel);2000 31 december nader voorlopig;618.5;
29;4;Noord-Nederland (Landsdeel);2001 31 december voorlopig;630.8;12.3
30;4;Noord-Nederland (Landsdeel);2001 31 december nader voorlopig;629.4;
31;4;Noord-Nederland (Landsdeel);2002 31 december voorlopig;639.1;9.7
32;4;Noord-Nederland (Landsdeel);2002 31 december nader voorlopig;638.1;
33;4;Noord-Nederland (Landsdeel);2003 31 december voorlopig;633.4;-4.7
34;4;Noord-Nederland (Landsdeel);2003 31 december nader voorlopig;630.2;
35;4;Noord-Nederland (Landsdeel);2004 31 december voorlopig;625.2;-5.1
36;4;Noord-Nederland (Landsdeel);2004 31 december nader voorlopig;628.4;
37;4;Noord-Nederland (Landsdeel);2005 31 december voorlopig;630.3;2.0
38;4;Oost-Nederland (Landsdeel);1993 30 september;1036.1;
39;4;Oost-Nederland (Landsdeel);1994 30 september;1053.3;
