ID;SITC;Perioden;TotaleInvoerwaarde_1;BENijverheidGeenBouwEnEnergie_2;GHandel_3;SBICodeOnbekend_4;TotaleUitvoerwaarde_5;BENijverheidGeenBouwEnEnergie_6;GHandel_7;SBICodeOnbekend_8
0;Totaal goederen;2009;274025;26;37.0;18;309369.0;34;32;23
1;Totaal goederen;2010;331914;26;38.0;17;371549.0;33;31;25
2;0  Voeding en levende dieren;2009;25722;26;49.0;10;40158.0;42;40;9
3;0  Voeding en levende dieren;2010;28324;26;51.0;9;45215.0;40;39;11
4;1  Dranken en tabak;2009;3160;18;57.0;19;5883.0;19;15;46
5;1  Dranken en tabak;2010;3326;18;56.0;17;6152.0;19;15;47
6;2  Grondstoffen, niet eetbaar, behalv...;2009;9831;32;42.0;12;15436.0;12;62;14
7;2  Grondstoffen, niet eetbaar, behalv...;2010;13344;33;41.0;14;19078.0;11;60;18
8;3  Minerale brandstoffen, smeermiddel...;2009;42970;56;10.0;22;;51;14;16
9;3  Minerale brandstoffen, smeermiddel...;2010;60048;48;17.0;23;50963.0;43;17;23
10;4  Dierlijke en plantaardige oliën en...;2009;2243;55;15.0;7;3005.0;57;18;17
11;4  Dierlijke en plantaardige oliën en...;2010;2686;59;12.0;8;3017.0;58;17;22
12;5  Chemische producten;2009;43960;26;41.0;19;59258.0;39;30;26
13;5  Chemische producten;2010;51036;24;46.0;14;70645.0;39;33;24
14;6  Fabrikaten, hoofdzakelijk gerang...;2009;28289;29;41.0;16;26735.0;51;24;17
15;6  Fabrikaten, hoofdzakelijk gerang...;2010;33618;29;39.0;18;33193.0;49;21;22
16;7  Machines en vervoermaterieel;2009;82969;15;37.0;20;88256.0;25;30;31
17;7  Machines en vervoermaterieel;2010;100148;15;37.0;19;106479.0;27;29;34
18;8  Diverse gefabriceerde goederen;2009;33593;11;55.0;19;30461.0;18;44;23
19;8  Diverse gefabriceerde goederen;2010;37823;14;55.0;17;34644.0;17;44;25
20;9  Niet afzonderlijk genoemde goederen;2009;1288;3;;4;;7;70;13
21;9  Niet afzonderlijk genoemde goederen;2010;1561;16;;3;2163.0;6;73;15
