ID;Nomenclature;CountriesGroups;Periods;Imports_1;Exports_2;BalanceOfTrade_3
0;Total goods;Total countries (groups);1996 January;11454508.0;12580801.0;1126294.0
1;Total goods;Total countries (groups);1996 February;11145459.0;12413300.0;1267841.0
2;Total goods;Total countries (groups);1996 March;12157966.0;13671669.0;1513703.0
3;Total goods;Total countries (groups);1996 April;11203138.0;12006122.0;802985.0
4;Total goods;Total countries (groups);1996 May;11571328.0;12653160.0;1081832.0
5;Total goods;Total countries (groups);1996 June;11341884.0;12773525.0;1431641.0
6;Total goods;Total countries (groups);1996 July;11239792.0;12315217.0;1075426.0
7;Total goods;Total countries (groups);1996 August;10375396.0;11543416.0;1168020.0
8;Total goods;Total countries (groups);1996 September;11840621.0;13230168.0;1389548.0
9;Total goods;Total countries (groups);1996 October;13097886.0;13765441.0;667555.0
10;Total goods;Total countries (groups);1996 November;12370579.0;13473986.0;1103407.0
11;Total goods;Total countries (groups);1996 December;12114386.0;13325632.0;1211246.0
12;Total goods;Total countries (groups);1996;139912941.0;153752438.0;13839497.0
13;Total goods;Total countries (groups);1997 January;12461694.0;13546218.0;1084523.0
14;Total goods;Total countries (groups);1997 February;12376141.0;13421663.0;1045522.0
15;Total goods;Total countries (groups);1997 March;13041479.0;14196000.0;1154522.0
16;Total goods;Total countries (groups);1997 April;13226379.0;14175356.0;948977.0
17;Total goods;Total countries (groups);1997 May;12619646.0;13720012.0;1100365.0
18;Total goods;Total countries (groups);1997 June;13286718.0;14504139.0;1217421.0
19;Total goods;Total countries (groups);1997 July;12985490.0;13886093.0;900602.0
20;Total goods;Total countries (groups);1997 August;11653684.0;12847233.0;1193548.0
21;Total goods;Total countries (groups);1997 September;14076262.0;15465363.0;1389101.0
22;Total goods;Total countries (groups);1997 October;14585973.0;15853491.0;1267518.0
23;Total goods;Total countries (groups);1997 November;13646779.0;14847342.0;1200563.0
24;Total goods;Total countries (groups);1997 December;13471113.0;14957254.0;1486141.0
25;Total goods;Total countries (groups);1997;157431359.0;171420163.0;13988803.0
26;Total goods;Total countries (groups);1998 January;13633724.0;14496953.0;863230.0
27;Total goods;Total countries (groups);1998 February;13668676.0;14692150.0;1023474.0
28;Total goods;Total countries (groups);1998 March;15297124.0;16550331.0;1253207.0
29;Total goods;Total countries (groups);1998 April;14034650.0;14946876.0;912226.0
30;Total goods;Total countries (groups);1998 May;13453556.0;14461782.0;1008227.0
31;Total goods;Total countries (groups);1998 June;14727968.0;15441924.0;713956.0
32;Total goods;Total countries (groups);1998 July;13695120.0;15022725.0;1327605.0
33;Total goods;Total countries (groups);1998 August;12220069.0;12940414.0;720345.0
34;Total goods;Total countries (groups);1998 September;14587152.0;15838954.0;1251802.0
35;Total goods;Total countries (groups);1998 October;14592217.0;15781951.0;1189735.0
36;Total goods;Total countries (groups);1998 November;14426657.0;15356542.0;929885.0
37;Total goods;Total countries (groups);1998 December;14066556.0;15195507.0;1128950.0
38;Total goods;Total countries (groups);1998;168403470.0;180726110.0;12322640.0
39;Total goods;Total countries (groups);1999 January;13194349.0;13812358.0;618009.0
40;Total goods;Total countries (groups);1999 February;13314772.0;13876495.0;561723.0
41;Total goods;Total countries (groups);1999 March;15939183.0;17089467.0;1150283.0
42;Total goods;Total countries (groups);1999 April;14225971.0;14870369.0;644397.0
43;Total goods;Total countries (groups);1999 May;14003957.0;14489312.0;485355.0
44;Total goods;Total countries (groups);1999 June;15202541.0;16150288.0;947748.0
45;Total goods;Total countries (groups);1999 July;14416273.0;14834126.0;417854.0
46;Total goods;Total countries (groups);1999 August;13481806.0;14005867.0;524062.0
47;Total goods;Total countries (groups);1999 September;16002829.0;16993178.0;990349.0
48;Total goods;Total countries (groups);1999 October;15644355.0;16961130.0;1316775.0
49;Total goods;Total countries (groups);1999 November;16624524.0;17776629.0;1152105.0
50;Total goods;Total countries (groups);1999 December;16668738.0;17738964.0;1070227.0
51;Total goods;Total countries (groups);1999;178719297.0;188598184.0;9878887.0
52;Total goods;Total countries (groups);2000 January;15465346.0;16302427.0;837081.0
53;Total goods;Total countries (groups);2000 February;16815254.0;17828700.0;1013446.0
54;Total goods;Total countries (groups);2000 March;18675108.0;20352618.0;1677510.0
55;Total goods;Total countries (groups);2000 April;16453621.0;17370767.0;917146.0
56;Total goods;Total countries (groups);2000 May;18396951.0;19897287.0;1500336.0
57;Total goods;Total countries (groups);2000 June;17940700.0;19042512.0;1101813.0
58;Total goods;Total countries (groups);2000 July;16719452.0;17914663.0;1195212.0
59;Total goods;Total countries (groups);2000 August;16766676.0;18720257.0;1953581.0
60;Total goods;Total countries (groups);2000 September;18890858.0;20694619.0;1803761.0
61;Total goods;Total countries (groups);2000 October;20021861.0;21273756.0;1251895.0
62;Total goods;Total countries (groups);2000 November;20805868.0;22151665.0;1345797.0
63;Total goods;Total countries (groups);2000 December;19105608.0;20304337.0;1198729.0
64;Total goods;Total countries (groups);2000;216057302.0;231853610.0;15796307.0
65;Total goods;Total countries (groups);2001 January;19266558.0;20616598.0;1350040.0
66;Total goods;Total countries (groups);2001 February;17995217.0;19869038.0;1873821.0
67;Total goods;Total countries (groups);2001 March;20224166.0;22492880.0;2268714.0
68;Total goods;Total countries (groups);2001 April;17747570.0;19370946.0;1623376.0
69;Total goods;Total countries (groups);2001 May;19055045.0;21032629.0;1977584.0
70;Total goods;Total countries (groups);2001 June;18889972.0;21007086.0;2117114.0
71;Total goods;Total countries (groups);2001 July;17790909.0;18877954.0;1087045.0
72;Total goods;Total countries (groups);2001 August;17012666.0;18460830.0;1448164.0
73;Total goods;Total countries (groups);2001 September;17386077.0;19709913.0;2323836.0
74;Total goods;Total countries (groups);2001 October;18449475.0;20701023.0;2251548.0
75;Total goods;Total countries (groups);2001 November;18128492.0;20287133.0;2158641.0
76;Total goods;Total countries (groups);2001 December;16383294.0;18911362.0;2528068.0
77;Total goods;Total countries (groups);2001;218329441.0;241337392.0;23007951.0
78;Total goods;Total countries (groups);2002 January;16647223.0;18341237.0;1694014.0
79;Total goods;Total countries (groups);2002 February;16157360.0;18364285.0;2206925.0
80;Total goods;Total countries (groups);2002 March;18179909.0;20783028.0;2603119.0
81;Total goods;Total countries (groups);2002 April;17649966.0;18939002.0;1289036.0
82;Total goods;Total countries (groups);2002 May;17127043.0;19665784.0;2538741.0
83;Total goods;Total countries (groups);2002 June;17123835.0;19600280.0;2476445.0
84;Total goods;Total countries (groups);2002 July;16507998.0;18771123.0;2263125.0
85;Total goods;Total countries (groups);2002 August;15786587.0;17808715.0;2022128.0
86;Total goods;Total countries (groups);2002 September;17507577.0;20392983.0;2885406.0
87;Total goods;Total countries (groups);2002 October;18677081.0;20820013.0;2142932.0
