ID;OutputAndImportPrices;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
0;Total sales;B Mining and quarrying;2012 January;120.3;;
1;Total sales;B Mining and quarrying;2012 February;120.8;0.4;
2;Total sales;B Mining and quarrying;2012 March;121.5;0.6;
3;Total sales;B Mining and quarrying;2012 April;124.2;2.2;
4;Total sales;B Mining and quarrying;2012 May;125.6;1.1;
5;Total sales;B Mining and quarrying;2012 June;122.4;-2.5;
6;Total sales;B Mining and quarrying;2012 July;122.1;-0.3;
7;Total sales;B Mining and quarrying;2012 August;124.2;1.8;
8;Total sales;B Mining and quarrying;2012 September;123.6;-0.5;
9;Total sales;B Mining and quarrying;2012 October;125.7;1.7;
10;Total sales;B Mining and quarrying;2012 November;129.4;2.9;
11;Total sales;B Mining and quarrying;2012 December;125.2;-3.2;
12;Total sales;B Mining and quarrying;2012;123.8;;
13;Total sales;B Mining and quarrying;2013 January;123.8;-1.1;2.9
14;Total sales;B Mining and quarrying;2013 February;122.1;-1.4;1.1
15;Total sales;B Mining and quarrying;2013 March;121.9;-0.1;0.3
16;Total sales;B Mining and quarrying;2013 April;121.4;-0.4;-2.3
17;Total sales;B Mining and quarrying;2013 May;120.7;-0.6;-3.9
18;Total sales;B Mining and quarrying;2013 June;120.3;-0.3;-1.7
19;Total sales;B Mining and quarrying;2013 July;120.6;0.2;-1.2
20;Total sales;B Mining and quarrying;2013 August;120.3;-0.2;-3.2
21;Total sales;B Mining and quarrying;2013 September;119.2;-0.9;-3.6
22;Total sales;B Mining and quarrying;2013 October;120.3;0.9;-4.3
23;Total sales;B Mining and quarrying;2013 November;121.4;0.9;-6.1
24;Total sales;B Mining and quarrying;2013 December;121.9;0.4;-2.6
25;Total sales;B Mining and quarrying;2013;121.2;;-2.1
26;Total sales;B Mining and quarrying;2014 January;121.8;-0.1;-1.6
27;Total sales;B Mining and quarrying;2014 February;118.9;-2.4;-2.7
28;Total sales;B Mining and quarrying;2014 March;115.1;-3.2;-5.6
29;Total sales;B Mining and quarrying;2014 April;110.6;-3.9;-8.9
30;Total sales;B Mining and quarrying;2014 May;106.9;-3.4;-11.5
31;Total sales;B Mining and quarrying;2014 June;105.7;-1.1;-12.2
32;Total sales;B Mining and quarrying;2014 July;101.9;-3.6;-15.5
33;Total sales;B Mining and quarrying;2014 August;101.8;-0.1;-15.4
34;Total sales;B Mining and quarrying;2014 September;104.7;2.8;-12.2
35;Total sales;B Mining and quarrying;2014 October;109.3;4.4;-9.2
36;Total sales;B Mining and quarrying;2014 November;110.3;0.9;-9.2
37;Total sales;B Mining and quarrying;2014 December;109.9;-0.3;-9.9
38;Total sales;B Mining and quarrying;2014;109.7;;-9.4
39;Total sales;B Mining and quarrying;2015 January;104.5;-5.0;-14.2
40;Total sales;B Mining and quarrying;2015 February;102.2;-2.2;-14.0
41;Total sales;B Mining and quarrying;2015 March;105.8;3.5;-8.1
42;Total sales;B Mining and quarrying;2015 April;104.2;-1.5;-5.8
43;Total sales;B Mining and quarrying;2015 May;102.4;-1.7;-4.2
44;Total sales;B Mining and quarrying;2015 June;100.9;-1.4;-4.5
45;Total sales;B Mining and quarrying;2015 July;100.6;-0.4;-1.3
46;Total sales;B Mining and quarrying;2015 August;99.9;-0.7;-1.9
47;Total sales;B Mining and quarrying;2015 September;100.1;0.2;-4.4
48;Total sales;B Mining and quarrying;2015 October;95.5;-4.6;-12.6
49;Total sales;B Mining and quarrying;2015 November;93.0;-2.6;-15.6
50;Total sales;B Mining and quarrying;2015 December;91.0;-2.2;-17.2
51;Total sales;B Mining and quarrying;2015;100.0;;-8.9
52;Total sales;B Mining and quarrying;2016 January;86.9;-4.5;-16.8
53;Total sales;B Mining and quarrying;2016 February;82.9;-4.6;-18.9
54;Total sales;B Mining and quarrying;2016 March;81.3;-1.9;-23.1
55;Total sales;B Mining and quarrying;2016 April;75.4;-7.2;-27.6
56;Total sales;B Mining and quarrying;2016 May;78.3;3.8;-23.5
57;Total sales;B Mining and quarrying;2016 June;82.4;5.3;-18.3
58;Total sales;B Mining and quarrying;2016 July;85.3;3.4;-15.2
59;Total sales;B Mining and quarrying;2016 August;84.8;-0.6;-15.1
60;Total sales;B Mining and quarrying;2016 September;80.2;-5.4;-19.9
61;Total sales;B Mining and quarrying;2016 October;79.0;-1.4;-17.2
62;Total sales;B Mining and quarrying;2016 November;85.7;8.4;-7.9
63;Total sales;B Mining and quarrying;2016 December;89.4;4.4;-1.7
64;Total sales;B Mining and quarrying;2016;82.6;;-17.4
65;Total sales;B Mining and quarrying;2017 January;88.4;-1.2;1.7
66;Total sales;B Mining and quarrying;2017 February;92.7;4.9;11.8
67;Total sales;B Mining and quarrying;2017 March;96.7;4.4;18.9
68;Total sales;B Mining and quarrying;2017 April;85.7;-11.4;13.6
69;Total sales;B Mining and quarrying;2017 May;85.6;-0.1;9.4
70;Total sales;B Mining and quarrying;2017 June;86.9;1.5;5.4
71;Total sales;B Mining and quarrying;2017 July;85.3;-1.9;0.0
72;Total sales;B Mining and quarrying;2017 August;82.8;-2.9;-2.4
73;Total sales;B Mining and quarrying;2017 September;85.4;3.1;6.5
74;Total sales;B Mining and quarrying;2017 October;88.7;3.9;12.2
75;Total sales;B Mining and quarrying;2017 November;90.1;1.6;5.2
76;Total sales;B Mining and quarrying;2017 December;93.2;3.3;4.2
77;Total sales;B Mining and quarrying;2017;88.5;;7.0
78;Total sales;B Mining and quarrying;2018 January;96.7;3.8;9.4
79;Total sales;B Mining and quarrying;2018 February;93.1;-3.7;0.4
80;Total sales;B Mining and quarrying;2018 March;94.2;1.2;-2.6
81;Total sales;B Mining and quarrying;2018 April;93.2;-1.1;8.8
82;Total sales;B Mining and quarrying;2018 May;96.8;3.8;13.0
83;Total sales;B Mining and quarrying;2018 June;101.7;5.1;17.1
84;Total sales;B Mining and quarrying;2018 July;103.6;1.8;21.4
85;Total sales;B Mining and quarrying;2018 August;104.3;0.7;26.1
86;Total sales;B Mining and quarrying;2018 September;109.3;4.8;28.1
87;Total sales;B Mining and quarrying;2018 October;116.4;6.5;31.2
88;Total sales;B Mining and quarrying;2018 November;110.1;-5.4;22.2
89;Total sales;B Mining and quarrying;2018 December;107.1;-2.7;15.0
90;Total sales;B Mining and quarrying;2018;102.2;;15.6
91;Total sales;B Mining and quarrying;2019 January;105.7;-1.4;9.3
92;Total sales;B Mining and quarrying;2019 February;105.7;0.0;13.5
93;Total sales;B Mining and quarrying;2019 March;94.3;-10.8;0.0
94;Total sales;B Mining and quarrying;2019 April;89.2;-5.3;-4.3
95;Total sales;B Mining and quarrying;2019 May;;;
96;Total sales;B Mining and quarrying;2019 June;82.5;;-18.9
97;Total sales;B Mining and quarrying;2019 July;78.6;-4.8;-24.1
98;Total sales;B Mining and quarrying;2019 August;77.8;-1.0;-25.5
99;Total sales;B Mining and quarrying;2019 September;;;
100;Total sales;B Mining and quarrying;2019 October;86.3;;-25.8
101;Total sales;B Mining and quarrying;2019 November;87.8;1.7;-20.3
102;Total sales;B Mining and quarrying;2019 December;90.2;2.8;-15.8
103;Total sales;B Mining and quarrying;2019;88.8;;-13.2
104;Total sales;B Mining and quarrying;2020 January;89.2;-1.2;-15.6
105;Total sales;B Mining and quarrying;2020 February;82.8;-7.2;-21.7
106;Total sales;B Mining and quarrying;2020 March;73.4;-11.3;-22.1
107;Total sales;B Mining and quarrying;2020 April;69.8;-4.9;-21.8
108;Total sales;B Mining and quarrying;2020 May;64.3;-7.9;
109;Total sales;B Mining and quarrying;2020 June;61.7;-3.9;-25.2
110;Total sales;B Mining and quarrying;2020 July;60.7;-1.7;-22.8
111;Total sales;B Mining and quarrying;2020 August;62.0;2.1;-20.3
112;Total sales;B Mining and quarrying;2020 September;70.2;13.3;
113;Total sales;B Mining and quarrying;2020 October;73.4;4.5;-15.0
114;Total sales;B Mining and quarrying;2020 November;78.4;6.9;-10.7
115;Total sales;B Mining and quarrying;2020 December;78.9;0.6;-12.6
116;Total sales;B Mining and quarrying;2020;72.1;;-18.8
117;Total sales;B Mining and quarrying;2021 January;83.4;5.7;-6.5
118;Total sales;B Mining and quarrying;2021 February;90.8;8.8;9.6
119;Total sales;B Mining and quarrying;2021 March;86.9;-4.2;18.4
120;Total sales;B Mining and quarrying;2021 April;87.9;1.0;25.9
121;Total sales;B Mining and quarrying;2021 May;96.4;9.7;49.9
122;Total sales;B Mining and quarrying;2021 June;106.1;10.1;71.8
123;Total sales;B Mining and quarrying;2021 July;120.2;13.3;98.1
124;Total sales;B Mining and quarrying;2021 August;135.1;12.4;117.9
125;Total sales;B Mining and quarrying;2021 September;147.4;9.2;109.9
126;Total sales;B Mining and quarrying;2021 October;174.0;18.0;137.1
127;Total sales;B Mining and quarrying;2021 November;195.2;12.2;149.0
128;Total sales;B Mining and quarrying;2021 December;194.0;-0.6;145.9
129;Total sales;B Mining and quarrying;2021;126.4;;75.5
130;Total sales;B Mining and quarrying;2022 January;221.4;14.1;165.5
