ID;Marges;Perioden;TevredenMetHetLeven18_1;OntevredenMetHetLeven18_2;TevredenMetFinancieleSituatie18_3;ZorgenOmVerliezenBetaaldWerk18_4;VertrouwenInDeTweedeKamer15_5;VertrouwenInAndereMensen15_6;VrijwilligerswerkAfgelopen4Weken15_7;InformeleHulpAfgelopen4Weken15_8;WeinigSocialeContacten15_9
0;Waarde;2020 1e kwartaal;86.3;2.6;77.6;14.8;43.7;63.0;28.6;32.4;4.9
1;Waarde;2020 2e kwartaal;85.2;2.3;79.4;15.3;58.3;62.9;15.6;33.5;4.2
2;Waarde;2020 3e kwartaal;84.0;2.8;81.3;16.9;52.4;63.2;17.4;32.7;4.6
3;Waarde;2020 4e kwartaal;83.7;3.3;79.8;13.7;58.3;63.0;22.0;32.9;4.8
4;Waarde;2021 1e kwartaal;80.3;3.5;82.0;13.5;53.3;64.9;19.3;36.5;4.8
5;Waarde;2021 2e kwartaal;83.2;3.4;84.9;13.2;41.0;65.9;21.0;35.9;5.5
6;Waarde;2021 3e kwartaal;85.6;3.2;82.5;11.0;39.9;67.3;22.9;33.1;4.1
7;Waarde;2021 4e kwartaal;85.5;3.1;78.3;11.0;35.3;67.2;26.1;34.3;5.0
8;Ondergrens 95%-interval;2020 1e kwartaal;85.1;2.0;76.5;14.2;41.7;61.3;26.2;31.1;4.5
9;Ondergrens 95%-interval;2020 2e kwartaal;83.9;1.7;78.2;14.6;56.3;61.2;13.3;32.2;3.7
10;Ondergrens 95%-interval;2020 3e kwartaal;83.2;2.1;80.5;16.5;51.5;61.5;15.5;31.6;4.2
11;Ondergrens 95%-interval;2020 4e kwartaal;82.3;2.3;78.7;13.0;56.2;60.9;19.7;31.6;4.4
12;Ondergrens 95%-interval;2021 1e kwartaal;78.6;2.6;80.5;12.7;51.7;62.7;18.1;34.8;4.0
13;Ondergrens 95%-interval;2021 2e kwartaal;82.0;2.6;84.1;12.6;40.2;63.8;19.9;34.4;4.9
14;Ondergrens 95%-interval;2021 3e kwartaal;83.8;2.3;80.9;10.1;38.0;64.9;21.6;31.1;3.4
15;Ondergrens 95%-interval;2021 4e kwartaal;83.8;2.3;76.6;10.1;33.5;64.9;24.8;32.4;4.3
16;Bovengrens 95%-interval;2020 1e kwartaal;87.5;3.2;78.8;15.5;45.7;64.7;31.0;33.8;5.4
17;Bovengrens 95%-interval;2020 2e kwartaal;86.5;3.0;80.5;16.0;60.3;64.5;18.0;34.8;4.6
18;Bovengrens 95%-interval;2020 3e kwartaal;84.8;3.5;82.1;17.2;53.4;64.9;19.4;33.7;5.1
19;Bovengrens 95%-interval;2020 4e kwartaal;85.2;4.2;80.9;14.4;60.4;65.2;24.3;34.2;5.3
20;Bovengrens 95%-interval;2021 1e kwartaal;81.9;4.4;83.6;14.3;54.8;67.2;20.5;38.2;5.5
21;Bovengrens 95%-interval;2021 2e kwartaal;84.4;4.2;85.8;13.8;41.9;68.0;22.0;37.5;6.1
22;Bovengrens 95%-interval;2021 3e kwartaal;87.3;4.2;84.1;11.9;41.7;69.7;24.3;35.0;4.8
23;Bovengrens 95%-interval;2021 4e kwartaal;87.3;4.0;80.0;11.8;37.2;69.5;27.5;36.1;5.7
