ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;LoonkostenPerFte_25;NettoOmzet_26;TotaalVerleendeDiensten_27;AdviseringEnAuditing_28;Detachering_29;OntwikkelenVanInformatiesystemen_30;OpleidingEnTraining_31;SysteemIntegratie_32;AssBijOntwikkelingInformatiesystemen_33;AssBijInvoeringInformatiesystemen_34;BeheerEnExploitatieVanSystemen_35;DatabankActiviteiten_36;Gegevensverwerking_37;ReparatieEnOnderhoudsKontrakten_38;OverigeDienstverlening_39;TotaalHandel_40;HandelInSoftware_41;HandelInHardware_42;OverigeHandelsactiviteiten_43;OntvangstenVoorUitleenEnSubsidie_44;TotaalPersoneelskosten_45;BrutoLonenEnSalarissen_46;SocialeLasten_47;Pensioenpremies_48;KostenUitzendkrachten_49;KostenIngeleendPersoneel_50;OverigePersoneelskosten_51;TotaalOverigeBedrijfslasten_52;TotaalHuisvestingskosten_53;BetaaldeHurenPachtenEDVanLeasing_54;OnroerendeZaakbelastingMilieuheffing_55;Energiekosten_56;ReparatieEnOnderhoudskosten_57;Verzekeringen_58;OverigeHuisvestingskosten_59;TotaalInventarisEnMachinekosten_60;BetaaldeHurenEnKostenVanOperLease_61;Onderhoudskosten_62;OverigeInventarisEnMachinekosten_63;TotaalAutokosten_64;BetaaldeHurenEnKostenVanOperLease_65;Brandstof_66;OverigeAutokosten_67;TotaalVerkoopkosten_68;ReclameEnAdvertentiekosten_69;ReisVerblijfsEnRepresentatiekosten_70;OverigeVerkoopkosten_71;TotaalAndereKosten_72;AccountantsEnAdviesdiensten_73;KantoorbenodigdhDrukwerkVakliteratuur_74;OverigeVerzekeringen_75;OverigeKostprijsverhogendeBelastingen_76;Communicatiekosten_77;Beheerskosten_78;OverigeAutomatiseringskosten_79;NogNietEerderGenoemdeBedrijfskosten_80;TotaalAantalWerkzamePersonen_81;WerknemersOpDeLoonlijst_82;WerknemersNietOpLoonlijst_83;OverigPersoneel_84;AantalVte_85;TotaalInvesteringen_86;TotaalMaterieleVasteActiva_87;Bedrijfsruimten_88;Vervoermiddelen_89;Computers_90;OverigeMachinesApparatenED_91;OverigeMaterieleVasteActiva_92;TotaalImmaterieleVasteActiva_93
0;Totaal SBI 72;1996;102.0;6031;5931;5033;898;100;5391;22.7;50.1;4.6;22.6;1221;180;150;278;179;435;640;-57;583;79.4;10.1;9.7;5.0;41.8;5931;84.9;7.0;25.2;24.5;2.2;1.1;1.9;1.4;6.1;1.5;6.0;6.0;2.0;15.1;3.9;9.8;1.4;0.3;2699;74.5;4.4;3.4;2.0;7.6;8.5;1221;180;65.2;0.7;7.0;7.5;1.4;18.2;150;46.1;33.3;20.7;278;74.1;11.6;14.3;179;40.6;38.4;21.1;435;14.8;11.6;2.3;0.2;17.0;28.2;7.2;18.6;768;81.4;13.3;5.4;729;303.0;83.4;4.8;7.3;52.8;7.1;11.4;16.6
1;Totaal SBI 72;1997;118.5;7796;7659;6525;1134;137;6956;25.0;49.4;4.0;21.6;1502;205;161;328;238;569;840;-32;808;77.3;10.6;10.4;4.6;45.6;7659;85.2;5.9;27.6;22.8;2.2;1.9;1.7;2.5;6.5;1.4;4.0;5.7;2.9;14.8;3.3;11.0;0.5;0.2;3435;73.0;4.5;3.0;2.2;8.2;9.2;1502;205;67.3;0.7;6.8;6.8;1.6;16.5;161;43.3;34.4;21.1;328;74.5;12.2;13.1;238;37.9;41.8;20.2;569;18.1;11.2;1.6;0.1;15.6;21.7;12.1;18.6;886;83.6;9.9;6.4;822;357.0;76.0;4.4;7.0;49.3;4.7;10.5;24.0
2;Totaal SBI 72;1998;122.6;9645;9556;8207;1349;89;8744;24.9;49.1;3.8;22.1;1936;262;206;392;341;736;901;9;910;77.2;9.4;9.4;4.1;;9556;85.9;6.7;28.3;22.2;2.0;2.0;2.2;3.1;6.2;1.8;3.6;5.2;2.6;14.1;3.4;10.1;0.5;0.2;4294;69.8;7.5;3.1;2.1;9.0;8.7;1936;262;;;;;;;206;;;;392;;;;341;;;;736;;;;;;;;;1060;86.0;8.7;5.3;965;392.0;87.5;6.8;4.6;46.8;9.5;19.8;12.5
3;Totaal SBI 72;1999;134.1;11292;11165;9822;1344;127;9981;22.1;51.8;3.8;22.3;2226;313;215;526;355;818;1310;30;1340;80.3;11.6;11.9;;;11165;88.0;8.3;25.7;20.1;1.8;4.3;2.8;3.2;7.9;1.6;3.4;5.6;3.2;12.0;3.2;8.1;0.7;0.5;5172;69.7;7.3;2.8;2.0;10.0;8.8;2226;313;;;;;;;215;;;;526;;;;355;;;;818;;;;;;;;;1177;85.3;9.5;5.2;1073;;;;;;;;
4;Tot 100 000 euro;1996;69.2;253;249;222;27;4;174;25.1;24.7;13.0;37.3;65;8;5;13;10;28;79;1;80;82.5;31.8;31.7;9.0;24.5;249;89.1;20.2;11.3;31.2;3.9;1.2;1.7;4.1;4.4;1.6;1.2;4.4;3.9;10.9;1.7;8.7;0.6;0.6;43;75.8;2.4;7.3;0.9;10.8;3.4;65;8;85.3;0.3;3.3;2.1;0.6;8.4;5;6.4;33.9;59.7;13;36.5;20.9;42.6;10;37.0;51.7;11.3;28;23.2;19.9;1.7;0.5;16.7;7.5;8.6;22.0;96;27.0;71.1;1.8;86;23.0;94.7;2.8;26.4;51.5;4.5;9.5;5.3
5;Tot 100 000 euro;1997;75.9;222;221;193;28;1;140;30.2;21.5;10.3;37.9;53;6;4;10;7;26;81;6;87;80.8;39.4;39.2;5.7;15.9;221;87.3;20.5;11.0;28.3;5.3;1.1;1.5;1.4;4.3;2.1;2.1;5.0;4.8;12.7;1.7;10.5;0.5;0.5;30;77.3;4.0;3.7;1.0;10.7;3.7;53;6;87.7;0.2;2.8;0.4;1.4;7.4;4;11.5;32.9;55.6;10;32.7;18.1;49.2;7;38.3;46.9;14.7;26;27.1;17.2;1.0;0.2;15.5;9.2;3.2;26.6;80;26.0;73.1;0.8;76;13.0;96.8;1.0;31.0;48.5;1.3;15.0;3.2
6;Tot 100 000 euro;1998;74.0;238;236;206;30;2;157;29.1;25.6;10.1;35.2;55;7;3;12;7;25;82;2;84;80.7;35.5;35.3;4.5;;236;87.3;23.1;9.8;24.1;4.0;2.0;2.6;2.6;4.7;4.1;1.6;4.7;4.2;12.7;2.3;9.9;0.5;0.6;40;78.5;5.3;4.9;0.5;8.2;3.3;55;7;;;;;;;3;;;;12;;;;7;;;;25;;;;;;;;;114;47.4;52.2;0.5;110;11.0;93.5;3.2;28.1;48.1;7.2;6.9;6.5
7;Tot 100 000 euro;1999;81.9;316;314;281;33;2;208;27.8;26.3;9.7;36.1;75;10;5;13;13;34;107;43;150;81.5;31.6;47.5;;;314;89.6;23.1;7.9;35.4;3.6;1.5;2.6;1.7;4.9;1.3;1.2;3.3;3.3;10.4;1.7;8.3;0.4;0.6;55;76.5;5.8;2.2;1.1;10.9;4.1;75;10;;;;;;;5;;;;13;;;;13;;;;34;;;;;;;;;103;28.5;70.0;1.5;95;;;;;;;;
8;100 000 tot 250 000 euro;1996;16.4;261;258;215;43;3;192;28.8;34.9;7.3;28.9;55;6;2;10;9;28;70;-1;69;78.6;26.8;26.5;6.3;32.3;258;83.4;17.8;9.7;31.3;3.2;0.9;1.1;2.8;5.3;1.5;0.9;3.2;5.7;16.6;2.3;13.7;0.7;1.2;67;76.2;4.2;5.4;0.6;9.9;4.8;55;6;76.8;0.7;7.7;5.2;2.7;6.8;2;16.4;32.8;50.8;10;38.7;19.3;42.0;9;37.8;42.8;19.4;28;18.1;18.3;4.3;0.1;13.8;16.9;5.6;23.0;42;56.6;39.3;4.2;37;17.0;89.8;3.3;27.9;44.2;3.8;10.6;10.2
9;100 000 tot 250 000 euro;1997;22.4;293;290;251;39;3;246;25.9;39.3;7.1;27.7;68;8;5;12;9;35;46;7;53;78.0;18.0;18.1;4.9;33.5;290;86.5;15.0;15.1;30.0;3.6;2.0;3.0;4.9;5.4;0.5;2.5;1.9;2.6;13.5;2.9;9.8;0.8;0.8;97;80.9;4.6;4.0;0.6;5.7;5.0;68;8;84.3;0.3;4.7;4.0;0.9;5.9;5;8.6;21.9;69.4;12;44.6;18.9;36.5;9;30.5;49.3;20.3;35;25.0;12.1;1.8;0.0;10.9;21.4;5.1;23.7;49;65.7;31.2;3.1;44;14.0;92.4;7.4;29.3;38.7;4.8;12.2;7.6
