ID;Lozingsbron;RegioS;Perioden;TotaleLozing_1;TotaleLozingBijWaterbeheerders_2;ViaRioolNaarRioolwaterzuivering_3;ViaRioolOpZoetRijkswater_4;ViaRioolOpZoutRijkswater_5;RegionaalOppervlaktewater_6;Bodem_7;TotaleLozingBijRijkswaterstaat_8;ZoetRijkswater_9;ZoutRijkswater_10;TotaleBelastingOppervlaktewater_11;RegionaalOppervlaktewater_12;ZoetRijkswater_13;ZoutRijkswater_14
0;Totaal alle bronnen;Nederland;1995;22871.1;22322.1;21752.9;120.7;13.8;434.7;;549.0;413.8;135.3;4683.5;2637.5;1387.4;658.6
1;Totaal alle bronnen;Nederland;1996;22952.7;22328.1;21750.7;122.8;19.6;435.0;;624.5;477.7;146.9;4751.2;2570.2;1469.9;711.0
2;Totaal alle bronnen;Nederland;1997;23151.0;22647.0;22097.0;79.4;19.7;450.9;;504.0;354.1;149.9;4308.6;2308.5;1237.7;762.4
3;Totaal alle bronnen;Nederland;1998;23154.0;22677.4;22172.0;53.0;19.1;433.3;;476.6;335.1;141.4;4521.2;2456.4;1337.6;727.2
4;Totaal alle bronnen;Nederland;1999;23259.9;22810.0;22291.3;20.2;20.3;429.6;48.6;449.9;320.4;129.4;4310.0;2340.8;1237.0;732.1
5;Totaal alle bronnen;Nederland;2000;23198.3;22802.4;22287.7;19.0;18.5;428.4;48.9;395.8;285.4;110.4;3972.8;2147.4;1156.1;669.3
6;Totaal alle bronnen;Nederland;2002;23267.3;22904.3;22458.6;12.8;12.8;371.8;48.4;363.0;271.3;91.7;3923.0;2070.8;1126.3;725.9
7;Totaal alle bronnen;Nederland;2004;23161.3;22859.4;22438.4;14.1;15.8;356.4;34.7;301.8;224.0;77.8;3471.2;1864.0;986.3;620.9
8;Totaal alle bronnen;Nederland;2006;23172.0;22879.8;22462.4;15.0;17.7;337.6;47.2;292.1;203.9;88.2;3167.2;1639.1;948.6;579.6
9;Totaal alle bronnen;Nederland;2008;23549.6;23192.0;22730.6;109.3;25.6;279.4;47.0;357.6;227.4;130.2;3030.1;1633.3;1056.8;340.0
10;Totaal alle bronnen;Noord-Nederland (LD);1995;2477.9;2452.9;2357.8;0.0;0.0;95.1;;25.0;0.2;24.8;668.5;638.6;0.2;29.7
11;Totaal alle bronnen;Noord-Nederland (LD);1996;2455.9;2432.5;2345.7;0.0;5.7;81.1;;23.4;0.1;23.3;632.1;599.6;0.1;32.5
12;Totaal alle bronnen;Noord-Nederland (LD);1997;2502.8;2466.6;2381.6;0.0;5.7;79.2;;36.2;0.1;36.2;562.4;518.3;0.1;44.0
13;Totaal alle bronnen;Noord-Nederland (LD);1998;2448.1;2429.9;2348.9;0.0;5.5;75.6;;18.2;0.1;18.1;592.7;567.2;0.1;25.4
14;Totaal alle bronnen;Noord-Nederland (LD);1999;2473.3;2455.8;2375.8;0.3;4.3;64.4;11.0;17.5;0.1;17.3;493.2;468.7;0.4;24.1
15;Totaal alle bronnen;Noord-Nederland (LD);2000;2437.2;2417.8;2338.3;0.3;4.1;64.2;10.9;19.4;0.1;19.3;457.5;431.6;0.4;25.6
16;Totaal alle bronnen;Noord-Nederland (LD);2002;2473.1;2465.3;2398.1;0.2;0.0;62.8;4.1;7.8;2.3;5.5;474.1;463.9;2.5;7.7
17;Totaal alle bronnen;Noord-Nederland (LD);2004;2467.8;2451.9;2386.1;0.0;0.0;61.3;4.6;16.0;0.1;15.9;402.1;384.2;0.1;17.8
18;Totaal alle bronnen;Noord-Nederland (LD);2006;2433.8;2418.8;2364.6;0.3;0.0;49.7;4.3;15.0;0.1;14.9;355.8;339.0;0.3;16.5
19;Totaal alle bronnen;Noord-Nederland (LD);2008;2422.2;2387.9;2337.1;0.2;2.3;45.9;2.4;34.3;0.4;33.9;398.6;359.7;0.6;38.2
20;Totaal alle bronnen;Oost-Nederland (LD);1995;4771.1;4720.4;4550.7;65.7;0.0;104.1;;50.7;50.7;0.0;805.3;447.0;358.3;0.0
21;Totaal alle bronnen;Oost-Nederland (LD);1996;4773.8;4698.1;4526.6;66.5;0.0;104.9;;75.7;75.7;0.0;887.8;476.0;411.8;0.0
22;Totaal alle bronnen;Oost-Nederland (LD);1997;4800.7;4769.2;4626.8;43.6;0.0;98.9;;31.5;31.5;0.0;742.5;422.7;319.7;0.0
23;Totaal alle bronnen;Oost-Nederland (LD);1998;4862.3;4826.0;4709.8;21.3;0.0;94.9;;36.3;36.3;0.0;766.1;425.1;340.9;0.0
24;Totaal alle bronnen;Oost-Nederland (LD);1999;4824.4;4792.6;4683.1;0.0;0.0;99.6;10.0;31.8;31.8;0.0;672.1;392.8;279.4;0.0
25;Totaal alle bronnen;Oost-Nederland (LD);2000;4853.5;4823.8;4713.9;0.0;0.0;99.9;10.0;29.7;29.7;0.0;676.9;403.7;273.2;0.0
26;Totaal alle bronnen;Oost-Nederland (LD);2002;4949.4;4913.4;4828.7;0.0;0.0;73.1;11.6;36.0;36.0;0.0;623.2;335.3;287.9;0.0
27;Totaal alle bronnen;Oost-Nederland (LD);2004;4985.7;4960.9;4866.9;0.0;0.0;81.9;12.1;24.7;24.7;0.0;565.4;319.1;246.3;0.0
28;Totaal alle bronnen;Oost-Nederland (LD);2006;4906.7;4883.9;4779.5;0.0;0.0;83.7;20.7;22.8;22.8;0.0;539.3;301.3;238.0;0.0
29;Totaal alle bronnen;Oost-Nederland (LD);2008;4923.6;4893.1;4809.3;0.0;0.0;64.7;19.1;30.5;30.5;0.0;545.8;298.4;247.4;0.0
30;Totaal alle bronnen;West-Nederland (LD);1995;10031.1;9592.1;9362.2;44.5;13.8;171.5;;439.1;328.6;110.5;2277.7;838.1;868.8;570.8
31;Totaal alle bronnen;West-Nederland (LD);1996;10147.2;9664.4;9426.2;45.8;13.9;178.5;;482.8;359.3;123.6;2299.2;774.5;898.8;625.9
32;Totaal alle bronnen;West-Nederland (LD);1997;10339.2;9950.8;9691.7;34.9;14.0;210.1;;388.4;274.7;113.7;2204.8;762.5;774.4;667.9
33;Totaal alle bronnen;West-Nederland (LD);1998;10367.0;9968.8;9716.3;30.9;13.6;208.1;;398.2;274.8;123.4;2305.4;797.4;872.2;635.8
34;Totaal alle bronnen;West-Nederland (LD);1999;10404.0;10026.1;9777.3;19.1;15.9;208.4;5.5;377.9;265.8;112.1;2283.5;806.1;828.9;648.5
35;Totaal alle bronnen;West-Nederland (LD);2000;10325.0;10013.2;9768.1;17.9;14.3;207.4;5.6;311.8;220.7;91.1;2036.1;698.1;750.6;587.4
36;Totaal alle bronnen;West-Nederland (LD);2002;10335.1;10037.0;9823.9;11.2;12.8;183.6;5.5;298.1;211.9;86.3;2073.0;714.0;710.7;648.2
37;Totaal alle bronnen;West-Nederland (LD);2004;10263.7;10026.2;9825.6;13.0;15.8;171.4;0.4;237.5;175.6;61.9;1802.2;638.4;616.9;546.9
38;Totaal alle bronnen;West-Nederland (LD);2006;10416.7;10183.1;9994.2;13.5;17.7;153.4;4.3;233.6;160.2;73.3;1656.5;556.3;589.8;510.4
39;Totaal alle bronnen;West-Nederland (LD);2008;10853.1;10580.3;10344.5;108.4;23.3;100.9;3.3;272.8;176.5;96.3;1465.4;523.0;693.7;248.6
40;Totaal alle bronnen;Zuid-Nederland (LD);1995;5591.0;5556.7;5482.2;10.5;0.0;64.0;;34.3;34.3;0.0;932.0;713.8;160.1;58.1
41;Totaal alle bronnen;Zuid-Nederland (LD);1996;5575.8;5533.2;5452.2;10.5;0.0;70.5;;42.6;42.6;0.0;932.0;720.2;159.1;52.7
42;Totaal alle bronnen;Zuid-Nederland (LD);1997;5508.3;5460.5;5396.9;0.9;0.0;62.7;;47.9;47.9;0.0;798.9;604.9;143.5;50.4
43;Totaal alle bronnen;Zuid-Nederland (LD);1998;5476.6;5452.6;5397.0;0.9;0.0;54.7;;24.0;24.0;0.0;857.0;666.7;124.3;66.0
44;Totaal alle bronnen;Zuid-Nederland (LD);1999;5558.2;5535.4;5455.2;0.9;0.0;57.3;22.1;22.8;22.8;0.0;861.1;673.3;128.3;59.5
45;Totaal alle bronnen;Zuid-Nederland (LD);2000;5582.5;5547.6;5467.4;0.9;0.0;57.0;22.4;34.9;34.9;0.0;802.4;614.1;131.9;56.4
46;Totaal alle bronnen;Zuid-Nederland (LD);2002;5509.8;5488.7;5407.8;1.4;0.0;52.3;27.1;21.1;21.1;0.0;752.7;557.5;125.2;70.0
47;Totaal alle bronnen;Zuid-Nederland (LD);2004;5444.1;5420.4;5359.9;1.1;0.0;41.9;17.6;23.6;23.6;0.0;701.5;522.3;123.0;56.2
48;Totaal alle bronnen;Zuid-Nederland (LD);2006;5414.7;5394.0;5324.1;1.2;0.0;50.7;17.9;20.8;20.8;0.0;615.6;442.5;120.4;52.7
49;Totaal alle bronnen;Zuid-Nederland (LD);2008;5350.7;5330.6;5239.7;0.7;0.0;68.0;22.2;20.0;20.0;0.0;620.4;452.2;115.1;53.1
50;Totaal alle bronnen;Groningen (PV);1995;840.0;815.3;774.6;0.0;0.0;40.8;;24.7;0.0;24.7;329.8;305.2;0.0;24.7
51;Totaal alle bronnen;Groningen (PV);1996;809.6;786.7;747.3;0.0;5.7;33.6;;23.0;0.0;23.0;298.3;269.6;0.0;28.7
52;Totaal alle bronnen;Groningen (PV);1997;823.2;787.3;750.7;0.0;5.7;30.8;;35.9;0.0;35.9;286.0;244.3;0.0;41.7
53;Totaal alle bronnen;Groningen (PV);1998;794.9;777.0;743.8;0.0;5.5;27.8;;17.8;0.0;17.8;276.4;253.1;0.0;23.3
54;Totaal alle bronnen;Groningen (PV);1999;782.2;765.2;729.0;0.3;4.3;26.5;5.1;17.1;0.0;17.1;208.2;186.5;0.3;21.4
55;Totaal alle bronnen;Groningen (PV);2000;777.2;758.4;722.4;0.3;4.1;26.5;5.1;18.8;0.0;18.8;200.3;177.0;0.3;23.0
56;Totaal alle bronnen;Groningen (PV);2002;789.3;783.9;760.7;0.2;0.0;22.6;0.3;5.4;0.0;5.4;205.7;200.1;0.2;5.4
57;Totaal alle bronnen;Groningen (PV);2004;788.3;773.0;753.3;0.0;0.0;19.4;0.3;15.4;0.0;15.4;163.7;148.3;0.0;15.4
58;Totaal alle bronnen;Groningen (PV);2006;783.5;769.2;757.7;0.3;0.0;11.3;0.0;14.3;0.0;14.3;131.6;117.0;0.3;14.3
59;Totaal alle bronnen;Groningen (PV);2008;793.0;759.8;747.6;0.2;2.3;9.6;0.0;33.2;0.0;33.2;180.3;144.5;0.2;35.5
60;Totaal alle bronnen;Friesland (PV);1995;935.2;934.9;894.6;0.0;0.0;40.3;;0.3;0.2;0.1;217.5;212.3;0.2;5.0
61;Totaal alle bronnen;Friesland (PV);1996;938.2;937.8;897.4;0.0;0.0;40.4;;0.4;0.1;0.3;234.3;230.4;0.1;3.8
62;Totaal alle bronnen;Friesland (PV);1997;962.7;962.3;921.1;0.0;0.0;41.2;;0.3;0.1;0.3;193.8;191.3;0.1;2.4
63;Totaal alle bronnen;Friesland (PV);1998;942.5;942.2;901.5;0.0;0.0;40.7;;0.3;0.1;0.2;217.5;215.3;0.1;2.1
64;Totaal alle bronnen;Friesland (PV);1999;977.8;977.4;945.4;0.0;0.0;32.0;0.0;0.4;0.1;0.3;193.2;190.4;0.1;2.7
65;Totaal alle bronnen;Friesland (PV);2000;970.5;970.0;938.1;0.0;0.0;32.0;0.0;0.5;0.1;0.4;168.4;165.8;0.1;2.6
66;Totaal alle bronnen;Friesland (PV);2002;975.3;973.0;940.7;0.0;0.0;32.2;0.0;2.4;2.3;0.1;149.1;144.5;2.3;2.2
67;Totaal alle bronnen;Friesland (PV);2004;969.6;969.0;936.8;0.0;0.0;32.2;0.0;0.6;0.1;0.5;146.9;144.3;0.1;2.4
68;Totaal alle bronnen;Friesland (PV);2006;934.9;934.2;902.7;0.0;0.0;31.5;0.0;0.7;0.1;0.6;134.1;131.8;0.1;2.3
69;Totaal alle bronnen;Friesland (PV);2008;918.3;917.1;889.6;0.0;0.0;27.5;0.0;1.1;0.4;0.7;130.9;127.8;0.4;2.7
70;Totaal alle bronnen;Drenthe (PV);1995;702.7;702.7;688.7;0.0;0.0;14.1;;0.0;0.0;0.0;121.2;121.2;0.0;0.0
71;Totaal alle bronnen;Drenthe (PV);1996;708.0;708.0;700.9;0.0;0.0;7.1;;0.0;0.0;0.0;99.5;99.5;0.0;0.0
72;Totaal alle bronnen;Drenthe (PV);1997;717.0;717.0;709.8;0.0;0.0;7.2;;0.0;0.0;0.0;82.7;82.7;0.0;0.0
73;Totaal alle bronnen;Drenthe (PV);1998;710.7;710.7;703.6;0.0;0.0;7.1;;0.0;0.0;0.0;98.8;98.8;0.0;0.0
74;Totaal alle bronnen;Drenthe (PV);1999;713.3;713.3;701.5;0.0;0.0;5.9;5.9;0.0;0.0;0.0;91.8;91.8;0.0;0.0
75;Totaal alle bronnen;Drenthe (PV);2000;689.4;689.4;677.8;0.0;0.0;5.8;5.8;0.0;0.0;0.0;88.8;88.8;0.0;0.0
76;Totaal alle bronnen;Drenthe (PV);2002;708.4;708.4;696.7;0.0;0.0;7.9;3.8;0.0;0.0;0.0;119.3;119.3;0.0;0.0
77;Totaal alle bronnen;Drenthe (PV);2004;709.9;709.9;696.0;0.0;0.0;9.7;4.3;0.0;0.0;0.0;91.6;91.6;0.0;0.0
78;Totaal alle bronnen;Drenthe (PV);2006;715.4;715.4;704.2;0.0;0.0;6.9;4.3;0.0;0.0;0.0;90.2;90.2;0.0;0.0
79;Totaal alle bronnen;Drenthe (PV);2008;711.0;711.0;699.8;0.0;0.0;8.8;2.4;0.0;0.0;0.0;87.4;87.4;0.0;0.0
80;Totaal alle bronnen;Overijssel (PV);1995;1546.4;1542.2;1498.9;0.0;0.0;43.3;;4.2;4.2;0.0;289.0;250.8;38.2;0.0
81;Totaal alle bronnen;Overijssel (PV);1996;1543.6;1539.6;1496.2;0.0;0.0;43.4;;4.0;4.0;0.0;311.2;271.1;40.1;0.0
82;Totaal alle bronnen;Overijssel (PV);1997;1540.6;1534.8;1492.4;0.0;0.0;42.4;;5.8;5.8;0.0;270.7;232.9;37.8;0.0
83;Totaal alle bronnen;Overijssel (PV);1998;1549.6;1545.9;1503.3;0.0;0.0;42.7;;3.7;3.7;0.0;280.2;241.9;38.3;0.0
