ID;Inkomensbegrippen;Inkomensklassen;KenmerkenVanHetHuishouden;Perioden;ParticuliereHuishoudens_1;PersonenInParticuliereHuishoudens_2;PersonenPerHuishouden_3;PersonenMetInkomenPerHuishouden_4
0;15;1;1;2000;6791.0;15650.0;2.3;1.7
1;15;1;1;2001;6862.0;15785.0;2.3;1.7
2;15;1;1;2002;6919.0;15864.0;2.3;1.7
3;15;1;1;2003;6948.0;15905.0;2.3;1.7
4;15;1;1;2004;6990.0;15954.0;2.3;1.7
5;15;1;1;2005;7061.0;16004.0;2.3;1.7
6;15;1;1;2006;7109.0;16034.0;2.3;1.7
7;15;1;1;2007;7166.0;16090.0;2.2;1.7
8;15;1;1;2008;7242.0;16186.0;2.2;1.7
9;15;1;1;2009;7303.0;16258.0;2.2;1.7
10;15;1;1;2010;7337.0;16303.0;2.2;1.7
11;15;1;1;2011;7416.0;16392.0;2.2;1.7
12;15;1;1;2012;7470.0;16442.0;2.2;1.7
13;15;1;1;2013;7488.0;16452.0;2.2;1.7
14;15;1;1;2014;7557.0;16524.0;2.2;1.7
15;15;1;22;2000;2249.0;2249.0;1.0;1.0
16;15;1;22;2001;2288.0;2288.0;1.0;1.0
17;15;1;22;2002;2325.0;2325.0;1.0;1.0
18;15;1;22;2003;2342.0;2342.0;1.0;1.0
19;15;1;22;2004;2368.0;2368.0;1.0;1.0
20;15;1;22;2005;2435.0;2435.0;1.0;1.0
21;15;1;22;2006;2473.0;2473.0;1.0;1.0
22;15;1;22;2007;2511.0;2511.0;1.0;1.0
23;15;1;22;2008;2561.0;2561.0;1.0;1.0
24;15;1;22;2009;2599.0;2599.0;1.0;1.0
25;15;1;22;2010;2617.0;2617.0;1.0;1.0
26;15;1;22;2011;2679.0;2679.0;1.0;1.0
27;15;1;22;2012;2717.0;2717.0;1.0;1.0
28;15;1;22;2013;2716.0;2716.0;1.0;1.0
29;15;1;22;2014;2774.0;2774.0;1.0;1.0
30;15;1;23;2000;1008.0;1008.0;1.0;1.0
31;15;1;23;2001;1028.0;1028.0;1.0;1.0
32;15;1;23;2002;1050.0;1050.0;1.0;1.0
33;15;1;23;2003;1063.0;1063.0;1.0;1.0
34;15;1;23;2004;1072.0;1072.0;1.0;1.0
35;15;1;23;2005;1104.0;1104.0;1.0;1.0
36;15;1;23;2006;1126.0;1126.0;1.0;1.0
37;15;1;23;2007;1149.0;1149.0;1.0;1.0
38;15;1;23;2008;1183.0;1183.0;1.0;1.0
39;15;1;23;2009;1203.0;1203.0;1.0;1.0
40;15;1;23;2010;1217.0;1217.0;1.0;1.0
41;15;1;23;2011;1254.0;1254.0;1.0;1.0
42;15;1;23;2012;1279.0;1279.0;1.0;1.0
43;15;1;23;2013;1284.0;1284.0;1.0;1.0
