ID;Regions;Periods;PriceIndex_1;ChangesOnePeriodPrevious_2;ChangesOneYearPrevious_3;Number_4;ChangesOnePeriodPrevious_5;ChangesOneYearPrevious_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
0;Oost-Groningen (CR);1995 January;;;;;;;;
1;Oost-Groningen (CR);1995 February;;;;;;;;
2;Oost-Groningen (CR);1995 March ;;;;;;;;
3;Oost-Groningen (CR);1995 1st quarter;41.7;;;278.0;;;60607.0;17.0
4;Oost-Groningen (CR);1995 April;;;;;;;;
5;Oost-Groningen (CR);1995 May;;;;;;;;
6;Oost-Groningen (CR);1995 June;;;;;;;;
7;Oost-Groningen (CR);1995 2nd quarter;41.8;0.4;;419.0;50.7;;61280.0;26.0
8;Oost-Groningen (CR);1995 July;;;;;;;;
9;Oost-Groningen (CR);1995 August;;;;;;;;
10;Oost-Groningen (CR);1995 September;;;;;;;;
11;Oost-Groningen (CR);1995 3rd quarter;42.8;2.3;;412.0;-1.7;;65309.0;27.0
12;Oost-Groningen (CR);1995 October;;;;;;;;
13;Oost-Groningen (CR);1995 November;;;;;;;;
14;Oost-Groningen (CR);1995 December;;;;;;;;
15;Oost-Groningen (CR);1995 4th quarter;43.2;1.0;;559.0;35.7;;65797.0;37.0
16;Oost-Groningen (CR);1995;44.0;;;1668.0;;;63677.0;106.0
17;Oost-Groningen (CR);1996 January;;;;;;;;
18;Oost-Groningen (CR);1996 February;;;;;;;;
19;Oost-Groningen (CR);1996 March ;;;;;;;;
20;Oost-Groningen (CR);1996 1st quarter;44.6;3.3;7.2;444.0;-20.6;59.7;65511.0;29.0
21;Oost-Groningen (CR);1996 April;;;;;;;;
22;Oost-Groningen (CR);1996 May;;;;;;;;
23;Oost-Groningen (CR);1996 June;;;;;;;;
24;Oost-Groningen (CR);1996 2nd quarter;46.3;3.8;10.8;500.0;12.6;19.3;67175.0;34.0
25;Oost-Groningen (CR);1996 July;;;;;;;;
26;Oost-Groningen (CR);1996 August;;;;;;;;
27;Oost-Groningen (CR);1996 September;;;;;;;;
28;Oost-Groningen (CR);1996 3rd quarter;47.1;1.7;10.1;514.0;2.8;24.8;70397.0;36.0
29;Oost-Groningen (CR);1996 October;;;;;;;;
30;Oost-Groningen (CR);1996 November;;;;;;;;
31;Oost-Groningen (CR);1996 December;;;;;;;;
32;Oost-Groningen (CR);1996 4th quarter;48.5;3.0;12.3;555.0;8.0;-0.7;69655.0;39.0
33;Oost-Groningen (CR);1996;48.4;10.0;10.0;2013.0;20.7;20.7;68314.0;138.0
34;Oost-Groningen (CR);1997 January;;;;;;;;
35;Oost-Groningen (CR);1997 February;;;;;;;;
36;Oost-Groningen (CR);1997 March ;;;;;;;;
37;Oost-Groningen (CR);1997 1st quarter;49.3;1.5;10.4;355.0;-36.0;-20.0;70961.0;25.0
38;Oost-Groningen (CR);1997 April;;;;;;;;
39;Oost-Groningen (CR);1997 May;;;;;;;;
40;Oost-Groningen (CR);1997 June;;;;;;;;
41;Oost-Groningen (CR);1997 2nd quarter;49.4;0.3;6.6;573.0;61.4;14.6;68910.0;39.0
42;Oost-Groningen (CR);1997 July;;;;;;;;
43;Oost-Groningen (CR);1997 August;;;;;;;;
44;Oost-Groningen (CR);1997 September;;;;;;;;
45;Oost-Groningen (CR);1997 3rd quarter;52.1;5.5;10.6;517.0;-9.8;0.6;77812.0;40.0
46;Oost-Groningen (CR);1997 October;;;;;;;;
47;Oost-Groningen (CR);1997 November;;;;;;;;
48;Oost-Groningen (CR);1997 December;;;;;;;;
49;Oost-Groningen (CR);1997 4th quarter;52.5;0.8;8.2;532.0;2.9;-4.1;75834.0;40.0
50;Oost-Groningen (CR);1997;52.8;9.0;9.0;1977.0;-1.8;-1.8;73469.0;145.0
51;Oost-Groningen (CR);1998 January;;;;;;;;
52;Oost-Groningen (CR);1998 February;;;;;;;;
53;Oost-Groningen (CR);1998 March ;;;;;;;;
54;Oost-Groningen (CR);1998 1st quarter;53.1;1.1;7.8;411.0;-22.7;15.8;74886.0;31.0
55;Oost-Groningen (CR);1998 April;;;;;;;;
56;Oost-Groningen (CR);1998 May;;;;;;;;
57;Oost-Groningen (CR);1998 June;;;;;;;;
58;Oost-Groningen (CR);1998 2nd quarter;54.3;2.2;9.9;604.0;47.0;5.4;79178.0;48.0
59;Oost-Groningen (CR);1998 July;;;;;;;;
60;Oost-Groningen (CR);1998 August;;;;;;;;
61;Oost-Groningen (CR);1998 September;;;;;;;;
62;Oost-Groningen (CR);1998 3rd quarter;56.2;3.6;7.9;535.0;-11.4;3.5;84832.0;45.0
63;Oost-Groningen (CR);1998 October;;;;;;;;
64;Oost-Groningen (CR);1998 November;;;;;;;;
65;Oost-Groningen (CR);1998 December;;;;;;;;
66;Oost-Groningen (CR);1998 4th quarter;58.6;4.2;11.5;573.0;7.1;7.7;88029.0;50.0
67;Oost-Groningen (CR);1998;57.7;9.2;9.2;2123.0;7.4;7.4;82161.0;174.0
68;Oost-Groningen (CR);1999 January;;;;;;;;
69;Oost-Groningen (CR);1999 February;;;;;;;;
70;Oost-Groningen (CR);1999 March ;;;;;;;;
71;Oost-Groningen (CR);1999 1st quarter;58.1;-0.9;9.3;449.0;-21.6;9.2;87438.0;39.0
72;Oost-Groningen (CR);1999 April;;;;;;;;
73;Oost-Groningen (CR);1999 May;;;;;;;;
74;Oost-Groningen (CR);1999 June;;;;;;;;
75;Oost-Groningen (CR);1999 2nd quarter;61.0;5.1;12.4;572.0;27.4;-5.3;94084.0;54.0
76;Oost-Groningen (CR);1999 July;;;;;;;;
77;Oost-Groningen (CR);1999 August;;;;;;;;
78;Oost-Groningen (CR);1999 September;;;;;;;;
