ID;Sectoren;Perioden;SaldoUitgavenEnInkomsten_1;TotaalUitgaven_2;LonenEnSocialeLasten_3;AankoopVanGoederenEnDiensten_4;DuurzameMilitaireAanschaffingen_5;Afschrijvingen_6;RentePacht_7;Inkomensoverdrachten_8;Kapitaaloverdrachten_9;Investeringen_10;TotaalInkomsten_11;VerkoopNietDuurzameGoederenDiensten_12;VerkoopVanDuurzameMilitaireGoederen_13;Rente_14;ConcessierechtenPacht_15;DividendenEnWinstafdrachten_16;BelastingenOpProductieEnInvoer_17;BelastingenOpInkomenEnVermogen_18;OverigeInkomensoverdrachten_19;Vermogensheffingen_20;OverigeKapitaaloverdrachten_21;VerkoopVanInvesteringsgoederen_22;Afschrijvingen_23;SaldoVorderingenEnSchulden_24;KredietverleningenDeelnemingen_25;Kredietaflossingen_26;AflossingSchuld_27;OpnemingSchuld_28
0;Overheid en marktbedrijven;1996;-4695;88464;7690;4980;510;2456;14027;51956;4063;2782;83769;1781;162;588;2301;2348;32505;38552;992;885;768;429;2456;4695;1585;1939;11920;16261
1;Overheid en marktbedrijven;1997;-6909;93569;7978;5328;669;2535;13934;54474;5989;2662;86660;1777;129;455;2487;2288;35301;39301;986;946;126;329;2535;6909;-5235;1788;8656;8541
2;Overheid en marktbedrijven;1998;-4333;95627;8285;5807;520;2612;14076;57048;4447;2832;91294;1555;271;609;1577;2214;38028;40692;1209;1120;120;1287;2612;4333;4528;3618;19588;24831
3;Overheid en marktbedrijven;1999;-2880;99704;8781;6176;1057;2679;13518;60008;4682;2804;96824;1771;34;613;1164;1913;42573;43014;987;1291;146;639;2679;2880;372;2997;54252;54507
4;Overheid en marktbedrijven;2000;1554;105278;9113;6794;741;2795;12608;64268;5986;2973;106831;2143;-2;679;1791;2101;45537;45811;1152;1483;188;3151;2795;-1554;-2638;1281;30385;24912
5;Overheid en marktbedrijven;2001;-355;115916;9748;8163;937;2900;12104;71557;6707;3799;115561;2389;3;981;2816;3578;51173;48319;1500;1307;307;288;2900;355;2699;2136;19542;20460
6;Overheid en marktbedrijven;2002;-4909;123090;10415;8555;855;2951;11269;78787;5892;4368;118181;2637;-1;940;2476;2863;52571;50183;1560;1695;141;166;2951;4909;3647;1686;25576;32447
7;Overheid en marktbedrijven;2003;-13538;130877;10831;8551;848;2989;10754;85517;6556;4831;117339;3003;5;988;2932;2175;53981;47509;1596;1460;189;511;2989;13538;10786;3869;23967;44422
8;Overheid en marktbedrijven;2004;-8637;130265;10819;7951;858;3028;10658;86239;6671;4041;121628;3122;4;1089;3139;2780;56845;47638;1734;1512;330;409;3028;8637;5780;3180;18920;30161
9;Overheid en marktbedrijven;2005;501;133026;10949;8499;632;3135;10439;89051;6481;3842;133527;2826;641;1077;4479;3062;59581;54693;1682;1709;166;474;3135;-501;17349;5286;27086;38649
10;Overheid en marktbedrijven;2006;4077;141455;11318;9077;794;3220;10265;96230;6449;4102;145532;2925;443;1301;6145;3863;63802;59488;1928;1810;194;414;3220;-4077;-760;5473;28092;17791
11;Overheid en marktbedrijven;2007;2720;151174;11804;9970;721;3362;10725;102971;7212;4410;153894;3115;103;1463;5643;4092;66709;64879;2077;1877;143;432;3362;-2720;3019;3154;26974;24119
12;Overheid en marktbedrijven;2008;2747;159612;12247;10581;1002;3502;11565;107973;8032;4709;162360;3350;148;2304;9413;5208;67770;66013;2262;1795;324;272;3502;-2747;21427;2793;21392;37278
13;Overheid en marktbedrijven;2009*;-19176;173189;12681;11658;1142;3541;10844;115952;12428;4943;154013;3459;134;2956;6621;5241;62948;64295;2319;1813;422;266;3540;19176;33646;15902;34853;71773
14;Overheid;1996;-4691;88352;7633;4929;510;2456;14027;51956;4063;2777;83661;1724;162;588;2301;2348;32505;38552;941;885;768;429;2456;4691;1585;1939;11920;16257
15;Overheid;1997;-6905;93498;7933;5306;669;2535;13934;54474;5989;2658;86593;1761;129;455;2487;2288;35301;39301;935;946;126;329;2535;6905;-5235;1788;8656;8537
16;Overheid;1998;-4329;95550;8237;5782;520;2612;14076;57048;4447;2828;91221;1542;271;609;1577;2214;38028;40692;1150;1120;120;1287;2612;4329;4528;3618;19588;24827
17;Overheid;1999;-2877;99608;8730;6137;1057;2678;13517;60007;4682;2799;96730;1741;34;613;1164;1913;42573;43014;925;1291;146;639;2678;2877;371;2997;54252;54504
18;Overheid;2000;1565;105164;9060;6747;741;2794;12608;64268;5980;2967;106728;2129;-2;679;1791;2101;45537;45811;1065;1483;188;3151;2794;-1565;-2638;1281;30384;24900
19;Overheid;2001;-347;115758;9677;8107;937;2895;12092;71557;6703;3789;115411;2338;3;976;2816;3578;51173;48319;1411;1307;307;287;2895;347;2698;2136;19541;20450
20;Overheid;2002;-4903;122883;10335;8444;855;2945;11271;78787;5891;4356;117980;2588;-1;936;2476;2863;52571;50183;1418;1695;141;166;2945;4903;3652;1686;25575;32443
21;Overheid;2003;-13540;130690;10743;8467;848;2983;10750;85517;6556;4826;117151;2946;5;988;2932;2175;53981;47509;1472;1460;189;511;2983;13540;10782;3869;23958;44412
22;Overheid;2004;-8643;130016;10717;7833;858;3019;10655;86229;6671;4035;121374;3039;4;1088;3139;2780;56845;47638;1576;1512;330;405;3019;8643;5781;3180;18906;30150
23;Overheid;2005;503;132760;10846;8390;632;3126;10407;89051;6481;3828;133263;2742;641;1077;4479;3062;59581;54693;1514;1709;166;473;3126;-503;17327;5286;27078;38617
24;Overheid;2006;4085;141174;11216;8939;794;3211;10259;96223;6449;4083;145259;2813;443;1299;6145;3863;63802;59488;1779;1810;194;412;3211;-4085;-760;5447;28088;17797
25;Overheid;2007;2728;150865;11691;9812;721;3353;10721;102963;7212;4393;153593;2994;103;1462;5643;4092;66709;64879;1908;1877;143;431;3353;-2728;3041;3154;26968;24127
26;Overheid;2008;2756;159305;12137;10419;1002;3494;11559;107973;8032;4689;162061;3246;148;2304;9413;5208;67770;66013;2079;1795;324;269;3494;-2756;21427;2793;21379;37257
27;Overheid;2009*;-19169;172846;12564;11477;1142;3533;10826;115952;12428;4924;153677;3309;134;2956;6621;5241;62948;64295;2145;1813;422;263;3532;19169;33622;15901;34846;71736
28;Marktbedrijven;1996;-4;113;57;51;0;0;0;0;0;5;108;57;0;0;0;0;0;0;51;0;0;0;0;4;0;0;0;4
29;Marktbedrijven;1997;-4;71;44;23;0;0;0;0;0;4;67;15;0;0;0;0;0;0;51;0;0;0;0;4;0;0;0;4
30;Marktbedrijven;1998;-4;77;48;25;0;0;0;0;0;4;73;14;0;0;0;0;0;0;59;0;0;0;0;4;0;0;0;4
31;Marktbedrijven;1999;-3;96;51;39;0;1;0;1;0;4;93;30;0;0;0;0;0;0;62;0;0;0;1;3;0;0;0;3
32;Marktbedrijven;2000;-11;114;53;47;0;1;0;0;6;6;103;15;0;0;0;0;0;0;87;0;0;0;1;11;0;0;1;12
33;Marktbedrijven;2001;-8;158;71;56;0;5;12;0;4;10;150;50;0;5;0;0;0;0;89;0;0;1;5;8;1;0;1;10
34;Marktbedrijven;2002;-6;207;80;111;0;5;-2;0;1;11;201;48;0;4;0;0;0;0;142;0;0;1;5;6;-5;0;1;4
35;Marktbedrijven;2003;2;187;87;85;0;7;4;0;0;5;189;58;0;0;0;0;0;0;124;0;0;0;7;-2;4;0;8;11
36;Marktbedrijven;2004;6;248;102;118;0;10;3;9;0;7;255;83;0;1;0;0;0;0;158;0;0;3;10;-6;-1;0;14;11
37;Marktbedrijven;2005;-2;266;103;109;0;10;31;0;0;13;264;84;0;1;0;0;0;0;168;0;0;1;10;2;22;0;8;32
38;Marktbedrijven;2006;-8;281;102;138;0;9;6;7;0;19;273;112;0;1;0;0;0;0;149;0;0;2;9;8;0;26;4;-6
39;Marktbedrijven;2007;-8;309;113;158;0;8;4;8;0;17;301;122;0;1;0;0;0;0;169;0;0;1;8;8;-22;0;6;-8
40;Marktbedrijven;2008;-9;308;110;162;0;8;6;0;0;21;299;104;0;0;0;0;0;0;183;0;0;4;8;9;-1;0;13;21
41;Marktbedrijven;2009*;-7;342;116;181;0;9;18;0;0;18;336;149;0;0;0;0;0;0;175;0;0;3;9;7;24;1;7;36
