ID;Leeftijd;PrognoseInterval;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
0;Totaal alle leeftijden;Prognose;2015;16898898;8371544;8527353
1;Totaal alle leeftijden;Prognose;2016;16971478;8409843;8561634
2;Totaal alle leeftijden;Prognose;2017;17045154;8448262;8596893
3;Totaal alle leeftijden;Prognose;2018;17118414;8485919;8632494
4;Totaal alle leeftijden;Prognose;2019;17186002;8520113;8665888
5;Totaal alle leeftijden;Prognose;2020;17248834;8551396;8697438
6;Totaal alle leeftijden;Prognose;2021;17306578;8579790;8726787
7;Totaal alle leeftijden;Prognose;2022;17363350;8607556;8755794
8;Totaal alle leeftijden;Prognose;2023;17418656;8634442;8784214
9;Totaal alle leeftijden;Prognose;2024;17472464;8660447;8812017
10;Totaal alle leeftijden;Prognose;2025;17524138;8685259;8838878
11;Totaal alle leeftijden;Prognose;2026;17573728;8708955;8864773
12;Totaal alle leeftijden;Prognose;2027;17621012;8731423;8889589
13;Totaal alle leeftijden;Prognose;2028;17666038;8752695;8913342
14;Totaal alle leeftijden;Prognose;2029;17708714;8772738;8935975
15;Totaal alle leeftijden;Prognose;2030;17748974;8791519;8957454
16;Totaal alle leeftijden;Prognose;2031;17786414;8808785;8977629
17;Totaal alle leeftijden;Prognose;2032;17820930;8824480;8996450
18;Totaal alle leeftijden;Prognose;2033;17852384;8838538;9013846
19;Totaal alle leeftijden;Prognose;2034;17880618;8850863;9029756
20;Totaal alle leeftijden;Prognose;2035;17905596;8861445;9044151
21;Totaal alle leeftijden;Prognose;2036;17927236;8870225;9057011
22;Totaal alle leeftijden;Prognose;2037;17945608;8877263;9068344
23;Totaal alle leeftijden;Prognose;2038;17960838;8882628;9078211
24;Totaal alle leeftijden;Prognose;2039;17973106;8886430;9086677
25;Totaal alle leeftijden;Prognose;2040;17982704;8888857;9093848
26;Totaal alle leeftijden;Prognose;2041;17989956;8890080;9099875
27;Totaal alle leeftijden;Prognose;2042;17995136;8890253;9104883
28;Totaal alle leeftijden;Prognose;2043;17998666;8889609;9109056
29;Totaal alle leeftijden;Prognose;2044;18000914;8888341;9112572
30;Totaal alle leeftijden;Prognose;2045;18002344;8886669;9115675
31;Totaal alle leeftijden;Prognose;2046;18003364;8884810;9118555
32;Totaal alle leeftijden;Prognose;2047;18004332;8882944;9121388
33;Totaal alle leeftijden;Prognose;2048;18005396;8881156;9124239
34;Totaal alle leeftijden;Prognose;2049;18006728;8879579;9127150
35;Totaal alle leeftijden;Prognose;2050;18008402;8878278;9130124
36;Totaal alle leeftijden;Prognose;2051;18010442;8877284;9133158
37;Totaal alle leeftijden;Prognose;2052;18012910;8876686;9136223
38;Totaal alle leeftijden;Prognose;2053;18015830;8876501;9139329
39;Totaal alle leeftijden;Prognose;2054;18019292;8876798;9142494
40;Totaal alle leeftijden;Prognose;2055;18023386;8877634;9145753
41;Totaal alle leeftijden;Prognose;2056;18028228;8879088;9149139
