ID;ZeeEnKustvaart;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Totaal Zee- en kustvaart;2006 1e kwartaal; 105,9;     ;     ;100
1;Totaal Zee- en kustvaart;2006 2e kwartaal;  99,8; -5,8;     ;100
2;Totaal Zee- en kustvaart;2006 3e kwartaal;  99,2; -0,6;     ;100
3;Totaal Zee- en kustvaart;2006 4e kwartaal;  95,1; -4,1;     ;100
4;Totaal Zee- en kustvaart;2006 jaargemiddelde;   100;     ;     ;100
5;Totaal Zee- en kustvaart;2007 1e kwartaal;  91,9; -3,4;-13,2;100
6;Totaal Zee- en kustvaart;2007 2e kwartaal;  92,2;  0,3; -7,6;100
7;Totaal Zee- en kustvaart;2007 3e kwartaal;  95,4;  3,5; -3,8;100
8;Totaal Zee- en kustvaart;2007 4e kwartaal;  93,7; -1,8; -1,5;100
9;Totaal Zee- en kustvaart;2007 jaargemiddelde;  93,3;     ; -6,7;100
10;Totaal Timecharter;2006 1e kwartaal; 104,1;     ;     ;40
11;Totaal Timecharter;2006 2e kwartaal;  98,7; -5,2;     ;40
12;Totaal Timecharter;2006 3e kwartaal;  98,5; -0,2;     ;40
13;Totaal Timecharter;2006 4e kwartaal;  98,6;  0,1;     ;40
14;Totaal Timecharter;2006 jaargemiddelde;   100;     ;     ;40
15;Totaal Timecharter;2007 1e kwartaal;  98,3; -0,3; -5,6;40
16;Totaal Timecharter;2007 2e kwartaal;  97,4; -0,9; -1,3;40
17;Totaal Timecharter;2007 3e kwartaal;  97,4;  0,0; -1,1;40
18;Totaal Timecharter;2007 4e kwartaal;  93,2; -4,3; -5,5;40
19;Totaal Timecharter;2007 jaargemiddelde;  96,6;     ; -3,4;40
20;Totaal Containerlijnvaart;2006 1e kwartaal; 107,1;     ;     ;60
21;Totaal Containerlijnvaart;2006 2e kwartaal; 100,6; -6,1;     ;60
22;Totaal Containerlijnvaart;2006 3e kwartaal;  99,6; -1,0;     ;60
23;Totaal Containerlijnvaart;2006 4e kwartaal;  92,6; -7,0;     ;60
24;Totaal Containerlijnvaart;2006 jaargemiddelde;   100;     ;     ;60
25;Totaal Containerlijnvaart;2007 1e kwartaal;  87,2; -5,8;-18,6;60
26;Totaal Containerlijnvaart;2007 2e kwartaal;  88,5;  1,5;-12,0;60
27;Totaal Containerlijnvaart;2007 3e kwartaal;  94,0;  6,2; -5,6;60
28;Totaal Containerlijnvaart;2007 4e kwartaal;  94,2;  0,2;  1,7;60
29;Totaal Containerlijnvaart;2007 jaargemiddelde;  91,0;     ; -9,0;60
30;Containerlijnvaart inkomend;2006 1e kwartaal; 103,3;     ;     ;30
31;Containerlijnvaart inkomend;2006 2e kwartaal;  99,6; -3,6;     ;30
32;Containerlijnvaart inkomend;2006 3e kwartaal; 100,1;  0,5;     ;30
33;Containerlijnvaart inkomend;2006 4e kwartaal;  96,9; -3,2;     ;30
34;Containerlijnvaart inkomend;2006 jaargemiddelde;   100;     ;     ;30
35;Containerlijnvaart inkomend;2007 1e kwartaal;  97,1;  0,2; -6,0;30
36;Containerlijnvaart inkomend;2007 2e kwartaal;  99,6;  2,6;  0,0;30
37;Containerlijnvaart inkomend;2007 3e kwartaal; 111,6; 12,0; 11,5;30
38;Containerlijnvaart inkomend;2007 4e kwartaal; 110,2; -1,3; 13,7;30
39;Containerlijnvaart inkomend;2007 jaargemiddelde; 104,6;     ;  4,6;30
40;Containerlijnvaart uitgaand;2006 1e kwartaal; 111,1;     ;     ;30
41;Containerlijnvaart uitgaand;2006 2e kwartaal; 101,7; -8,5;     ;30
42;Containerlijnvaart uitgaand;2006 3e kwartaal;  99,2; -2,5;     ;30
43;Containerlijnvaart uitgaand;2006 4e kwartaal;  88,0;-11,3;     ;30
44;Containerlijnvaart uitgaand;2006 jaargemiddelde;   100;     ;     ;30
45;Containerlijnvaart uitgaand;2007 1e kwartaal;  78,1;-11,3;-29,7;30
46;Containerlijnvaart uitgaand;2007 2e kwartaal;  78,3;  0,3;-23,0;30
47;Containerlijnvaart uitgaand;2007 3e kwartaal;  78,4;  0,1;-21,0;30
48;Containerlijnvaart uitgaand;2007 4e kwartaal;  80,0;  2,0; -9,1;30
49;Containerlijnvaart uitgaand;2007 jaargemiddelde;  78,7;     ;-21,3;30
