ID;Partijen;GeldigeStemmen_1;GeldigeStemmenRelatief_2;TotaalMannenEnVrouwen_3;Mannen_4;Vrouwen_5
0;Totaal;9838683;100.0;150;95;55
1;1;5149;0.1;0;0;0
2;2;2608573;26.5;41;29;12
3;3;390969;4.0;6;4;2
4;4;559;0.0;0;0;0
5;5;193232;2.0;3;2;1
6;6;62829;0.6;0;0;0
7;7;20956;0.2;0;0;0
8;8;2297;0.0;0;0;0
9;9;453054;4.6;7;3;4
10;Groep Wilders / Partij voor de Vrijheid;579490;5.9;9;8;1
11;Liberaal Democratische Partij;2276;0.0;0;0;0
12;Lijst Poortman;2181;0.0;0;0;0
13;Lijst Potmis;4339;0.0;0;0;0
14;LRVP - het Zeteltje;185;0.0;0;0;0
15;Nederland Transparant;2318;0.0;0;0;0
16;Partij van de Arbeid (PvdA);2085077;21.2;33;17;16
17;Partij voor de Dieren;179988;1.8;2;0;2
18;PVN - Partij voor Nederland;5010;0.1;0;0;0
19;SMP;184;0.0;0;0;0
20;SP (Socialistische Partij);1630803;16.6;25;16;9
21;Staatkundig Gereformeerde Partij (SGP);153266;1.6;2;2;0
22;Tamara's Open Partij;114;0.0;0;0;0
23;VERENIGDE SENIOREN PARTIJ;12522;0.1;0;0;0
24;VVD;1443312;14.7;22;14;8
