ID;Geslacht;Leeftijd;RegioS;DiagnoseIndelingVTV;Perioden;TotaalOpnamen_1;TotaalOpnamenPer10000Inwoners_2;Dagopnamen_3;DagopnamenPer10000Inwoners_4;KlinischeOpnamen_5;KlinischeOpnamenPer10000Inwoners_6;VerpleegdagenVanKlinischeOpnamen_7;VerpleegdagenPer10000Inwoners_8;GemVerpleegduurPerKlinischeOpname_9
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1981;;;;;1573266.0;1104.4;20657396.0;14500.4;13.1
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1982;;;;;1598833.0;1117.3;20422397.0;14271.5;12.8
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1983;;;;;1605463.0;1117.5;19971374.0;13901.2;12.3
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1984;;;;;1565163.0;1084.9;19076081.0;13222.7;12.1
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1985;;;;;1554166.0;1072.3;18663607.0;12876.9;12.0
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1986;;;;;1537658.0;1054.9;18122631.0;12433.4;11.8
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1987;;;;;1509121.0;1028.9;17356245.0;11833.7;11.5
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1988;;;;;1508987.0;1022.2;17052711.0;11553.0;11.3
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1989;;;;;1527300.0;1028.4;16776187.0;11296.7;11.0
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1990;;;;;1520970.0;1016.9;16305230.0;10901.5;10.6
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1991;;;;;1528055.0;1013.9;16098047.0;10681.7;10.5
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1992;;;;;1546279.0;1018.4;15869986.0;10452.0;10.3
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1;1993;2089853.0;1366.8;531790.0;347.7;1558063.0;1019.0;15607863.0;10207.7;10.0
