ID;Aardoliegrondstoffen;Bestemming;Perioden;TotaalAanbod_1;Winning_2;ProductieUitAardolie_3;ProductieUitAndereBronnen_4;Invoer_5;Uitvoer_6;Voorraadmutatie_7;TotaalVerbruik_8;Verwerking_9;FinaalVerbruik_10;Beginvoorraad_11;Eindvoorraad_12;Voorraadmutatie_13
0;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1944;;2.0;;;;;;;;;;;
1;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1945;;6.0;;;;;;;;;;;
2;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1946;;63.0;;;;;;;;;;;
3;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1947;;213.0;;;;;;;;;;;
4;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1948;;496.0;;;;;;;;;;;
5;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1949;;621.0;;;;;;;;;;;
6;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1950;;705.0;;;;;;;;;;;
7;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1951;;714.0;;;;;;;;;;;
8;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1952;;715.0;;;;;;;;;;;
9;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1953;;820.0;;;;;;;;;;;
10;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1954;;939.0;;;;;;;;;;;
11;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1955;;1024.0;;;;;;;;;;;
12;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1956;;1097.0;;;;;;;;;;;
13;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1957;;1523.0;;;;;;;;;;;
14;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1958;;1621.0;;;;;;;;;;;
15;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1959;;1773.0;;;;;;;;;;;
16;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1960;;1918.0;;;;;;;;;;;
17;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1961;;2047.0;;;;;;;;;;;
18;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1962;;2157.0;;;;;;;;;;;
19;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1963;;2215.0;;;;;;;;;;;
20;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1964;;2269.0;;;;;;;;;;;
21;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1965;;2395.0;;;;;;;;;;;
22;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1966;;2366.0;;;;;;;;;;;
23;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1967;;2265.0;;;;;;;;;;;
24;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1968;;2147.0;;;;;;;;;;;
25;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1969;;2020.0;;;;;;;;;;;
26;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1970;;1919.0;;;;;;;;;;;
27;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1971;;1714.0;;;;;;;;;;;
28;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1972;;1637.0;;;;;;;;;;;
29;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1973;;1556.0;;;;;;;;;;;
30;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1974;;1575.0;;;;;;;;;;;
31;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1975;;1573.0;;;;;;;;;;;
32;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1976;;1546.0;;;;;;;;;;;
33;Totaal aardoliegrondstoffen;Totaal voor verwerking en doorvoer;1977;;1598.0;;;;;;;;;;;
