ID;AfzetMotorbrandstoffen;Perioden;TotaalAfzet_1;TotaalWegverkeerEnOverigeAfnemers_2;AutogasLpg_3;TotaalMotorbenzine_4;Euro95_5;SuperOngelood98_6;NormaalGelood_7;SuperGelood_8;TotaalDiesel_9;Laagzwavelig_10;Hoogzwavelig_11;Aardgas_12;Elektriciteit_13;TotaalScheepvaart_14;TotaalGasolieEnLichteStookolie_15;AfzetAanBinnenvaart_16;AfzetAanZeevaart_17;AfzetAanHandelarenScheepvaart_18;TotaalStookolie_19;Laagzwavelig_20;Hoogzwavelig_21;TotaalLuchtvaart_22;Vliegtuigkerosine_23;Vliegtuigbenzine_24;JetfuelOpBenzinebasis_25;TotaalRailverkeer_26;Diesel_27;Elektriciteit_28;AutogasLpg_29;TotaalMotorbenzine_30;Euro95_31;SuperOngelood98_32;NormaalGelood_33;SuperGelood_34;TotaalDiesel_35;Laagzwavelig_36;Hoogzwavelig_37;Aardgas_38;Elektriciteit_39;TotaalGasolieEnLichteStookolie_40;AfzetAanBinnenvaart_41;AfzetAanZeevaart_42;AfzetAanHandelarenScheepvaart_43;TotaalStookolie_44;Laagzwavelig_45;Hoogzwavelig_46;Vliegtuigkerosine_47;Vliegtuigbenzine_48;JetfuelOpBenzinebasis_49;Diesel_50;Elektriciteit_51;AutogasLpg_52;TotaalMotorbenzine_53;Euro95_54;SuperOngelood98_55;NormaalGelood_56;SuperGelood_57;TotaalDiesel_58;Laagzwavelig_59;Hoogzwavelig_60
0;Totaal afzet;1946;;;;17.8;;;17.8;;;;;;;;;;;;;;;;;;;;;;;405.0;;;405.0;;;;;;;;;;;;;;;;;;;;545.0;;;545.0;;;;
1;Totaal afzet;1947;;;;23.8;;;23.8;;;;;;;;;;;;;;;;;;;;;;;540.0;;;540.0;;;;;;;;;;;;;;;;;;;;728.0;;;728.0;;;;
2;Totaal afzet;1948;;;;25.3;;;25.3;;;;;;;;;;;;;;;;;;;;;;;575.0;;;575.0;;;;;;;;;;;;;;;;;;;;778.0;;;778.0;;;;
3;Totaal afzet;1949;;;;28.2;;;28.2;;;;;;;;;;;;;;;;;;;;;;;640.0;;;640.0;;;;;;;;;;;;;;;;;;;;865.0;;;865.0;;;;
4;Totaal afzet;1950;;;;29.0;;;29.0;;0.9;;0.9;;;;;;;;;;;;;;;;;;;660.0;;;660.0;;21.0;;21.0;;;;;;;;;;;;;;;;890.0;;;890.0;;25.0;;25.0
5;Totaal afzet;1951;;;;29.7;;;29.7;;1.8;;1.8;;;;;;;;;;;;;;;;;;;675.0;;;675.0;;42.0;;42.0;;;;;;;;;;;;;;;;906.0;;;906.0;;50.0;;50.0
6;Totaal afzet;1952;;;;29.9;;;29.9;;2.9;;2.9;;;;;;;;;;;;;;;;;;;680.0;;;680.0;;67.0;;67.0;;;;;;;;;;;;;;;;910.0;;;910.0;;80.0;;80.0
7;Totaal afzet;1953;;;;32.8;;;32.8;;5.3;;5.3;;;;;;;;;;;;;;;;;;;745.0;;;745.0;;125.0;;125.0;;;;;;;;;;;;;;;;999.0;;;999.0;;150.0;;150.0
8;Totaal afzet;1954;;;;35.9;;;35.9;;7.1;;7.1;;;;;;;;;;;;;;;;;;;817.0;;;817.0;;167.0;;167.0;;;;;;;;;;;;;;;;1097.0;;;1097.0;;200.0;;200.0
9;Totaal afzet;1955;;48.9;0.7;39.1;;;36.0;3.1;9.2;;9.2;;;;;;;;;;;6.9;;1.6;;;;;15.0;888.0;;;818.0;70.0;215.0;;215.0;;;;;;;1535.0;;;;37.0;;;;27.0;1208.0;;;1113.0;95.0;259.0;;259.0
10;Totaal afzet;1956;176.1;55.5;0.9;43.5;;;35.6;7.9;11.1;;11.1;;;;;;;40.7;72.7;;;7.2;;;;;;;20.0;989.0;;;809.0;180.0;260.0;;260.0;;;;;;953.0;1773.0;;;;;;;;36.0;1346.0;;;1101.0;245.0;313.0;;313.0
11;Totaal afzet;1957;167.1;56.6;1.4;43.0;;;32.3;10.7;12.3;;12.3;;;;;;;38.3;63.6;;;8.6;;;;;;;30.0;977.0;;;734.0;243.0;287.0;;287.0;;;;;;898.0;1551.0;;;;;;;;55.0;1329.0;;;999.0;330.0;346.0;;346.0
12;Totaal afzet;1958;173.8;61.2;1.9;45.6;;;31.6;14.0;13.7;;13.7;;;;;;;40.5;62.1;;;10.0;;;;;;;42.0;1037.0;;;718.0;319.0;320.0;;320.0;;;;;;948.0;1515.0;;;;;;;;76.0;1410.0;;;970.0;440.0;386.0;;386.0
13;Totaal afzet;1959;171.2;67.1;2.5;48.7;;;31.3;17.4;15.9;;15.9;;;;;;;36.9;55.2;;;12.0;;;;;;;55.0;1107.0;;;712.0;395.0;372.0;;372.0;;;;;;865.0;1347.0;;;;;;;;100.0;1496.0;;;962.0;534.0;448.0;;448.0
14;Totaal afzet;1960;208.9;74.4;2.8;53.5;;;31.5;21.9;18.1;;18.1;;;;;;;42.2;80.0;;;12.3;3.1;2.3;7.0;;;;63.0;1215.0;;;717.0;498.0;424.0;;424.0;;;;;;988.0;1950.0;;;71.0;52.0;160.0;;;115.0;1615.0;;;950.0;665.0;511.0;;511.0
15;Totaal afzet;1961;256.0;81.4;2.4;57.9;;;29.7;28.2;21.2;;21.2;;;161.8;;5.1;;44.1;112.6;;;12.8;;1.8;;;;;52.0;1315.0;;;675.0;640.0;496.0;;496.0;;;;119.0;;1032.0;2747.0;;;;40.0;;;;95.0;1746.0;;;896.0;850.0;598.0;;598.0
16;Totaal afzet;1962;279.7;90.2;2.3;62.8;;;26.6;36.2;25.2;;25.2;;;176.1;;6.2;;46.1;123.8;;;13.4;5.4;1.6;6.4;;;;50.0;1427.0;;;605.0;822.0;589.0;;589.0;;;;145.0;;1080.0;3018.0;;;124.0;37.0;147.0;;;91.0;1907.0;;;807.0;1100.0;710.0;;710.0
17;Totaal afzet;1963;293.1;98.3;2.1;67.8;;;25.3;42.5;28.4;;28.4;;;180.4;;6.6;;47.5;126.3;;;14.4;6.7;1.5;6.2;;;;46.0;1541.0;;;575.0;966.0;665.0;;665.0;;;;155.0;;1113.0;3081.0;;;155.0;33.0;142.0;;;84.0;2082.0;;;777.0;1305.0;801.0;;801.0
18;Totaal afzet;1964;330.5;110.8;2.1;78.2;;;26.7;51.6;30.4;;30.4;;;205.8;;6.1;;50.3;149.4;;;13.8;7.4;1.4;5.0;;;;47.0;1778.0;;;606.0;1172.0;713.0;;713.0;;;;144.0;;1178.0;3645.0;;;171.0;32.0;114.0;;;85.0;2393.0;;;816.0;1577.0;860.0;;860.0
19;Totaal afzet;1965;370.7;121.1;2.2;86.2;;;25.4;60.9;32.7;;32.7;;;234.4;;5.9;;54.1;174.4;;;15.2;5.8;1.2;8.2;;;;48.0;1960.0;;;577.0;1383.0;765.0;;765.0;;;;139.0;;1266.0;4254.0;;;133.0;28.0;189.0;;;87.0;2670.0;;;786.0;1884.0;910.0;;910.0
20;Totaal afzet;1966;383.2;131.7;2.4;95.3;;;25.8;69.6;34.0;;34.0;;;233.7;;4.8;;57.9;171.0;;;17.8;4.1;1.3;12.4;;;;52.0;2167.0;;;586.0;1581.0;796.0;;796.0;;;;113.0;;1357.0;4171.0;;;95.0;29.0;284.0;;;95.0;2954.0;;;799.0;2155.0;961.0;;961.0
21;Totaal afzet;1967;405.5;140.5;2.2;104.3;;;26.7;77.6;34.0;;34.0;;;245.9;;5.9;;63.4;176.6;;;19.0;5.7;1.3;11.9;;;;49.0;2370.0;;;606.0;1764.0;797.0;;797.0;;;;139.0;;1485.0;4308.0;;;132.0;30.0;274.0;;;93.0;3216.0;;;823.0;2393.0;959.0;;959.0
22;Totaal afzet;1968;478.2;153.5;2.2;115.2;;;26.5;88.7;36.1;;36.1;;;301.9;;4.9;;71.5;225.5;;;22.8;7.1;1.2;14.5;;;;49.0;2618.0;;;602.0;2016.0;845.0;;845.0;;;;115.0;;1674.0;5500.0;;;164.0;27.0;333.0;;;89.0;3544.0;;;815.0;2729.0;1021.0;;1021.0
23;Totaal afzet;1969;560.2;161.4;2.4;121.4;;;25.8;95.5;37.6;;37.6;;;372.0;;5.5;;84.9;281.6;;;26.8;10.7;0.6;15.4;;;;54.0;2758.0;;;587.0;2171.0;881.0;;881.0;;;;128.0;;1989.0;6867.0;;;247.0;14.0;355.0;;;98.0;3726.0;;;794.0;2932.0;1064.0;;1064.0
