ID;BedrijfstakkenBranchesSBI2008;Vestigingsgrootte;RegioS;Perioden;ProductieBasisprijzen_1;ToegevoegdeWaardeBrutoBasisprijzen_2;BeloningVanWerknemers_3;ArbeidsvolumeWerkzamePersonen_4;ArbeidsvolumeWerknemers_5
0;A-U Alle economische activiteiten;Totaal werkzame personen;Nederland;2007;1085523.0;507645.0;280313.0;6729.3;5906.2
1;A-U Alle economische activiteiten;Totaal werkzame personen;Nederland;2008;1149447.0;528239.0;294716.0;6831.7;6013.9
2;A-U Alle economische activiteiten;Totaal werkzame personen;Nederland;2009;1092974.0;509151.0;298517.0;6759.2;5939.1
3;A-U Alle economische activiteiten;Totaal werkzame personen;Noord-Nederland (LD);2007;96436.0;49595.0;23594.0;610.4;520.8
4;A-U Alle economische activiteiten;Totaal werkzame personen;Noord-Nederland (LD);2008;105044.0;55099.0;24720.0;616.3;528.6
5;A-U Alle economische activiteiten;Totaal werkzame personen;Noord-Nederland (LD);2009;97958.0;50690.0;24952.0;607.8;520.3
6;A-U Alle economische activiteiten;Totaal werkzame personen;Oost-Nederland (LD);2007;188810.0;90182.0;52707.0;1345.1;1168.9
7;A-U Alle economische activiteiten;Totaal werkzame personen;Oost-Nederland (LD);2008;198417.0;93622.0;55634.0;1365.7;1189.4
8;A-U Alle economische activiteiten;Totaal werkzame personen;Oost-Nederland (LD);2009;191623.0;91582.0;56494.0;1353.8;1177.1
9;A-U Alle economische activiteiten;Totaal werkzame personen;West-Nederland (LD);2007;553212.0;255935.0;144756.0;3315.6;2935.7
10;A-U Alle economische activiteiten;Totaal werkzame personen;West-Nederland (LD);2008;587303.0;263332.0;151663.0;3365.7;2988.0
11;A-U Alle economische activiteiten;Totaal werkzame personen;West-Nederland (LD);2009;562442.0;256181.0;154097.0;3337.5;2958.2
12;A-U Alle economische activiteiten;Totaal werkzame personen;Zuid-Nederland (LD);2007;238759.0;105642.0;58829.0;1452.6;1275.2
13;A-U Alle economische activiteiten;Totaal werkzame personen;Zuid-Nederland (LD);2008;249536.0;108927.0;62268.0;1478.5;1302.4
14;A-U Alle economische activiteiten;Totaal werkzame personen;Zuid-Nederland (LD);2009;234046.0;105491.0;62537.0;1454.6;1278.0
15;A-U Alle economische activiteiten;Totaal werkzame personen;Extra-Regio;2007;8306.0;6291.0;427.0;5.6;5.6
16;A-U Alle economische activiteiten;Totaal werkzame personen;Extra-Regio;2008;9147.0;7259.0;431.0;5.5;5.5
17;A-U Alle economische activiteiten;Totaal werkzame personen;Extra-Regio;2009;6905.0;5207.0;437.0;5.5;5.5
18;A-U Alle economische activiteiten;Totaal werkzame personen;Groningen (PV);2007;40008.0;21857.0;8537.0;208.9;182.6
