ID;Persoonskenmerken;Cijfersoort;Perioden;SlachtofferschapTotaal_1;GeweldsdelictenTotaal_2;SeksueleDelicten_3;Mishandeling_4;Bedreiging_5;VermogensdelictenTotaal_6;TotaalInbrakenEnPogingTotInbraak_7;Inbraak_8;PogingTotInbraak_9;Fietsdiefstallen_10;DiefstalVanEnUitDeAuto18_11;TotaalZakkenrollerij_12;ZakkenrollerijZonderGeweld_13;ZakkenrollerijMetGeweld_14;OverigeDiefstal_15;VandalismedelictenTotaal_16;OverigeVernieling_17;OverigeDelicten_18;TotaalInbrakenEnPogingTotInbraak_19;Inbraak_20;PogingTotInbraak_21;Fietsdiefstal_22
0;1100;Waarde;2008;26.1;5.4;1.5;1.2;3.7;13.2;2.5;1.1;1.6;5.4;1.8;1.9;1.8;0.2;3.5;13.6;6.3;1.0;2.5;1.2;1.6;5.7
1;1100;Waarde;2009;26.9;5.7;1.5;1.1;3.9;13.3;2.8;1.3;1.8;5.4;1.9;1.8;1.7;0.2;3.5;14.2;6.7;1.0;2.7;1.2;1.7;5.7
2;1100;Betrouwbaarheidsmarge;2008;0.7;0.4;0.2;0.2;0.3;0.5;0.3;0.2;0.2;0.4;0.2;0.2;0.2;0.1;0.3;0.5;0.4;0.2;0.3;0.2;0.2;0.4
3;1100;Betrouwbaarheidsmarge;2009;0.4;0.2;0.1;0.1;0.2;0.3;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.0;0.2;0.3;0.2;0.1;0.2;0.1;0.1;0.2
4;20920;Waarde;2008;36.0;12.2;2.8;4.7;9.6;23.4;2.2;1.0;1.5;13.5;;5.2;4.9;0.3;5.2;11.9;11.9;3.3;2.2;1.1;1.4;13.7
5;20920;Waarde;2009;34.1;12.2;3.3;3.2;7.9;20.8;3.8;2.0;2.2;11.3;;4.7;4.3;0.6;4.4;9.8;9.8;1.3;4.0;2.0;2.2;11.5
6;20920;Betrouwbaarheidsmarge;2008;36.3;13.6;4.5;4.1;7.9;21.5;3.6;1.6;2.3;12.9;;3.4;3.2;0.3;5.0;13.3;8.8;1.3;4.3;1.7;2.9;13.4
7;20920;Betrouwbaarheidsmarge;2009;2.1;1.4;0.7;0.8;1.2;1.8;0.9;0.7;0.6;1.4;;1.0;0.9;0.3;0.8;1.3;1.3;0.5;0.9;0.7;0.7;1.5
8;20930;Waarde;2008;4.0;2.9;1.0;2.1;2.8;3.5;0.8;0.5;0.7;3.1;1.5;1.8;1.8;0.2;1.4;2.3;2.3;2.2;0.9;0.7;0.6;3.1
9;20930;Waarde;2009;40.0;13.9;4.6;3.6;8.4;24.1;4.7;2.2;3.0;13.6;1.7;3.7;3.5;0.4;5.3;16.1;10.3;1.3;5.8;2.8;3.7;14.1
10;20930;Betrouwbaarheidsmarge;2008;2.5;1.8;1.1;1.1;1.4;2.1;0.9;0.5;0.8;1.7;0.6;0.9;0.9;0.2;1.2;1.8;1.4;0.4;1.6;0.6;1.5;1.8
