ID;LeeftijdsklassenKind;Perioden;Partneradopties_1;PartneradoptiesBijDuomoeders_2;OverigePartneradopties_3
0;Totaal leeftijd;2000;122;0;122
1;Totaal leeftijd;2001;180;58;122
2;Totaal leeftijd;2002;391;289;102
3;Totaal leeftijd;2003;368;249;119
4;Totaal leeftijd;2004;328;232;96
5;Totaal leeftijd;2005;304;217;87
6;Totaal leeftijd;2006;313;219;94
7;Totaal leeftijd;2007;321;223;98
8;Totaal leeftijd;2008;288;211;77
9;Totaal leeftijd;2009;428;350;78
10;Totaal leeftijd;2010;443;366;77
11;Totaal leeftijd;2011;435;351;84
12;0 jaar;2000;2;0;2
13;0 jaar;2001;17;13;4
14;0 jaar;2002;76;73;3
15;0 jaar;2003;80;76;4
16;0 jaar;2004;96;93;3
17;0 jaar;2005;107;106;1
18;0 jaar;2006;117;116;1
19;0 jaar;2007;128;125;3
20;0 jaar;2008;123;121;2
21;0 jaar;2009;217;212;5
22;0 jaar;2010;265;260;5
23;0 jaar;2011;240;240;0
24;1 jaar;2000;2;0;2
25;1 jaar;2001;10;7;3
26;1 jaar;2002;48;45;3
27;1 jaar;2003;43;39;4
28;1 jaar;2004;50;49;1
29;1 jaar;2005;35;30;5
30;1 jaar;2006;37;35;2
31;1 jaar;2007;36;33;3
32;1 jaar;2008;32;32;0
33;1 jaar;2009;75;74;1
34;1 jaar;2010;42;40;2
35;1 jaar;2011;34;33;1
36;2 jaar;2000;3;0;3
37;2 jaar;2001;9;7;2
38;2 jaar;2002;25;24;1
39;2 jaar;2003;30;28;2
40;2 jaar;2004;13;11;2
41;2 jaar;2005;12;12;0
42;2 jaar;2006;17;16;1
43;2 jaar;2007;19;18;1
44;2 jaar;2008;20;16;4
45;2 jaar;2009;20;20;0
46;2 jaar;2010;21;19;2
47;2 jaar;2011;26;24;2
48;3 of 4 jaar;2000;8;0;8
49;3 of 4 jaar;2001;18;11;7
50;3 of 4 jaar;2002;51;49;2
51;3 of 4 jaar;2003;50;44;6
52;3 of 4 jaar;2004;34;30;4
53;3 of 4 jaar;2005;26;21;5
54;3 of 4 jaar;2006;25;18;7
55;3 of 4 jaar;2007;23;20;3
56;3 of 4 jaar;2008;13;11;2
57;3 of 4 jaar;2009;25;21;4
58;3 of 4 jaar;2010;15;13;2
59;3 of 4 jaar;2011;33;29;4
60;5 of 6 jaar;2000;17;0;17
61;5 of 6 jaar;2001;25;6;19
62;5 of 6 jaar;2002;59;46;13
63;5 of 6 jaar;2003;34;21;13
64;5 of 6 jaar;2004;28;19;9
65;5 of 6 jaar;2005;35;24;11
66;5 of 6 jaar;2006;32;17;15
67;5 of 6 jaar;2007;14;7;7
68;5 of 6 jaar;2008;16;9;7
69;5 of 6 jaar;2009;10;7;3
70;5 of 6 jaar;2010;15;7;8
71;5 of 6 jaar;2011;13;10;3
72;7 tot 10 jaar;2000;29;0;29
73;7 tot 10 jaar;2001;42;11;31
74;7 tot 10 jaar;2002;63;39;24
75;7 tot 10 jaar;2003;61;25;36
76;7 tot 10 jaar;2004;38;20;18
77;7 tot 10 jaar;2005;23;14;9
78;7 tot 10 jaar;2006;30;13;17
79;7 tot 10 jaar;2007;31;6;25
80;7 tot 10 jaar;2008;20;9;11
81;7 tot 10 jaar;2009;27;7;20
82;7 tot 10 jaar;2010;19;6;13
83;7 tot 10 jaar;2011;24;3;21
84;10 jaar of ouder;2000;61;0;61
85;10 jaar of ouder;2001;59;3;56
86;10 jaar of ouder;2002;69;13;56
87;10 jaar of ouder;2003;70;16;54
88;10 jaar of ouder;2004;69;10;59
89;10 jaar of ouder;2005;66;10;56
90;10 jaar of ouder;2006;55;4;51
91;10 jaar of ouder;2007;70;14;56
92;10 jaar of ouder;2008;64;13;51
93;10 jaar of ouder;2009;54;9;45
94;10 jaar of ouder;2010;66;21;45
95;10 jaar of ouder;2011;65;12;53
