ID;Perioden;StandSchuldUltimoVorigePeriode_1;NieuwOpgenomenSchuld_2;AfgelosteSchuld_3;TotaleToeOfAfneming_4;StandSchuldUltimoPeriode_5
0;1999 1e kwartaal;181749;7305;7830;-525;181223
1;1999 2e kwartaal;181223;7308;6967;341;181565
2;1999 3e kwartaal;181565;26600;24761;1839;183403
3;1999 4e kwartaal;183403;11104;9824;1280;184684
4;2000 1e kwartaal;184684;8792;8105;687;185371
5;2000 2e kwartaal;185371;4790;10426;-5635;179736
6;2000 3e kwartaal;179736;2425;4044;-1619;178117
7;2000 4e kwartaal;178117;2253;6156;-3903;174214
8;2001 1e kwartaal;174214;4565;12500;-7935;166268
9;2001 2e kwartaal;166268;6325;322;6003;172271
10;2001 3e kwartaal;172271;4540;6231;-1691;170580
11;2001 4e kwartaal;170580;4130;319;3811;174391
