ID;Perioden;TotaalVervoerdGewicht_1;RuweAardolieNaarBelgie_2;RuweAardolieNaarDuitsland_3;AardolieproductenNaarDuitsland_4;TotaleVervoersprestatie_5;RuweAardolie_6;Aardolieproducten_7
0;1985;34762;14735;12931;7096;4287;3201;1086
1;1986;35872;16921;12363;6587;4260;3252;1008
2;1987;34814;17101;11584;6129;4070;3133;938
3;1988;37302;18657;12564;6081;4335;3405;930
4;1989;39733;20428;12811;6493;4560;3567;993
5;1990;41146;19596;14316;7236;4873;3766;1107
6;1991;46436;22726;15140;8570;5430;4119;1311
7;1992;47018;22939;15243;8837;5503;4151;1352
8;1993 januari;4124;1986;1413;725;486;375;111
9;1993 februari;3245;1348;1239;658;403;302;101
10;1993 maart;3707;1603;1350;754;454;339;115
11;1993 1e kwartaal;11076;4937;4002;2137;1343;1016;327
12;1993 april;3859;1859;1280;720;454;344;110
13;1993 mei;4162;2112;1263;786;478;358;120
14;1993 juni;3828;1948;1227;653;440;341;99
15;1993 2e kwartaal;11849;5919;3770;2159;1372;1043;329
16;1993 juli;4095;1995;1383;717;480;371;109
17;1993 augustus;4173;2105;1379;689;483;378;105
18;1993 september;3942;1973;1274;695;457;351;106
19;1993 3e kwartaal;12210;6073;4036;2101;1420;1100;320
20;1993 oktober;4168;2131;1289;748;478;364;114
21;1993 november;3595;2075;968;552;390;306;84
22;1993 december;4105;1941;1468;696;488;382;106
23;1993 4e kwartaal;11868;6147;3725;1996;1356;1052;304
24;1993;47003;23076;15533;8393;5491;4211;1280
25;1994 januari;4241;2061;1481;699;499;392;107
26;1994 februari;3733;1922;1209;602;428;336;92
27;1994 maart;4149;2055;1387;707;484;376;108
28;1994 1e kwartaal;12123;6038;4077;2008;1411;1104;307
29;1994 april;3886;1814;1372;700;464;357;107
30;1994 mei;3513;1583;1350;580;426;337;89
31;1994 juni;3907;1936;1274;697;455;348;107
32;1994 2e kwartaal;11306;5333;3996;1977;1345;1042;303
33;1994 juli;4119;2058;1369;692;479;373;106
34;1994 augustus;4053;2018;1393;642;472;374;98
35;1994 september;3942;2017;1253;673;453;350;103
36;1994 3e kwartaal;12114;6093;4015;2007;1404;1097;307
37;1994 oktober;4360;2148;1454;758;509;393;116
38;1994 november;3947;1762;1406;779;478;359;119
39;1994 december;3970;1849;1436;685;474;370;105
40;1994 4e kwartaal;12277;5759;4296;2222;1461;1122;340
41;1994;47821;23223;16384;8214;5621;4365;1257
42;1995 januari;4046;1951;1427;667;477;375;102
43;1995 februari;3737;1786;1286;665;442;340;102
44;1995 maart;3207;1306;1186;716;400;290;109
45;1995 1e kwartaal;10990;5043;3899;2048;1319;1005;313
46;1995 april;3066;1156;1215;695;392;285;106
47;1995 mei;3847;1758;1431;658;463;363;101
48;1995 juni;3728;1988;1082;658;420;319;101
49;1995 2e kwartaal;10641;4902;3728;2011;1275;967;308
50;1995 juli;3920;2005;1278;636;451;354;97
51;1995 augustus;4138;2223;1296;620;466;371;95
52;1995 september;3645;1940;1213;493;413;338;75
53;1995 3e kwartaal;11703;6168;3787;1749;1330;1063;267
54;1995 oktober;3760;1819;1309;632;443;346;97
55;1995 november;3514;1600;1261;652;423;323;100
56;1995 december;4229;2156;1398;675;488;384;103
57;1995 4e kwartaal;11503;5575;3968;1959;1354;1053;300
58;1995;44838;21689;15383;7766;5278;4090;1188
59;1996 januari;4428;2256;1453;719;510;400;110
60;1996 februari;4097;2114;1290;693;469;363;106
61;1996 maart;4331;2280;1310;741;491;378;113
62;1996 1e kwartaal;12856;6650;4053;2153;1470;1141;329
63;1996 april;4266;2167;1365;733;492;379;112
64;1996 mei;4231;2172;1385;674;486;383;103
65;1996 juni;4112;2121;1346;645;472;373;99
66;1996 2e kwartaal;12609;6460;4096;2052;1450;1135;314
67;1996 juli;4241;2148;1396;698;490;383;107
68;1996 augustus;4456;2239;1439;778;516;397;119
69;1996 september;4273;2187;1358;728;491;380;111
70;1996 3e kwartaal;12970;6574;4193;2204;1497;1160;337
71;1996 oktober;4594;2312;1527;755;532;417;116
72;1996 november;4349;2194;1399;756;503;387;116
73;1996 december;4441;2296;1398;747;508;394;114
74;1996 4e kwartaal;13384;6802;4324;2258;1543;1198;346
75;1996;51817;26487;16664;8666;5960;4634;1326
76;1997 januari;4502;2262;1452;788;521;401;121
77;1997 februari;3844;1922;1256;666;446;344;102
78;1997 maart;4362;2291;1396;675;496;393;103
79;1997 1e kwartaal;12708;6475;4104;2129;1463;1138;326
80;1997 april;4342;2225;1363;754;498;383;115
81;1997 mei;4437;2243;1392;801;512;389;123
82;1997 juni;4193;2247;1173;773;470;352;118
83;1997 2e kwartaal;12972;6715;3928;2328;1480;1124;356
84;1997 juli;4366;2227;1444;695;503;397;106
85;1997 augustus;4566;2330;1450;786;525;405;120
86;1997 september;4411;2279;1378;755;505;389;115
87;1997 3e kwartaal;13343;6836;4272;2236;1533;1191;341
88;1997 oktober;4614;2305;1543;765;536;419;117
89;1997 november;4393;2241;1368;784;505;385;120
90;1997 december;4567;2363;1392;812;521;397;124
91;1997 4e kwartaal;13574;6909;4303;2361;1562;1201;361
92;1997;52595;26935;16607;9053;6040;4655;1385
93;1998 januari;4516;2361;1416;739;514;401;113
94;1998 februari;4126;2131;1263;732;472;360;112
