ID;Toepassingsgroepen;TeeltsectorenEnGewassen;Perioden;BedrijvenMetGebruik_1;OppervlakteMetGebruik_2;GebruikPerJaar_3;GebruikPerHectare_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16
0;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;1995;;782099.0;5935851.0;7.6;;;;;;;;;;;;
1;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;1998;;823198.0;5993154.0;7.3;;;;;;;;;;;;
2;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2000;;804256.0;5321980.0;6.6;;;;;;;;;;;;
3;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2004;;816727.0;5454348.0;6.6;;;;;;;;;;;;
4;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2008;;763926.0;5546097.0;6.8;;;;;;;;;;;;
5;Totaal gewasbeschermingsmiddelen;Totaal gewassen/teeltsectoren;2012;;734939.0;5772485.0;7.4;;;;;;;;;;;;
6;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;1995;;709142.0;4105466.0;5.8;1.0;0.0;0.0;11.7;16.6;22.0;27.2;15.5;5.1;0.8;0.0;0.0
7;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;1998;;736096.0;4240241.0;5.8;2.3;0.0;0.0;9.2;21.8;28.1;22.5;11.4;4.6;0.3;0.0;0.0
8;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2000;;719441.0;3709646.0;5.2;1.4;0.0;0.0;11.2;19.7;29.0;24.6;11.2;2.6;0.3;0.0;0.0
9;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2004;;726473.0;3606167.0;4.9;2.1;0.0;0.0;13.8;19.4;29.5;20.8;9.7;2.4;2.3;0.0;0.0
10;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2008;;677608.0;3812580.0;5.3;1.9;0.0;0.0;10.4;24.4;27.7;21.7;9.6;2.4;1.9;0.0;0.0
11;Totaal gewasbeschermingsmiddelen;Teeltsector akkerbouw;2012;;648725.0;3754000.0;5.5;2.4;0.0;0.0;11.1;22.9;26.1;24.6;9.4;2.7;0.7;0.0;0.0
12;Totaal gewasbeschermingsmiddelen;Bruine bonen;1995;716.0;2221.0;5213.0;2.3;0.7;0.0;0.0;7.5;47.8;27.8;16.2;0.0;0.0;0.0;0.0;0.0
13;Totaal gewasbeschermingsmiddelen;Bruine bonen;1998;589.0;1956.0;4973.0;2.5;0.0;0.0;0.0;12.5;39.2;23.7;21.3;3.2;0.0;0.0;0.0;0.0
14;Totaal gewasbeschermingsmiddelen;Bruine bonen;2000;309.0;1126.0;4506.0;4.0;0.0;0.0;0.0;2.1;28.6;19.7;31.1;15.5;3.0;0.0;0.0;0.0
15;Totaal gewasbeschermingsmiddelen;Bruine bonen;2004;496.0;2223.0;4512.0;2.0;0.6;0.0;0.0;15.5;36.2;21.8;22.9;0.8;2.2;0.0;0.0;0.0
16;Totaal gewasbeschermingsmiddelen;Bruine bonen;2008;205.0;901.0;1912.0;2.1;0.0;0.0;0.0;4.7;49.2;14.4;19.6;12.1;0.0;0.0;0.0;0.0
17;Totaal gewasbeschermingsmiddelen;Bruine bonen;2012;281.0;1595.0;3724.0;2.3;0.0;0.0;0.0;3.5;31.9;24.9;29.0;2.3;8.4;0.0;0.0;0.0
18;Totaal gewasbeschermingsmiddelen;Cichorei;1995;;;;;;;;;;;;;;;;
19;Totaal gewasbeschermingsmiddelen;Cichorei;1998;918.0;4196.0;13716.0;3.3;6.6;0.0;0.0;35.2;45.9;10.1;1.6;0.6;0.0;0.0;0.0;0.0
20;Totaal gewasbeschermingsmiddelen;Cichorei;2000;913.0;4756.0;14199.0;3.0;6.1;0.0;0.0;62.5;26.6;2.2;0.6;0.0;2.0;0.0;0.0;0.0
21;Totaal gewasbeschermingsmiddelen;Cichorei;2004;932.0;4917.0;17009.0;3.5;7.1;0.0;0.0;42.9;36.4;9.4;2.5;1.0;0.7;0.0;0.0;0.0
22;Totaal gewasbeschermingsmiddelen;Cichorei;2008;627.0;3278.0;14110.0;4.1;0.2;0.0;0.0;41.8;42.1;15.7;0.2;0.0;0.0;0.0;0.0;0.0
23;Totaal gewasbeschermingsmiddelen;Cichorei;2012;387.0;2785.0;9845.0;3.4;23.4;0.0;0.0;38.6;19.5;15.5;0.0;1.9;0.6;0.5;0.0;0.0
24;Totaal gewasbeschermingsmiddelen;Consumptieaardappelen;1995;12977.0;80157.0;926635.0;11.6;0.1;0.0;0.0;4.5;13.2;28.1;25.3;18.5;10.2;0.1;0.0;0.0
25;Totaal gewasbeschermingsmiddelen;Consumptieaardappelen;1998;11696.0;84391.0;1197182.0;14.2;0.2;0.0;0.0;0.8;11.9;32.7;29.6;15.0;9.3;0.5;0.0;0.0
26;Totaal gewasbeschermingsmiddelen;Consumptieaardappelen;2000;11136.0;87441.0;1066063.0;12.2;0.4;0.0;0.0;2.0;19.3;29.6;26.7;14.6;6.6;0.9;0.0;0.0
27;Totaal gewasbeschermingsmiddelen;Consumptieaardappelen;2004;7939.0;72598.0;819265.0;11.3;0.9;0.0;0.0;4.8;18.4;30.0;23.4;15.6;5.9;1.0;0.0;0.0
28;Totaal gewasbeschermingsmiddelen;Consumptieaardappelen;2008;6667.0;69280.0;837841.0;12.1;0.0;0.0;0.0;4.2;23.6;37.2;20.6;9.1;4.5;0.8;0.0;0.0
29;Totaal gewasbeschermingsmiddelen;Consumptieaardappelen;2012;5850.0;67113.0;780547.0;11.6;0.9;0.0;0.0;12.9;23.9;18.6;29.3;6.9;5.6;1.9;0.0;0.0
30;Totaal gewasbeschermingsmiddelen;Erwten groen te oogsten;1995;1229.0;7131.0;13171.0;1.8;4.1;0.0;0.0;19.1;36.7;36.7;3.4;0.0;0.0;0.0;0.0;0.0
31;Totaal gewasbeschermingsmiddelen;Erwten groen te oogsten;1998;785.0;4589.0;8488.0;1.8;2.0;0.0;0.0;25.6;28.6;35.4;8.4;0.0;0.0;0.0;0.0;0.0
32;Totaal gewasbeschermingsmiddelen;Erwten groen te oogsten;2000;934.0;5867.0;11566.0;2.0;3.2;0.0;0.0;27.3;36.4;26.1;7.1;0.0;0.0;0.0;0.0;0.0
33;Totaal gewasbeschermingsmiddelen;Erwten groen te oogsten;2004;725.0;4572.0;8644.0;1.8;1.1;0.0;0.0;31.0;35.0;25.5;7.4;0.0;0.0;0.0;0.0;0.0
34;Totaal gewasbeschermingsmiddelen;Erwten groen te oogsten;2008;771.0;5969.0;11453.0;1.9;1.8;0.0;0.0;14.7;49.0;25.5;9.1;0.0;0.0;0.0;0.0;0.0
35;Totaal gewasbeschermingsmiddelen;Erwten groen te oogsten;2012;360.0;2678.0;5930.0;1.7;12.3;0.0;0.0;17.5;34.6;30.6;5.1;0.0;0.0;0.0;0.0;0.0
36;Totaal gewasbeschermingsmiddelen;Graszaad;1995;2930.0;21893.0;40142.0;1.8;14.1;0.0;0.0;36.5;21.1;7.6;1.0;3.2;7.8;8.6;0.0;0.0
37;Totaal gewasbeschermingsmiddelen;Graszaad;1998;3589.0;28418.0;40075.0;1.4;16.3;0.0;0.0;39.8;22.6;10.4;4.9;1.5;4.2;0.4;0.0;0.0
38;Totaal gewasbeschermingsmiddelen;Graszaad;2000;2773.0;21960.0;35676.0;1.6;11.0;0.0;0.0;45.8;21.1;6.4;1.9;6.7;3.9;3.3;0.0;0.0
39;Totaal gewasbeschermingsmiddelen;Graszaad;2004;2503.0;23810.0;36282.0;1.4;14.5;0.0;0.0;29.4;18.6;16.0;3.3;3.2;9.4;5.7;0.0;0.0
40;Totaal gewasbeschermingsmiddelen;Graszaad;2008;1758.0;14683.0;24781.0;1.6;5.0;0.0;0.0;41.5;18.6;18.6;1.5;4.2;4.9;5.7;0.0;0.0
41;Totaal gewasbeschermingsmiddelen;Graszaad;2012;1221.0;11872.0;22896.0;1.7;22.8;0.0;0.0;21.3;15.8;16.6;5.3;0.9;4.8;12.6;0.0;0.0
42;Totaal gewasbeschermingsmiddelen;Koolzaad;1995;;;;;;;;;;;;;;;;
43;Totaal gewasbeschermingsmiddelen;Koolzaad;1998;;;;;;;;;;;;;;;;
44;Totaal gewasbeschermingsmiddelen;Koolzaad;2000;108.0;854.0;1022.0;1.2;20.4;0.0;0.0;14.0;5.0;2.7;0.0;2.1;45.9;9.8;0.0;0.0
45;Totaal gewasbeschermingsmiddelen;Koolzaad;2004;;;;;;;;;;;;;;;;
46;Totaal gewasbeschermingsmiddelen;Koolzaad;2008;282.0;2137.0;1046.0;0.4;4.9;0.0;0.0;25.5;10.2;0.0;0.4;13.2;29.3;16.5;0.0;0.0
47;Totaal gewasbeschermingsmiddelen;Koolzaad;2012;251.0;1844.0;2556.0;1.2;5.7;0.0;0.0;7.4;3.1;1.8;2.5;14.1;49.9;15.5;0.0;0.0
48;Totaal gewasbeschermingsmiddelen;Poot- en plantuien;1995;;;;;;;;;;;;;;;;
49;Totaal gewasbeschermingsmiddelen;Poot- en plantuien;1998;1046.0;4505.0;98771.0;21.9;8.2;0.0;0.0;10.0;17.9;35.3;25.8;2.7;0.0;0.0;0.0;0.0
50;Totaal gewasbeschermingsmiddelen;Poot- en plantuien;2000;1116.0;5282.0;108661.0;20.6;3.7;0.0;0.0;11.8;21.6;38.2;22.5;2.2;0.0;0.0;0.0;0.0
51;Totaal gewasbeschermingsmiddelen;Poot- en plantuien;2004;891.0;5603.0;108305.0;19.3;1.7;0.0;0.0;10.9;16.6;46.4;23.7;0.7;0.0;0.0;0.0;0.0
52;Totaal gewasbeschermingsmiddelen;Poot- en plantuien;2008;695.0;4951.0;95482.0;18.5;2.5;0.0;0.0;9.0;19.1;38.2;27.8;3.5;0.0;0.0;0.0;0.0
53;Totaal gewasbeschermingsmiddelen;Poot- en plantuien;2012;698.0;5499.0;85539.0;14.7;6.0;0.0;0.0;16.6;21.6;36.4;17.5;2.0;0.0;0.0;0.0;0.0
54;Totaal gewasbeschermingsmiddelen;Pootaardappelen;1995;3346.0;37799.0;784478.0;20.8;0.2;0.0;0.0;7.4;10.3;29.0;34.1;17.6;1.4;0.1;0.0;0.0
55;Totaal gewasbeschermingsmiddelen;Pootaardappelen;1998;3276.0;39948.0;666723.0;16.7;0.1;0.0;0.0;1.9;13.9;37.2;33.5;11.8;1.2;0.4;0.0;0.0
