ID;Perioden;LoonkostenPerUur_1;IndicesLoonkostenPerUur2004IV100_2;LoonkostenPerUur_3;IndicesLoonkostenPerUur2004IV100_4
0;2004 4e kwartaal;27.87;100.0;27.85;100.0
1;2005 1e kwartaal;28.85;103.5;28.92;103.9
2;2005 2e kwartaal;29.05;104.2;28.78;103.4
3;2005 3e kwartaal;28.0;100.5;28.03;100.7
4;2005 4e kwartaal;28.64;102.8;28.63;102.8
5;2006 1e kwartaal;29.2;104.8;29.2;104.9
6;2006 2e kwartaal;28.98;104.0;28.98;104.1
7;2006 3e kwartaal;28.35;101.7;28.35;101.8
