ID;WereldEUEnNietEU;Perioden;Invoerwaarde_1;Uitvoerwaarde_2
0;Totaal landen;2008 januari;28099547;31024727
1;Totaal landen;2008 februari;27899694;31068191
2;Totaal landen;2008 maart;28077725;31618684
3;Totaal landen;2008 april;28478877;32019599
4;Totaal landen;2008 mei;28155890;30466953
5;Totaal landen;2008 juni;29218846;31960390
6;Totaal landen;2008 juli;28781756;31389239
7;Totaal landen;2008 augustus;27078353;28862561
8;Totaal landen;2008 september;30031195;33143393
9;Totaal landen;2008 oktober;29578699;33350298
10;Totaal landen;2008 november;26531542;29079262
11;Totaal landen;2008 december;23994792;26505484
12;Totaal landen;2008;335926917;370488781
13;Totaal landen;2009 januari;22066864;24974984
14;Totaal landen;2009 februari;21817733;24643641
15;Totaal landen;2009 maart;23786694;26626182
16;Totaal landen;2009 april;21550722;23976754
17;Totaal landen;2009 mei;21309460;23898135
18;Totaal landen;2009 juni;22394704;25582955
19;Totaal landen;2009 juli;22906005;25974227
20;Totaal landen;2009 augustus;21430131;23529477
21;Totaal landen;2009 september;23492043;27490712
22;Totaal landen;2009 oktober;24143502;28053377
23;Totaal landen;2009 november;24437866;27912808
24;Totaal landen;2009 december;24689304;26705942
25;Totaal landen;2009;274025029;309369194
26;Totaal landen;2010 januari;24569215;26788302
27;Totaal landen;2010 februari;23754062;27599687
28;Totaal landen;2010 maart;28472649;32769917
29;Totaal landen;2010 april;27050980;29622683
30;Totaal landen;2010 mei;27081159;29299625
31;Totaal landen;2010 juni;29634575;32152298
32;Totaal landen;2010 juli;27715311;30699539
33;Totaal landen;2010 augustus;26372545;29462516
34;Totaal landen;2010 september;28008797;32708553
35;Totaal landen;2010 oktober;29471972;32822926
36;Totaal landen;2010 november;30005323;34072654
37;Totaal landen;2010 december;29776961;33550513
38;Totaal landen;2010;331913549;371549213
39;Totaal landen;2011 januari;28886499;32168245
40;Totaal landen;2011 februari;28548946;32832709
41;Totaal landen;2011 maart;33347678;37340813
42;Totaal landen;2011 april;29017319;33746804
43;Totaal landen;2011 mei;30923797;34481916
44;Totaal landen;2011 juni;30434643;33308904
45;Totaal landen;2011 juli;29430893;33057424
46;Totaal landen;2011 augustus;30290242;32808861
47;Totaal landen;2011 september;31286062;35316115
48;Totaal landen;2011 oktober;30622479;33989138
49;Totaal landen;2011 november;31741813;35799234
50;Totaal landen;2011 december;30391208;34508044
51;Totaal landen;2011;364921580;409358207
52;Totaal landen;2012 januari;30739723;34646257
53;Totaal landen;2012 februari;32085796;35203354
54;Totaal landen;2012 maart;33947220;38084100
55;Totaal landen;2012 april;31312485;35004921
56;Totaal landen;2012 mei;33239306;36734133
57;Totaal landen;2012 juni;32361755;35716272
58;Totaal landen;2012 juli;32170288;34543188
59;Totaal landen;2012 augustus;32665079;34339775
60;Totaal landen;2012 september;31411563;35093694
61;Totaal landen;2012 oktober;34890588;38730133
62;Totaal landen;2012 november;33919201;37805478
63;Totaal landen;2012 december;30705975;33815286
64;Totaal landen;2012;389448980;429716592
65;Totaal landen;2013 januari;32846268;36486055
66;Totaal landen;2013 februari;31368075;34960115
67;Totaal landen;2013 maart;33130144;38053903
68;Totaal landen;2013 april;31664888;35282969
69;Totaal landen;2013 mei;33138881;37361106
70;Totaal landen;2013 juni;32200984;35536235
