ID;SBI93;Perioden;Omzet_1;OmzetSeizoengecorrigeerd_2;VoortschrijdendeOmzet_3;AlleUitzenduren_4;AlleUitzendurenSeizoengecorrigeerd_5;UitzendurenFaseA_6;UitzendurenFaseASeizoengecorrigeerd_7;UitzendurenFaseBC_8;UitzUrenFaseBCSeizoengecorrigeerd_9;Omzet_10;OmzetSeizoengecorrigeerd_11;CumulatieveOmzet_12;AlleUitzenduren_13;AlleUitzendurenSeizoengecorrigeerd_14;CumulatiefAlleUitzenduren_15;UitzendurenFaseA_16;UitzendurenFaseASeizoengecorrigeerd_17;CumulatieveUitzendurenFaseA_18;UitzendurenFaseBC_19;UitzUrenFaseBCSeizoengecorrigeerd_20;CumulatieveUitzendurenFaseBC_21
0;7450a Uitzend- en uitleenbedrijven;1999 1e kwartaal;85.0;90.0;;91.0;99.0;102.0;113.0;68.0;75.0;;;;;;;;;;;;
1;7450a Uitzend- en uitleenbedrijven;1999 2e kwartaal;91.0;91.0;;97.0;98.0;110.0;112.0;70.0;72.0;;0.9;;;-0.9;;;-1.1;;;-3.7;
2;7450a Uitzend- en uitleenbedrijven;1999 3e kwartaal;96.0;93.0;;105.0;97.0;120.0;109.0;74.0;74.0;;1.4;;;-0.9;;;-2.9;;;2.2;
3;7450a Uitzend- en uitleenbedrijven;1999 4e kwartaal;100.0;97.0;93.0;105.0;103.0;112.0;110.0;92.0;84.0;;5.3;;;6.3;;;1.2;;;14.1;
4;7450a Uitzend- en uitleenbedrijven;1999;93.0;93.0;93.0;99.0;100.0;111.0;111.0;76.0;76.0;;;;;;;;;;;;
5;7450a Uitzend- en uitleenbedrijven;2000 1e kwartaal;92.0;97.0;94.0;90.0;99.0;93.0;104.0;84.0;92.0;7.6;-0.1;7.6;-0.1;-4.1;-0.1;-8.2;-5.2;-8.2;24.7;9.3;24.7
6;7450a Uitzend- en uitleenbedrijven;2000 2e kwartaal;99.0;99.0;96.0;100.0;101.0;99.0;101.0;101.0;102.0;8.8;2.0;8.2;2.8;1.6;1.4;-9.7;-3.2;-9.0;43.1;11.4;34.1
7;7450a Uitzend- en uitleenbedrijven;2000 3e kwartaal;104.0;100.0;98.0;109.0;101.0;111.0;100.0;104.0;103.0;8.3;1.0;8.2;3.4;0.3;2.1;-7.5;-0.8;-8.4;39.6;0.4;36.0
8;7450a Uitzend- en uitleenbedrijven;2000 4e kwartaal;106.0;103.0;100.0;101.0;99.0;96.0;95.0;111.0;103.0;6.2;2.9;7.7;-3.9;-2.2;0.5;-13.8;-5.3;-9.8;20.7;0.4;31.4
9;7450a Uitzend- en uitleenbedrijven;2000;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;7.7;;7.7;0.5;;0.5;-9.8;;-9.8;31.4;;31.4
10;7450a Uitzend- en uitleenbedrijven;2001 1e kwartaal;102.0;108.0;103.0;95.0;104.0;87.0;98.0;110.0;117.0;11.1;4.9;11.1;4.5;4.7;4.5;-6.6;3.0;-6.6;29.8;13.6;29.8
11;7450a Uitzend- en uitleenbedrijven;2001 2e kwartaal;106.0;107.0;105.0;99.0;100.0;92.0;93.0;115.0;116.0;8.0;-1.0;9.5;-0.4;-3.2;2.0;-7.4;-4.5;-7.0;13.9;-0.7;21.2
12;7450a Uitzend- en uitleenbedrijven;2001 3e kwartaal;114.0;110.0;107.0;106.0;99.0;101.0;90.0;118.0;116.0;9.3;2.3;9.4;-2.2;-1.3;0.4;-9.5;-3.4;-7.9;13.7;0.1;18.5
13;7450a Uitzend- en uitleenbedrijven;2001 4e kwartaal;110.0;107.0;108.0;99.0;96.0;87.0;86.0;122.0;115.0;4.3;-2.1;8.1;-2.3;-2.5;-0.2;-9.2;-4.2;-8.2;10.1;-1.5;16.2
14;7450a Uitzend- en uitleenbedrijven;2001;108.0;108.0;108.0;100.0;100.0;92.0;92.0;116.0;116.0;8.1;;8.1;-0.2;;-0.2;-8.2;;-8.2;16.2;;16.2
15;7450a Uitzend- en uitleenbedrijven;2002 1e kwartaal;100.0;107.0;108.0;86.0;95.0;77.0;87.0;104.0;112.0;-1.9;-0.3;-1.9;-9.5;-1.9;-9.5;-12.1;0.5;-12.1;-5.2;-2.4;-5.2
16;7450a Uitzend- en uitleenbedrijven;2002 2e kwartaal;108.0;109.0;108.0;94.0;95.0;87.0;88.0;107.0;109.0;1.4;1.5;-0.2;-5.7;0.0;-7.5;-5.1;2.1;-8.5;-6.6;-2.8;-5.9
17;7450a Uitzend- en uitleenbedrijven;2002 3e kwartaal;112.0;107.0;107.0;100.0;92.0;93.0;83.0;113.0;111.0;-1.8;-1.2;-0.8;-6.3;-2.3;-7.1;-7.3;-5.8;-8.1;-4.5;1.6;-5.4
18;7450a Uitzend- en uitleenbedrijven;2002 4e kwartaal;107.0;103.0;107.0;94.0;91.0;82.0;81.0;118.0;110.0;-3.1;-3.6;-1.4;-4.9;-1.3;-6.6;-5.8;-2.5;-7.5;-3.7;-0.2;-5.0
