ID;SIC2008;InvestmentMotives;Periods;InvestmentExpectation_1;InvestmentRealization_2
0;305700;Total;2023;;100.0
1;305700;Total;2024;100.0;
2;305700;Emission reduction;2023;;6.0
3;305700;Emission reduction;2024;4.0;
4;305700;Energy reduction;2023;;1.0
5;305700;Energy reduction;2024;2.0;
6;305700;Circular production;2023;;1.0
7;305700;Circular production;2024;3.0;
8;305700;Digitization;2023;;1.0
9;305700;Digitization;2024;3.0;
10;305700;Other;2023;;91.0
11;305700;Other;2024;88.0;
12;300002;Total;2023;;100.0
13;300002;Total;2024;100.0;
14;300002;Emission reduction;2023;;9.0
15;300002;Emission reduction;2024;6.0;
16;300002;Energy reduction;2023;;15.0
17;300002;Energy reduction;2024;21.0;
18;300002;Circular production;2023;;3.0
19;300002;Circular production;2024;3.0;
20;300002;Digitization;2023;;3.0
21;300002;Digitization;2024;2.0;
22;300002;Other;2023;;70.0
23;300002;Other;2024;68.0;
24;300003;Total;2023;;100.0
25;300003;Total;2024;100.0;
26;300003;Emission reduction;2023;;9.0
27;300003;Emission reduction;2024;6.0;
28;300003;Energy reduction;2023;;13.0
29;300003;Energy reduction;2024;20.0;
30;300003;Circular production;2023;;3.0
31;300003;Circular production;2024;3.0;
32;300003;Digitization;2023;;3.0
33;300003;Digitization;2024;2.0;
34;300003;Other;2023;;72.0
35;300003;Other;2024;69.0;
36;305800;Total;2023;;100.0
37;305800;Total;2024;100.0;
38;305800;Emission reduction;2023;;0.0
39;305800;Emission reduction;2024;1.0;
40;305800;Energy reduction;2023;;0.0
41;305800;Energy reduction;2024;1.0;
42;305800;Circular production;2023;;0.0
43;305800;Circular production;2024;1.0;
44;305800;Digitization;2023;;1.0
45;305800;Digitization;2024;3.0;
46;305800;Other;2023;;99.0
47;305800;Other;2024;94.0;
48;306300;Total;2023;;100.0
49;306300;Total;2024;100.0;
50;306300;Emission reduction;2023;;6.0
51;306300;Emission reduction;2024;6.0;
52;306300;Energy reduction;2023;;5.0
53;306300;Energy reduction;2024;5.0;
54;306300;Circular production;2023;;2.0
55;306300;Circular production;2024;2.0;
56;306300;Digitization;2023;;4.0
57;306300;Digitization;2024;5.0;
58;306300;Other;2023;;83.0
59;306300;Other;2024;82.0;
60;307000;Total;2023;;100.0
