ID;LeeftijdReferentiepersoon;Perioden;TotaalParticuliereHuishoudens_1;Eenpersoonshuishoudens_2;TotaalMeerpersoonshuishoudens_3;k_2Personen_4;k_3Personen_5;k_4Personen_6;k_5OfMeerPersonen_7
0;Totaal leeftijden (15 jaar of ouder);2011;7447340;2705474;4741866;2443842;914046;967973;416005
1;Totaal leeftijden (15 jaar of ouder);2012;7509842;2743215;4766627;2470870;919118;963780;412859
2;Totaal leeftijden (15 jaar of ouder);2013;7572330;2781303;4791027;2496553;925228;959536;409710
3;Totaal leeftijden (15 jaar of ouder);2014;7632062;2818443;4813619;2521793;930230;955192;406404
4;Totaal leeftijden (15 jaar of ouder);2015;7689070;2854643;4834427;2546055;934888;950675;402809
5;Totaal leeftijden (15 jaar of ouder);2016;7744245;2890581;4853664;2568547;938697;946890;399530
6;Totaal leeftijden (15 jaar of ouder);2017;7798590;2927197;4871393;2589585;941946;943564;396298
7;Totaal leeftijden (15 jaar of ouder);2018;7852444;2964774;4887670;2608955;944440;940863;393412
8;Totaal leeftijden (15 jaar of ouder);2019;7906008;3003315;4902693;2626517;946759;938681;390736
9;Totaal leeftijden (15 jaar of ouder);2020;7958886;3042073;4916813;2641376;950736;936769;387932
10;Totaal leeftijden (15 jaar of ouder);2021;8010484;3080993;4929491;2654913;953737;935377;385464
11;Totaal leeftijden (15 jaar of ouder);2022;8060417;3120063;4940354;2667301;955114;934545;383394
12;Totaal leeftijden (15 jaar of ouder);2023;8108021;3158560;4949461;2678434;955068;934250;381709
13;Totaal leeftijden (15 jaar of ouder);2024;8152754;3196092;4956662;2687624;953784;934702;380552
14;Totaal leeftijden (15 jaar of ouder);2025;8194437;3232711;4961726;2694791;952270;935211;379454
15;Totaal leeftijden (15 jaar of ouder);2026;8232950;3268306;4964644;2699473;949629;936660;378882
16;Totaal leeftijden (15 jaar of ouder);2027;8268528;3303057;4965471;2701392;946455;938945;378679
17;Totaal leeftijden (15 jaar of ouder);2028;8301068;3336903;4964165;2700648;943040;941731;378746
18;Totaal leeftijden (15 jaar of ouder);2029;8330455;3369540;4960915;2697081;939401;945240;379193
19;Totaal leeftijden (15 jaar of ouder);2030;8356577;3400742;4955835;2691115;936043;948858;379819
20;Totaal leeftijden (15 jaar of ouder);2031;8379479;3430188;4949291;2682968;932779;952786;380758
21;Totaal leeftijden (15 jaar of ouder);2032;8399285;3458155;4941130;2673455;929378;956562;381735
22;Totaal leeftijden (15 jaar of ouder);2033;8416267;3484428;4931839;2662569;926333;960194;382743
23;Totaal leeftijden (15 jaar of ouder);2034;8430742;3509074;4921668;2650567;923291;963901;383909
24;Totaal leeftijden (15 jaar of ouder);2035;8442894;3532100;4910794;2637780;920576;967323;385115
25;Totaal leeftijden (15 jaar of ouder);2036;8453098;3553342;4899756;2624297;918750;970456;386253
26;Totaal leeftijden (15 jaar of ouder);2037;8461352;3573232;4888120;2610722;917351;972881;387166
27;Totaal leeftijden (15 jaar of ouder);2038;8468056;3591577;4876479;2597213;916763;974726;387777
28;Totaal leeftijden (15 jaar of ouder);2039;8473421;3608452;4864969;2583835;916667;976152;388315
29;Totaal leeftijden (15 jaar of ouder);2040;8477589;3623888;4853701;2570854;916974;977125;388748
30;Totaal leeftijden (15 jaar of ouder);2041;8480832;3638080;4842752;2558627;917647;977556;388922
31;Totaal leeftijden (15 jaar of ouder);2042;8483268;3651089;4832179;2547210;918665;977469;388835
32;Totaal leeftijden (15 jaar of ouder);2043;8484964;3662964;4822000;2536508;919854;977048;388590
33;Totaal leeftijden (15 jaar of ouder);2044;8486178;3673851;4812327;2526543;921056;976456;388272
34;Totaal leeftijden (15 jaar of ouder);2045;8486683;3683642;4803041;2517218;922172;975738;387913
35;Totaal leeftijden (15 jaar of ouder);2046;8486573;3692417;4794156;2508665;923331;974764;387396
