ID;TypeOfCapitalGood;SectorsBranchesSIC2008;Periods;CapitalStockClosingBalanceSheet_1;VolumeIndices2010100_2;CapitalStockOpeningBalanceSheet_3;Revaluation_4;InvestInFixedAssetsProdAndImport_5;Depreciation_6;TradeAndOtherChanges_7;StatisticalDiscrepancy_8;CapitalStockClosingBalanceSheet_9
0;Total capital stock;A-U All economic activities;1995;1000326.0;75.6;962712.0;19186.0;70867.0;52469.0;-597.0;627.0;1000326.0
1;Total capital stock;A-U All economic activities;1996;1045795.0;77.2;1000326.0;24281.0;76127.0;54545.0;-1145.0;751.0;1045795.0
2;Total capital stock;A-U All economic activities;1997;1088629.0;79.0;1045795.0;17931.0;82310.0;56843.0;-1539.0;974.0;1088629.0
3;Total capital stock;A-U All economic activities;1998;1140625.0;81.0;1088629.0;23563.0;88678.0;60092.0;-1439.0;1287.0;1140625.0
4;Total capital stock;A-U All economic activities;1999;1205820.0;83.3;1140625.0;32043.0;98490.0;64307.0;-769.0;-262.0;1205820.0
5;Total capital stock;A-U All economic activities;2000;1293645.0;85.5;1205820.0;55188.0;104061.0;70031.0;-1568.0;174.0;1293645.0
6;Total capital stock;A-U All economic activities;2001;1387136.0;87.4;1293645.0;62528.0;108980.0;75517.0;-2184.0;-316.0;1387136.0
7;Total capital stock;A-U All economic activities;2002;1474590.0;88.9;1387136.0;63223.0;107678.0;80232.0;-2263.0;-953.0;1474590.0
8;Total capital stock;A-U All economic activities;2003;1545346.0;90.1;1474590.0;49576.0;108233.0;83414.0;-2622.0;-1016.0;1545346.0
9;Total capital stock;A-U All economic activities;2004;1596461.0;91.2;1545346.0;31668.0;109939.0;85731.0;-2642.0;-2119.0;1596461.0
10;Total capital stock;A-U All economic activities;2005;1649574.0;92.4;1596461.0;31955.0;115851.0;88769.0;-3678.0;-2246.0;1649574.0
11;Total capital stock;A-U All economic activities;2006;1727671.0;94.0;1649574.0;48998.0;126515.0;92292.0;-3523.0;-1600.0;1727671.0
12;Total capital stock;A-U All economic activities;2007;1800997.0;95.9;1727671.0;38036.0;137113.0;96440.0;-3558.0;-1825.0;1800997.0
13;Total capital stock;A-U All economic activities;2008;1893453.0;97.8;1800997.0;54435.0;145658.0;101072.0;-3406.0;-3159.0;1893453.0
14;Total capital stock;A-U All economic activities;2009;1966339.0;99.1;1893453.0;47066.0;134753.0;104435.0;-762.0;-3736.0;1966339.0
15;Total capital stock;A-U All economic activities;2010;2012697.0;100.0;1966339.0;28848.0;128114.0;106982.0;-3623.0;0.0;2012697.0
16;Total capital stock;A-U All economic activities;2011;2015866.0;101.2;2012697.0;-20006.0;133730.0;107068.0;-3487.0;0.0;2015866.0
17;Total capital stock;A-U All economic activities;2012;2019344.0;101.9;2015866.0;-10394.0;124775.0;107897.0;-3006.0;0.0;2019344.0
18;Total capital stock;A-U All economic activities;2013;2023296.0;102.2;2019344.0;-3603.0;120088.0;109362.0;-3171.0;0.0;2023296.0
19;Total capital stock;A-U All economic activities;2014;2012039.0;102.7;2023296.0;-20913.0;122734.0;110194.0;-3391.0;506.0;2012039.0
20;Total capital stock;A-U All economic activities;2015;2000991.0;103.8;2012039.0;-32383.0;135984.0;111755.0;-3725.0;832.0;2000991.0
21;Total capital stock;A-U All economic activities;2016;2028742.0;105.2;2000991.0;2395.0;142862.0;114389.0;-2997.0;-121.0;2028742.0
22;Total capital stock;A Agriculture, forestry and fishing;1995;28943.0;92.7;28831.0;523.0;2381.0;2217.0;-620.0;44.0;28943.0
23;Total capital stock;A Agriculture, forestry and fishing;1996;29150.0;91.2;28943.0;290.0;2414.0;2262.0;-290.0;55.0;29150.0
24;Total capital stock;A Agriculture, forestry and fishing;1997;29737.0;91.4;29150.0;521.0;3057.0;2313.0;-685.0;7.0;29737.0
25;Total capital stock;A Agriculture, forestry and fishing;1998;30277.0;91.1;29737.0;471.0;2641.0;2385.0;-318.0;131.0;30277.0
26;Total capital stock;A Agriculture, forestry and fishing;1999;31475.0;92.1;30277.0;519.0;3311.0;2476.0;-311.0;156.0;31475.0
27;Total capital stock;A Agriculture, forestry and fishing;2000;33282.0;93.2;31475.0;1363.0;3325.0;2644.0;-351.0;114.0;33282.0
28;Total capital stock;A Agriculture, forestry and fishing;2001;34902.0;90.7;33282.0;1175.0;3473.0;2796.0;-359.0;127.0;34902.0
29;Total capital stock;A Agriculture, forestry and fishing;2002;36784.0;92.0;34902.0;1366.0;3583.0;2922.0;-228.0;83.0;36784.0
30;Total capital stock;A Agriculture, forestry and fishing;2003;37895.0;93.1;36784.0;647.0;3636.0;2983.0;-254.0;65.0;37895.0
31;Total capital stock;A Agriculture, forestry and fishing;2004;38449.0;93.2;37895.0;536.0;3265.0;3056.0;-225.0;33.0;38449.0
32;Total capital stock;A Agriculture, forestry and fishing;2005;39317.0;93.3;38449.0;813.0;3401.0;3113.0;-238.0;5.0;39317.0
33;Total capital stock;A Agriculture, forestry and fishing;2006;40270.0;93.7;39317.0;795.0;3565.0;3174.0;-234.0;1.0;40270.0
34;Total capital stock;A Agriculture, forestry and fishing;2007;42038.0;95.5;40270.0;952.0;4333.0;3277.0;-272.0;32.0;42038.0
35;Total capital stock;A Agriculture, forestry and fishing;2008;44336.0;97.8;42038.0;1269.0;4627.0;3427.0;-205.0;35.0;44336.0
36;Total capital stock;A Agriculture, forestry and fishing;2009;45960.0;98.6;44336.0;1231.0;4341.0;3570.0;-286.0;-91.0;45960.0
37;Total capital stock;A Agriculture, forestry and fishing;2010;47495.0;100.0;45960.0;891.0;4527.0;3660.0;-223.0;0.0;47495.0
38;Total capital stock;A Agriculture, forestry and fishing;2011;49480.0;103.7;47495.0;237.0;5663.0;3683.0;-231.0;0.0;49480.0
39;Total capital stock;A Agriculture, forestry and fishing;2012;50563.0;106.2;49480.0;-127.0;5208.0;3777.0;-221.0;0.0;50563.0
40;Total capital stock;A Agriculture, forestry and fishing;2013;51448.0;107.5;50563.0;260.0;4764.0;3901.0;-238.0;0.0;51448.0
41;Total capital stock;A Agriculture, forestry and fishing;2014;52628.0;109.3;51448.0;301.0;5105.0;3967.0;-260.0;0.0;52628.0
42;Total capital stock;A Agriculture, forestry and fishing;2015;52902.0;110.5;52628.0;-308.0;4894.0;4046.0;-265.0;0.0;52902.0
43;Total capital stock;A Agriculture, forestry and fishing;2016;53158.0;111.0;52902.0;41.0;4827.0;4129.0;-485.0;1.0;53158.0
44;Total capital stock;B-E Industry (no construction), energy;1995;171377.0;108.2;166793.0;2052.0;14251.0;12003.0;107.0;177.0;171377.0
45;Total capital stock;B-E Industry (no construction), energy;1996;175777.0;108.4;171377.0;1481.0;14651.0;12297.0;-32.0;597.0;175777.0
46;Total capital stock;B-E Industry (no construction), energy;1997;181607.0;110.1;175777.0;1691.0;15779.0;12652.0;-5.0;1017.0;181607.0
47;Total capital stock;B-E Industry (no construction), energy;1998;186304.0;110.6;181607.0;2072.0;15812.0;13073.0;-3.0;-110.0;186304.0
48;Total capital stock;B-E Industry (no construction), energy;1999;189822.0;109.6;186304.0;2472.0;15696.0;13457.0;-5.0;-1189.0;189822.0
49;Total capital stock;B-E Industry (no construction), energy;2000;196542.0;108.5;189822.0;5690.0;15642.0;14090.0;-3.0;-519.0;196542.0
50;Total capital stock;B-E Industry (no construction), energy;2001;202750.0;100.9;196542.0;5934.0;15635.0;14711.0;-4.0;-646.0;202750.0
51;Total capital stock;B-E Industry (no construction), energy;2002;208885.0;100.7;202750.0;6420.0;15536.0;15268.0;-5.0;-547.0;208885.0
52;Total capital stock;B-E Industry (no construction), energy;2003;210898.0;100.4;208885.0;2714.0;15313.0;15475.0;-3.0;-537.0;210898.0
53;Total capital stock;B-E Industry (no construction), energy;2004;211781.0;99.6;210898.0;2551.0;14924.0;15640.0;-4.0;-948.0;211781.0
54;Total capital stock;B-E Industry (no construction), energy;2005;213535.0;98.9;211781.0;3171.0;15537.0;15842.0;-9.0;-1103.0;213535.0
55;Total capital stock;B-E Industry (no construction), energy;2006;218536.0;99.0;213535.0;4797.0;17112.0;16220.0;-12.0;-675.0;218536.0
56;Total capital stock;B-E Industry (no construction), energy;2007;224205.0;99.4;218536.0;4883.0;18056.0;16676.0;-10.0;-584.0;224205.0
57;Total capital stock;B-E Industry (no construction), energy;2008;232297.0;100.0;224205.0;6758.0;19679.0;17287.0;-10.0;-1048.0;232297.0
58;Total capital stock;B-E Industry (no construction), energy;2009;236825.0;99.8;232297.0;4810.0;18696.0;17704.0;-5.0;-1270.0;236825.0
59;Total capital stock;B-E Industry (no construction), energy;2010;240896.0;100.0;236825.0;3675.0;18387.0;17973.0;-18.0;0.0;240896.0
60;Total capital stock;B-E Industry (no construction), energy;2011;247763.0;101.9;240896.0;2352.0;22780.0;18241.0;-25.0;0.0;247763.0
61;Total capital stock;B-E Industry (no construction), energy;2012;255199.0;103.6;247763.0;3204.0;22868.0;18625.0;-11.0;0.0;255199.0
62;Total capital stock;B-E Industry (no construction), energy;2013;259557.0;104.5;255199.0;2048.0;22373.0;18800.0;-1262.0;0.0;259557.0
63;Total capital stock;B-E Industry (no construction), energy;2014;266252.0;106.7;259557.0;1211.0;24728.0;19204.0;-40.0;0.0;266252.0
64;Total capital stock;B-E Industry (no construction), energy;2015;273099.0;109.0;266252.0;1022.0;25583.0;19739.0;-34.0;15.0;273099.0
65;Total capital stock;B-E Industry (no construction), energy;2016;280579.0;111.5;273099.0;1379.0;26389.0;20305.0;-8.0;25.0;280579.0
