ID;Periods;Euro95_1;Diesel_2;LPG_3
0;2006 Sunday 1 January;1.325;1.003;0.543
1;2006 Monday 2 January;1.328;1.007;0.542
2;2006 Tuesday 3 January;1.332;1.007;0.54
3;2006 Wednesday 4 January;1.348;1.02;0.55
4;2006 Thursday 5 January;1.347;1.021;0.55
5;2006 Friday 6 January;1.353;1.023;0.549
6;2006 Saturday 7 January;1.361;1.022;0.555
7;2006 Sunday 8 January;1.36;1.022;0.55
8;2006 Monday 9 January;1.362;1.024;0.554
9;2006 Tuesday 10 January;1.368;1.022;0.552
10;2006 Wednesday 11 January;1.369;1.018;0.56
11;2006 Thursday 12 January;1.363;1.011;0.558
12;2006 Friday 13 January;1.361;1.009;0.559
13;2006 Saturday 14 January;1.355;1.006;0.559
14;2006 Sunday 15 January;1.356;1.005;0.561
15;2006 Monday 16 January;1.354;1.005;0.558
16;2006 Tuesday 17 January;1.355;1.007;0.556
17;2006 Wednesday 18 January;1.36;1.013;0.561
18;2006 Thursday 19 January;1.363;1.016;0.561
19;2006 Friday 20 January;1.368;1.016;0.561
20;2006 Saturday 21 January;1.37;1.021;0.559
21;2006 Sunday 22 January;1.369;1.02;0.559
22;2006 Monday 23 January;1.369;1.021;0.56
23;2006 Tuesday 24 January;1.368;1.031;0.564
24;2006 Wednesday 25 January;1.369;1.031;0.565
25;2006 Thursday 26 January;1.356;1.025;0.568
26;2006 Friday 27 January;1.351;1.023;0.567
27;2006 Saturday 28 January;1.351;1.025;0.565
28;2006 Sunday 29 January;1.351;1.025;0.568
29;2006 Monday 30 January;1.351;1.025;0.566
30;2006 Tuesday 31 January;1.361;1.032;0.569
31;2006 Wednesday 1 February;1.36;1.032;0.567
32;2006 Thursday 2 February;1.36;1.031;0.566
33;2006 Friday 3 February;1.353;1.028;0.567
34;2006 Saturday 4 February;1.344;1.024;0.564
35;2006 Sunday 5 February;1.344;1.024;0.565
36;2006 Monday 6 February;1.342;1.024;0.564
37;2006 Tuesday 7 February;1.341;1.026;0.565
38;2006 Wednesday 8 February;1.341;1.026;0.559
39;2006 Thursday 9 February;1.336;1.02;0.558
40;2006 Friday 10 February;1.331;1.018;0.56
41;2006 Saturday 11 February;1.323;1.013;0.56
