ID;Bedrijfstakken;Perioden;Wegingscoefficient_1;Prijsindexcijfer_2;Wegingscoefficient_3;Prijsindexcijfer_4;Wegingscoefficient_5;Prijsindexcijfer_6;Wegingscoefficient_7;Prijsindexcijfer_8;Wegingscoefficient_9;Prijsindexcijfer_10;Wegingscoefficient_11;Prijsindexcijfer_12;Wegingscoefficient_13;Prijsindexcijfer_14;Wegingscoefficient_15;Prijsindexcijfer_16;Wegingscoefficient_17;Prijsindexcijfer_18;Wegingscoefficient_19;Prijsindexcijfer_20;Wegingscoefficient_21;Prijsindexcijfer_22;Wegingscoefficient_23;Prijsindexcijfer_24;Wegingscoefficient_25;Prijsindexcijfer_26
0;C   Delfstoffenwinning;1990;100000.0;100.0;60854.0;100;;;;;;;39146.0;100.0;100000.0;100.0;27460.0;100.0;;;;;21513.0;100.0;5947.0;100.0;72540.0;100.0
1;C   Delfstoffenwinning;Januari   1990;100000.0;100.0;60854.0;102;;;;;;;39146.0;96.0;100000.0;97.0;27460.0;100.0;;;;;21513.0;100.0;5947.0;101.0;72540.0;96.0
2;C   Delfstoffenwinning;Februari  1990;100000.0;101.0;60854.0;102;;;;;;;39146.0;99.0;100000.0;100.0;27460.0;100.0;;;;;21513.0;99.0;5947.0;101.0;72540.0;100.0
3;C   Delfstoffenwinning;Maart     1990;100000.0;100.0;60854.0;101;;;;;;;39146.0;99.0;100000.0;95.0;27460.0;99.0;;;;;21513.0;99.0;5947.0;101.0;72540.0;93.0
4;C   Delfstoffenwinning;April     1990;100000.0;102.0;60854.0;101;;;;;;;39146.0;103.0;100000.0;101.0;27460.0;100.0;;;;;21513.0;99.0;5947.0;101.0;72540.0;101.0
5;C   Delfstoffenwinning;Mei       1990;100000.0;103.0;60854.0;101;;;;;;;39146.0;105.0;100000.0;101.0;27460.0;100.0;;;;;21513.0;99.0;5947.0;101.0;72540.0;101.0
6;C   Delfstoffenwinning;Juni      1990;100000.0;104.0;60854.0;101;;;;;;;39146.0;110.0;100000.0;103.0;27460.0;100.0;;;;;21513.0;99.0;5947.0;101.0;72540.0;105.0
7;C   Delfstoffenwinning;Juli      1990;100000.0;100.0;60854.0;96;;;;;;;39146.0;106.0;100000.0;103.0;27460.0;100.0;;;;;21513.0;100.0;5947.0;100.0;72540.0;105.0
8;C   Delfstoffenwinning;Augustus  1990;100000.0;101.0;60854.0;98;;;;;;;39146.0;107.0;100000.0;103.0;27460.0;100.0;;;;;21513.0;100.0;5947.0;100.0;72540.0;104.0
9;C   Delfstoffenwinning;September 1990;100000.0;97.0;60854.0;100;;;;;;;39146.0;94.0;100000.0;102.0;27460.0;101.0;;;;;21513.0;101.0;5947.0;100.0;72540.0;102.0
