ID;SBI93;Voorzieningsgebied;DrinkwaterVanWaterleidingbedrijf_1;AnderWaterVanWaterleidingbedrijf_2;ZelfgewonnenZoetGrondwater_3;ZelfgewonnenZoutBrakGrondwater_4;ZelfgewonnenZoetOppervlaktewater_5;ZelfgewonnenZoutBrakOppervlaktewater_6;DrinkwaterVanWaterleidingbedrijf_7;AnderWaterVanWaterleidingbedrijf_8;ZelfgewonnenZoetGrondwater_9;ZelfgewonnenZoutBrakGrondwater_10;ZelfgewonnenZoetOppervlaktewater_11;ZelfgewonnenZoutBrakOppervlaktewater_12;DrinkwaterVanWaterleidingbedrijf_13;AnderWaterVanWaterleidingbedrijf_14;ZelfgewonnenZoetGrondwater_15;ZelfgewonnenZoutBrakGrondwater_16;ZelfgewonnenZoetOppervlaktewater_17;ZelfgewonnenZoutBrakOppervlaktewater_18
0;11-14 Winning van delfstoffen;Totaal Nederland;0.35;0.38;0.08;0.0;1.17;0.0;0.14;0.38;0.02;0.0;0.03;0.0;0.2;0.0;0.05;0.0;1.14;0.0
1;11-14 Winning van delfstoffen;1;;;;;;;;;;;;;;;;;;
2;11-14 Winning van delfstoffen;2;;;;;;;;;;;;;;;;;;
3;11-14 Winning van delfstoffen;3;;;;;;;;;;;;;;;;;;
4;11-14 Winning van delfstoffen;4;0.01;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;11-14 Winning van delfstoffen;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;11-14 Winning van delfstoffen;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;11-14 Winning van delfstoffen;7;;;;;;;;;;;;;;;;;;
8;11-14 Winning van delfstoffen;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;11-14 Winning van delfstoffen;9;;;;;;;;;;;;;;;;;;
10;11-14 Winning van delfstoffen;Nutsbedrijf Amstelland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;11-14 Winning van delfstoffen;Gemeentewaterleidingen Amsterdam;;;;;;;;;;;;;;;;;;
12;11-14 Winning van delfstoffen;PWN Waterleidingbedrijf Noord-Holland;0.02;0.0;0.0;0.0;0.01;0.0;0.02;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;11-14 Winning van delfstoffen;Waterbedrijf Europoort;;;;;;;;;;;;;;;;;;
14;11-14 Winning van delfstoffen;Duinwaterbedrijf Zuid-Holland;0.03;0.01;0.01;0.0;0.01;0.0;0.03;0.01;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;11-14 Winning van delfstoffen;Waterleidingmij Zuid-Holland Oost;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;11-14 Winning van delfstoffen;Delta Nutsbedrijven;;;;;;;;;;;;;;;;;;
17;11-14 Winning van delfstoffen;Waterleiding Maatsch Noord-West-Brabant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;11-14 Winning van delfstoffen;Waterleidingmaatschappij Oost-Brabant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;11-14 Winning van delfstoffen;Tilburgse Waterleidingmaatschappij;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;11-14 Winning van delfstoffen;Waterleidingmaatschappij Limburg;0.01;0.0;0.01;0.0;0.0;0.0;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;11-14 Winning van delfstoffen;Nutsbedrijven Maastricht;;;;;;;;;;;;;;;;;;
22;15+16 Voedings- en genotmiddelenind.;Totaal Nederland;51.01;3.04;70.69;2.54;117.26;3.08;2.33;0.09;27.06;0.25;3.43;0.0;48.68;2.95;43.64;2.3;113.83;3.08
