ID;Bestedingscategorie;VoornaamsteInkomensbronHuishoudens;Perioden;ConsumentenprijsindexCPI_1;Jaarmutatie_2;Wegingscoefficient_3
0;0;Alle huishoudens;2007;101.61;1.6;100000
1;0;Alle huishoudens;2008;104.14;2.5;100000
2;0;Alle huishoudens;2009;105.38;1.2;100000
3;0;Alle huishoudens;2010;106.72;1.3;100000
4;0;Alle huishoudens;2011;109.22;2.3;100000
5;0;Alle huishoudens;2012;111.9;2.5;100000
6;0;Alle huishoudens;2013;114.71;2.5;100000
7;0;Alle huishoudens;2014;115.83;1.0;100000
8;0;Inkomen uit loon;2007;101.56;1.6;100000
9;0;Inkomen uit loon;2008;104.03;2.4;100000
10;0;Inkomen uit loon;2009;105.18;1.1;100000
11;0;Inkomen uit loon;2010;106.58;1.3;100000
12;0;Inkomen uit loon;2011;109.07;2.3;100000
13;0;Inkomen uit loon;2012;111.75;2.5;100000
14;0;Inkomen uit loon;2013;114.55;2.5;100000
15;0;Inkomen uit loon;2014;115.64;1.0;100000
16;0;Inkomen uit eigen bedrijven of vermogen;2007;101.79;1.8;100000
17;0;Inkomen uit eigen bedrijven of vermogen;2008;104.5;2.7;100000
18;0;Inkomen uit eigen bedrijven of vermogen;2009;105.98;1.4;100000
19;0;Inkomen uit eigen bedrijven of vermogen;2010;107.25;1.2;100000
20;0;Inkomen uit eigen bedrijven of vermogen;2011;109.74;2.3;100000
21;0;Inkomen uit eigen bedrijven of vermogen;2012;112.39;2.4;100000
22;0;Inkomen uit eigen bedrijven of vermogen;2013;115.41;2.7;100000
23;0;Inkomen uit eigen bedrijven of vermogen;2014;116.58;1.0;100000
24;0;Inkomen uit pensioen en AOW;2007;101.78;1.8;100000
25;0;Inkomen uit pensioen en AOW;2008;104.54;2.7;100000
26;0;Inkomen uit pensioen en AOW;2009;105.94;1.3;100000
27;0;Inkomen uit pensioen en AOW;2010;107.19;1.2;100000
28;0;Inkomen uit pensioen en AOW;2011;109.72;2.4;100000
29;0;Inkomen uit pensioen en AOW;2012;112.42;2.5;100000
30;0;Inkomen uit pensioen en AOW;2013;115.14;2.4;100000
31;0;Inkomen uit pensioen en AOW;2014;116.33;1.0;100000
32;0;Inkomen uit uitkeringen anders dan AOW;2007;101.43;1.4;100000
33;0;Inkomen uit uitkeringen anders dan AOW;2008;103.68;2.2;100000
34;0;Inkomen uit uitkeringen anders dan AOW;2009;104.93;1.2;100000
35;0;Inkomen uit uitkeringen anders dan AOW;2010;106.11;1.1;100000
36;0;Inkomen uit uitkeringen anders dan AOW;2011;108.62;2.4;100000
37;0;Inkomen uit uitkeringen anders dan AOW;2012;111.33;2.5;100000
38;0;Inkomen uit uitkeringen anders dan AOW;2013;114.21;2.6;100000
39;0;Inkomen uit uitkeringen anders dan AOW;2014;115.33;1.0;100000
40;10000;Alle huishoudens;2007;101.03;1.0;10803
41;10000;Alle huishoudens;2008;106.72;5.6;11067
42;10000;Alle huishoudens;2009;107.88;1.1;10767
43;10000;Alle huishoudens;2010;107.78;-0.1;11305
44;10000;Alle huishoudens;2011;110.17;2.2;11255
45;10000;Alle huishoudens;2012;112.4;2.0;11281
46;10000;Alle huishoudens;2013;115.11;2.4;11334
47;10000;Alle huishoudens;2014;115.04;-0.1;11529
48;10000;Inkomen uit loon;2007;101.05;1.1;10515
49;10000;Inkomen uit loon;2008;106.64;5.5;10589
50;10000;Inkomen uit loon;2009;107.82;1.1;10587
51;10000;Inkomen uit loon;2010;107.68;-0.1;11158
52;10000;Inkomen uit loon;2011;110.02;2.2;11080
53;10000;Inkomen uit loon;2012;112.25;2.0;11068
