ID;BedrijfstakkenSBI93;LoonklassenJaarloon;WoonregioS;WerkregioS;Perioden;TotaalHoofdbanenVanWerknemers_1;HoofdbaanBinnenWoongemeente_2;HoofdbaanBuitenWoongemeente_3;HoofdbaanBinnenWoonCOROP_4;HoofdbaanBuitenWoonCOROP_5;HoofdbaanBinnenWoonprovincie_6;HoofdbaanBuitenWoonprovincie_7;GemiddeldeWoonwerkafstand_8
97;0;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);2000 31 december;56.5;28.5;28.0;34.7;21.8;43.1;13.4;
98;0;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);2004 30 september;59.6;31.5;28.0;38.4;21.2;45.9;13.7;
99;0;0;Nederland inclusief buitenland;Zuidwest-Overijssel (CR);2005 30 september;59.9;32.0;27.9;38.3;21.6;46.3;13.6;
100;0;0;Nederland inclusief buitenland;Twente (CR);1998 31 december;222.9;113.1;109.7;198.9;24.0;205.6;17.3;
101;0;0;Nederland inclusief buitenland;Twente (CR);2000 31 december;229.0;115.2;113.8;202.6;26.4;209.3;19.7;
102;0;0;Nederland inclusief buitenland;Twente (CR);2004 30 september;251.7;127.9;123.8;216.5;35.2;224.1;27.6;
103;0;0;Nederland inclusief buitenland;Twente (CR);2005 30 september;252.5;128.1;124.4;216.1;36.4;223.6;28.9;
104;0;0;Nederland inclusief buitenland;Veluwe (CR);1998 31 december;257.0;131.5;125.4;179.3;77.6;201.6;55.3;
105;0;0;Nederland inclusief buitenland;Veluwe (CR);2000 31 december;257.2;130.6;126.6;179.2;78.1;201.4;55.8;
106;0;0;Nederland inclusief buitenland;Veluwe (CR);2004 30 september;270.6;137.5;133.1;188.2;82.4;210.8;59.9;
107;0;0;Nederland inclusief buitenland;Veluwe (CR);2005 30 september;270.7;137.9;132.9;188.6;82.1;211.5;59.2;
108;0;0;Nederland inclusief buitenland;Achterhoek (CR);1998 31 december;137.8;61.6;76.2;111.0;26.8;123.5;14.4;
109;0;0;Nederland inclusief buitenland;Achterhoek (CR);2000 31 december;139.9;61.1;78.9;112.1;27.8;124.6;15.4;
110;0;0;Nederland inclusief buitenland;Achterhoek (CR);2004 30 september;148.2;65.5;82.7;117.2;31.0;130.2;18.0;
111;0;0;Nederland inclusief buitenland;Achterhoek (CR);2005 30 september;152.5;76.5;76.0;120.4;32.1;133.3;19.2;
112;0;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);1998 31 december;276.5;115.1;161.3;219.1;57.3;244.4;32.1;
113;0;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);2000 31 december;285.2;116.0;169.2;223.1;62.1;249.3;35.9;
114;0;0;Nederland inclusief buitenland;Arnhem/Nijmegen (CR);2004 30 september;302.5;125.7;176.8;232.3;70.2;259.5;43.0;
