ID;Bedrijfstakken;Bedrijfskenmerken;Perioden;Bedrijven_1
0;A-Q Alle economische activiteiten ..;Totaal aantal bedrijven;2006, 1 januari;725645
1;A-Q Alle economische activiteiten ..;Totaal aantal bedrijven;2007, 1 januari;761320
2;A-Q Alle economische activiteiten ..;Totaal aantal bedrijven;2008, 1 januari;797840
3;A-Q Alle economische activiteiten ..;Totaal aantal bedrijven;2009, 1 januari;844450
4;A-Q Alle economische activiteiten ..;1 werkzame persoon;2006, 1 januari;355550
5;A-Q Alle economische activiteiten ..;1 werkzame persoon;2007, 1 januari;382850
6;A-Q Alle economische activiteiten ..;1 werkzame persoon;2008, 1 januari;434720
7;A-Q Alle economische activiteiten ..;1 werkzame persoon;2009, 1 januari;471365
8;A-Q Alle economische activiteiten ..;2 werkzame personen;2006, 1 januari;164675
9;A-Q Alle economische activiteiten ..;2 werkzame personen;2007, 1 januari;144415
10;A-Q Alle economische activiteiten ..;2 werkzame personen;2008, 1 januari;146385
11;A-Q Alle economische activiteiten ..;2 werkzame personen;2009, 1 januari;148935
12;A-Q Alle economische activiteiten ..;3 tot 5 werkzame personen;2006, 1 januari;79860
13;A-Q Alle economische activiteiten ..;3 tot 5 werkzame personen;2007, 1 januari;92250
14;A-Q Alle economische activiteiten ..;3 tot 5 werkzame personen;2008, 1 januari;85775
15;A-Q Alle economische activiteiten ..;3 tot 5 werkzame personen;2009, 1 januari;85410
16;A-Q Alle economische activiteiten ..;5 tot 10 werkzame personen;2006, 1 januari;58900
17;A-Q Alle economische activiteiten ..;5 tot 10 werkzame personen;2007, 1 januari;68725
18;A-Q Alle economische activiteiten ..;5 tot 10 werkzame personen;2008, 1 januari;61915
19;A-Q Alle economische activiteiten ..;5 tot 10 werkzame personen;2009, 1 januari;63950
20;A-Q Alle economische activiteiten ..;10 tot 20 werkzame personen;2006, 1 januari;31540
21;A-Q Alle economische activiteiten ..;10 tot 20 werkzame personen;2007, 1 januari;35655
22;A-Q Alle economische activiteiten ..;10 tot 20 werkzame personen;2008, 1 januari;33750
23;A-Q Alle economische activiteiten ..;10 tot 20 werkzame personen;2009, 1 januari;36100
24;A-Q Alle economische activiteiten ..;20 tot 50 werkzame personen;2006, 1 januari;21105
25;A-Q Alle economische activiteiten ..;20 tot 50 werkzame personen;2007, 1 januari;22920
26;A-Q Alle economische activiteiten ..;20 tot 50 werkzame personen;2008, 1 januari;21605
27;A-Q Alle economische activiteiten ..;20 tot 50 werkzame personen;2009, 1 januari;23365
28;A-Q Alle economische activiteiten ..;50 tot 100 werkzame personen;2006, 1 januari;6705
29;A-Q Alle economische activiteiten ..;50 tot 100 werkzame personen;2007, 1 januari;6995
30;A-Q Alle economische activiteiten ..;50 tot 100 werkzame personen;2008, 1 januari;6730
31;A-Q Alle economische activiteiten ..;50 tot 100 werkzame personen;2009, 1 januari;7480
32;A-Q Alle economische activiteiten ..;100 werkzame personen of meer;2006, 1 januari;7310
33;A-Q Alle economische activiteiten ..;100 werkzame personen of meer;2007, 1 januari;7515
34;A-Q Alle economische activiteiten ..;100 werkzame personen of meer;2008, 1 januari;6950
35;A-Q Alle economische activiteiten ..;100 werkzame personen of meer;2009, 1 januari;7850
36;A-Q Alle economische activiteiten ..;Natuurlijke personen;2006, 1 januari;515125
37;A-Q Alle economische activiteiten ..;Natuurlijke personen;2007, 1 januari;538935
38;A-Q Alle economische activiteiten ..;Natuurlijke personen;2008, 1 januari;563895
39;A-Q Alle economische activiteiten ..;Natuurlijke personen;2009, 1 januari;600020
40;A-Q Alle economische activiteiten ..;Rechtspersonen;2006, 1 januari;210520
41;A-Q Alle economische activiteiten ..;Rechtspersonen;2007, 1 januari;222385
42;A-Q Alle economische activiteiten ..;Rechtspersonen;2008, 1 januari;233945
43;A-Q Alle economische activiteiten ..;Rechtspersonen;2009, 1 januari;244435
44;A Landbouw, jacht en bosbouw;Totaal aantal bedrijven;2006, 1 januari;95375
45;A Landbouw, jacht en bosbouw;Totaal aantal bedrijven;2007, 1 januari;93545
46;A Landbouw, jacht en bosbouw;Totaal aantal bedrijven;2008, 1 januari;91990
47;A Landbouw, jacht en bosbouw;Totaal aantal bedrijven;2009, 1 januari;92015
48;A Landbouw, jacht en bosbouw;1 werkzame persoon;2006, 1 januari;57895
49;A Landbouw, jacht en bosbouw;1 werkzame persoon;2007, 1 januari;51445
50;A Landbouw, jacht en bosbouw;1 werkzame persoon;2008, 1 januari;49545
51;A Landbouw, jacht en bosbouw;1 werkzame persoon;2009, 1 januari;49735
52;A Landbouw, jacht en bosbouw;2 werkzame personen;2006, 1 januari;23320
53;A Landbouw, jacht en bosbouw;2 werkzame personen;2007, 1 januari;26155
54;A Landbouw, jacht en bosbouw;2 werkzame personen;2008, 1 januari;26330
55;A Landbouw, jacht en bosbouw;2 werkzame personen;2009, 1 januari;25850
56;A Landbouw, jacht en bosbouw;3 tot 5 werkzame personen;2006, 1 januari;9040
57;A Landbouw, jacht en bosbouw;3 tot 5 werkzame personen;2007, 1 januari;9760
58;A Landbouw, jacht en bosbouw;3 tot 5 werkzame personen;2008, 1 januari;10015
59;A Landbouw, jacht en bosbouw;3 tot 5 werkzame personen;2009, 1 januari;10095
60;A Landbouw, jacht en bosbouw;5 tot 10 werkzame personen;2006, 1 januari;3570
61;A Landbouw, jacht en bosbouw;5 tot 10 werkzame personen;2007, 1 januari;3930
62;A Landbouw, jacht en bosbouw;5 tot 10 werkzame personen;2008, 1 januari;3965
63;A Landbouw, jacht en bosbouw;5 tot 10 werkzame personen;2009, 1 januari;4045
64;A Landbouw, jacht en bosbouw;10 tot 20 werkzame personen;2006, 1 januari;1120
65;A Landbouw, jacht en bosbouw;10 tot 20 werkzame personen;2007, 1 januari;1600
66;A Landbouw, jacht en bosbouw;10 tot 20 werkzame personen;2008, 1 januari;1475
67;A Landbouw, jacht en bosbouw;10 tot 20 werkzame personen;2009, 1 januari;1595
68;A Landbouw, jacht en bosbouw;20 tot 50 werkzame personen;2006, 1 januari;350
69;A Landbouw, jacht en bosbouw;20 tot 50 werkzame personen;2007, 1 januari;510
70;A Landbouw, jacht en bosbouw;20 tot 50 werkzame personen;2008, 1 januari;525
71;A Landbouw, jacht en bosbouw;20 tot 50 werkzame personen;2009, 1 januari;555
72;A Landbouw, jacht en bosbouw;50 tot 100 werkzame personen;2006, 1 januari;45
73;A Landbouw, jacht en bosbouw;50 tot 100 werkzame personen;2007, 1 januari;95
74;A Landbouw, jacht en bosbouw;50 tot 100 werkzame personen;2008, 1 januari;100
75;A Landbouw, jacht en bosbouw;50 tot 100 werkzame personen;2009, 1 januari;115
76;A Landbouw, jacht en bosbouw;100 werkzame personen of meer;2006, 1 januari;25
