ID;BedrijfstakkenBranchesSBI2008;Aardgas;Elektriciteit;Perioden;Adressen_1;GeleverdAardgas_2;GeleverdeElektriciteit_3
0;A-U Alle economische activiteiten;Totaal aardgas;Totaal elektriciteit;2018;922695.0;30965300.0;70576900.0
1;A-U Alle economische activiteiten;Totaal aardgas;Totaal elektriciteit;2019;865365.0;31605200.0;69045900.0
2;A-U Alle economische activiteiten;Totaal aardgas;Totaal elektriciteit;2020;802145.0;32373000.0;67257900.0
3;A-U Alle economische activiteiten;Totaal aardgas;Totaal elektriciteit;2021;813260.0;29387400.0;67601000.0
4;A-U Alle economische activiteiten;Totaal aardgas;Totaal elektriciteit;2022;826320.0;23584300.0;65353600.0
5;A-U Alle economische activiteiten;Totaal aardgas;Totaal elektriciteit;2023;862580.0;23056000.0;62596900.0
6;A-U Alle economische activiteiten;Totaal aardgas;0 t/m 10 000 kWh;2018;494195.0;921000.0;1814400.0
7;A-U Alle economische activiteiten;Totaal aardgas;0 t/m 10 000 kWh;2019;456340.0;1480000.0;1651100.0
8;A-U Alle economische activiteiten;Totaal aardgas;0 t/m 10 000 kWh;2020;416220.0;;1498600.0
9;A-U Alle economische activiteiten;Totaal aardgas;0 t/m 10 000 kWh;2021;430050.0;1454400.0;1546100.0
10;A-U Alle economische activiteiten;Totaal aardgas;0 t/m 10 000 kWh;2022;453620.0;1227900.0;1605700.0
11;A-U Alle economische activiteiten;Totaal aardgas;0 t/m 10 000 kWh;2023;504330.0;1213600.0;1706100.0
12;A-U Alle economische activiteiten;Totaal aardgas;10 001 t/m 50 000 kWh;2018;254855.0;1378200.0;5670400.0
13;A-U Alle economische activiteiten;Totaal aardgas;10 001 t/m 50 000 kWh;2019;247375.0;;5570800.0
14;A-U Alle economische activiteiten;Totaal aardgas;10 001 t/m 50 000 kWh;2020;240775.0;1199900.0;5473700.0
15;A-U Alle economische activiteiten;Totaal aardgas;10 001 t/m 50 000 kWh;2021;237490.0;1260700.0;5386100.0
16;A-U Alle economische activiteiten;Totaal aardgas;10 001 t/m 50 000 kWh;2022;228580.0;1076500.0;5182700.0
17;A-U Alle economische activiteiten;Totaal aardgas;10 001 t/m 50 000 kWh;2023;216385.0;933200.0;4874000.0
18;A-U Alle economische activiteiten;Totaal aardgas;50 001 t/m 100 000 kWh;2018;48940.0;541400.0;3398600.0
