ID;Geslacht;Herkomstgroepering;Onderwijssoort;Leeftijd;InkomstenniveauHuishouden;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;0;Totaal inkomstenniveau huishouden;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;0;Totaal inkomstenniveau huishouden;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;0;Totaal inkomstenniveau huishouden;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;0;Totaal inkomstenniveau huishouden;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;0;Totaal inkomstenniveau huishouden;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;0;< 2 keer minimumloon;2004/'05;315650.0;28340.0;287310.0;9.0
6;Totaal mannen en vrouwen;0;0;0;< 2 keer minimumloon;2005/'06;345720.0;29030.0;316690.0;8.4
7;Totaal mannen en vrouwen;0;0;0;< 2 keer minimumloon;2006/'07;332500.0;27690.0;304810.0;8.3
8;Totaal mannen en vrouwen;0;0;0;< 2 keer minimumloon;2007/'08;306180.0;25660.0;280530.0;8.4
9;Totaal mannen en vrouwen;0;0;0;< 2 keer minimumloon;2008/'09;324040.0;23970.0;300080.0;7.4
10;Totaal mannen en vrouwen;0;0;0;< 0,9 keer minimumloon;2004/'05;86860.0;9400.0;77450.0;10.8
11;Totaal mannen en vrouwen;0;0;0;< 0,9 keer minimumloon;2005/'06;99680.0;10110.0;89570.0;10.1
12;Totaal mannen en vrouwen;0;0;0;< 0,9 keer minimumloon;2006/'07;97940.0;9710.0;88230.0;9.9
13;Totaal mannen en vrouwen;0;0;0;< 0,9 keer minimumloon;2007/'08;84350.0;8460.0;75890.0;10.0
14;Totaal mannen en vrouwen;0;0;0;< 0,9 keer minimumloon;2008/'09;97470.0;8180.0;89290.0;8.4
15;Totaal mannen en vrouwen;0;0;0;0,9 tot 1,1 keer minimumloon;2004/'05;48300.0;4370.0;43940.0;9.0
16;Totaal mannen en vrouwen;0;0;0;0,9 tot 1,1 keer minimumloon;2005/'06;51630.0;4330.0;47300.0;8.4
17;Totaal mannen en vrouwen;0;0;0;0,9 tot 1,1 keer minimumloon;2006/'07;50330.0;4280.0;46040.0;8.5
18;Totaal mannen en vrouwen;0;0;0;0,9 tot 1,1 keer minimumloon;2007/'08;48000.0;3920.0;44070.0;8.2
19;Totaal mannen en vrouwen;0;0;0;0,9 tot 1,1 keer minimumloon;2008/'09;45850.0;3720.0;42130.0;8.1
20;Totaal mannen en vrouwen;0;0;0;1,1 tot 1,5 keer minimumloon;2004/'05;84960.0;7430.0;77530.0;8.7
21;Totaal mannen en vrouwen;0;0;0;1,1 tot 1,5 keer minimumloon;2005/'06;92880.0;7470.0;85410.0;8.0
22;Totaal mannen en vrouwen;0;0;0;1,1 tot 1,5 keer minimumloon;2006/'07;86150.0;6910.0;79240.0;8.0
23;Totaal mannen en vrouwen;0;0;0;1,1 tot 1,5 keer minimumloon;2007/'08;81460.0;6640.0;74830.0;8.1
24;Totaal mannen en vrouwen;0;0;0;1,1 tot 1,5 keer minimumloon;2008/'09;87340.0;6140.0;81210.0;7.0
25;Totaal mannen en vrouwen;0;0;0;1,5 tot 2 keer minimumloon;2004/'05;95540.0;7140.0;88390.0;7.5
26;Totaal mannen en vrouwen;0;0;0;1,5 tot 2 keer minimumloon;2005/'06;101530.0;7120.0;94410.0;7.0
27;Totaal mannen en vrouwen;0;0;0;1,5 tot 2 keer minimumloon;2006/'07;98090.0;6790.0;91310.0;6.9
28;Totaal mannen en vrouwen;0;0;0;1,5 tot 2 keer minimumloon;2007/'08;92380.0;6640.0;85740.0;7.2
29;Totaal mannen en vrouwen;0;0;0;1,5 tot 2 keer minimumloon;2008/'09;93390.0;5930.0;87460.0;6.3
