ID;TypeOfMonument;Regions;Periods;ListedMonumentsAndHistoricBuildings_1
0;Listed monuments total;The Netherlands;1965;1836
1;Listed monuments total;The Netherlands;1966;9663
2;Listed monuments total;The Netherlands;1967;16142
3;Listed monuments total;The Netherlands;1968;19492
4;Listed monuments total;The Netherlands;1969;21303
5;Listed monuments total;The Netherlands;1970;29025
6;Listed monuments total;The Netherlands;1971;32227
7;Listed monuments total;The Netherlands;1972;33932
8;Listed monuments total;The Netherlands;1973;36881
9;Listed monuments total;The Netherlands;1974;37901
10;Listed monuments total;The Netherlands;1975;38844
11;Listed monuments total;The Netherlands;1976;39892
12;Listed monuments total;The Netherlands;1977;40332
13;Listed monuments total;The Netherlands;1978;40840
14;Listed monuments total;The Netherlands;1979;41180
15;Listed monuments total;The Netherlands;1980;41569
16;Listed monuments total;The Netherlands;1981;41767
17;Listed monuments total;The Netherlands;1982;41982
18;Listed monuments total;The Netherlands;1983;42198
19;Listed monuments total;The Netherlands;1984;42595
20;Listed monuments total;The Netherlands;1985;42893
21;Listed monuments total;The Netherlands;1986;43070
22;Listed monuments total;The Netherlands;1987;43167
23;Listed monuments total;The Netherlands;1988;43311
24;Listed monuments total;The Netherlands;1989;43380
25;Listed monuments total;The Netherlands;1990;43500
26;Listed monuments total;The Netherlands;1991;43736
27;Listed monuments total;The Netherlands;1992;44088
28;Listed monuments total;The Netherlands;1993;44531
29;Listed monuments total;The Netherlands;1994;45175
30;Listed monuments total;The Netherlands;1995;45645
31;Listed monuments total;The Netherlands;1996;46065
32;Listed monuments total;The Netherlands;1997;47184
33;Listed monuments total;The Netherlands;1998;48418
34;Listed monuments total;The Netherlands;1999;50221
35;Listed monuments total;The Netherlands;2000;52024
36;Listed monuments total;The Netherlands;2001;55432
37;Listed monuments total;The Netherlands;2002;59339
38;Listed monuments total;The Netherlands;2003;60048
39;Listed monuments total;The Netherlands;2004;61076
40;Listed monuments total;The Netherlands;2005;61893
41;Listed monuments total;The Netherlands;2006;62673
42;Listed monuments total;The Netherlands;2007;62960
43;Listed monuments total;The Netherlands;2008;63100
44;Listed monuments total;The Netherlands;2009;63183
45;Listed monuments total;The Netherlands;2010;63479
46;Listed monuments total;The Netherlands;2011;63710
47;Listed monuments total;The Netherlands;2012;63971
48;Listed monuments total;The Netherlands;2013;63161
49;Listed monuments total;The Netherlands;2014;63201
50;Listed monuments total;The Netherlands;2015;63283
51;Listed monuments total;The Netherlands;2016;63406
52;Listed monuments total;The Netherlands;2017;63424
53;Listed monuments total;The Netherlands;2018;63366
54;Listed monuments total;The Netherlands;2019;63322
55;Listed monuments total;The Netherlands;2020;63273
56;Listed monuments total;The Netherlands;2021;63276
57;Listed monuments total;The Netherlands;2022;63241
58;Listed monuments total;The Netherlands;2023;63195
59;Listed monuments total;Noord-Nederland (LD);1965;409
60;Listed monuments total;Noord-Nederland (LD);1966;924
61;Listed monuments total;Noord-Nederland (LD);1967;1686
62;Listed monuments total;Noord-Nederland (LD);1968;2406
63;Listed monuments total;Noord-Nederland (LD);1969;2414
64;Listed monuments total;Noord-Nederland (LD);1970;2722
65;Listed monuments total;Noord-Nederland (LD);1971;3599
66;Listed monuments total;Noord-Nederland (LD);1972;3823
67;Listed monuments total;Noord-Nederland (LD);1973;4317
68;Listed monuments total;Noord-Nederland (LD);1974;4378
69;Listed monuments total;Noord-Nederland (LD);1975;4683
70;Listed monuments total;Noord-Nederland (LD);1976;4856
71;Listed monuments total;Noord-Nederland (LD);1977;4918
72;Listed monuments total;Noord-Nederland (LD);1978;5015
73;Listed monuments total;Noord-Nederland (LD);1979;5091
74;Listed monuments total;Noord-Nederland (LD);1980;5135
75;Listed monuments total;Noord-Nederland (LD);1981;5171
76;Listed monuments total;Noord-Nederland (LD);1982;5232
77;Listed monuments total;Noord-Nederland (LD);1983;5318
78;Listed monuments total;Noord-Nederland (LD);1984;5353
79;Listed monuments total;Noord-Nederland (LD);1985;5428
80;Listed monuments total;Noord-Nederland (LD);1986;5456
