ID;Geslacht;Landen;MeerOfMinderjarig;Perioden;BeslissingenOntvangenDublinVerzoeken_1;BeslissingenVerzondenDublinVerzoeken_2;TotaalEersteBeslissingen_3;TotaalHeroverwegingsBeslissingen_4;PositieveEersteBeslissingen_5;NegatieveEersteBeslissingen_6;PositieveHeroverwegingsbeslissingen_7;NegatieveHeroverwegingsbeslissingen_8;TotaalEersteBeslissingen_9;TotaalHeroverwegingsbeslissingen_10;PositieveEersteBeslissingen_11;NegatieveEersteBeslissingen_12;PositieveHeroverwegingsbeslissingen_13;NegatieveHeroverwegingsbeslissingen_14
41;Totaal mannen en vrouwen;België;Totaal;2015;145.0;125.0;140.0;5.0;105.0;35.0;5.0;0.0;120.0;5.0;105.0;15.0;5.0;0.0
42;Totaal mannen en vrouwen;België;Totaal;2016;250.0;165.0;245.0;5.0;185.0;60.0;5.0;0.0;165.0;0.0;155.0;10.0;0.0;0.0
43;Totaal mannen en vrouwen;België;Totaal;2017;295.0;175.0;290.0;5.0;205.0;85.0;5.0;0.0;170.0;5.0;155.0;15.0;0.0;5.0
44;Totaal mannen en vrouwen;België;Totaal;2018;380.0;200.0;375.0;5.0;280.0;95.0;5.0;0.0;185.0;15.0;155.0;30.0;5.0;5.0
45;Totaal mannen en vrouwen;België;Totaal;2019;340.0;180.0;340.0;0.0;340.0;0.0;0.0;0.0;175.0;5.0;150.0;30.0;5.0;0.0
46;Totaal mannen en vrouwen;België;Totaal;2020;555.0;145.0;530.0;25.0;280.0;250.0;25.0;0.0;140.0;5.0;120.0;20.0;5.0;0.0
47;Totaal mannen en vrouwen;België;Totaal;2021;775.0;165.0;750.0;25.0;375.0;375.0;15.0;5.0;155.0;10.0;125.0;30.0;5.0;5.0
48;Totaal mannen en vrouwen;België;Totaal;2022;840.0;210.0;810.0;25.0;430.0;380.0;10.0;15.0;200.0;10.0;150.0;50.0;10.0;5.0
49;Totaal mannen en vrouwen;België;Totaal;2023;935.0;425.0;915.0;20.0;535.0;375.0;20.0;5.0;400.0;20.0;325.0;80.0;20.0;5.0
50;Totaal mannen en vrouwen;België;Meerderjarig;2014;;;;;;;;;;;;;;
51;Totaal mannen en vrouwen;België;Meerderjarig;2015;;;;;;;;;;;;;;
52;Totaal mannen en vrouwen;België;Meerderjarig;2016;;;;;;;;;;;;;;
53;Totaal mannen en vrouwen;België;Meerderjarig;2017;;;;;;;;;;;;;;
54;Totaal mannen en vrouwen;België;Meerderjarig;2018;;;;;;;;;;;;;;
55;Totaal mannen en vrouwen;België;Meerderjarig;2019;;;;;;;;;;;;;;
56;Totaal mannen en vrouwen;België;Meerderjarig;2020;;;;;;;;;;;;;;
57;Totaal mannen en vrouwen;België;Meerderjarig;2021;670.0;155.0;650.0;20.0;345.0;305.0;15.0;5.0;145.0;10.0;115.0;30.0;5.0;5.0
58;Totaal mannen en vrouwen;België;Meerderjarig;2022;710.0;200.0;690.0;20.0;390.0;300.0;10.0;10.0;190.0;10.0;145.0;45.0;5.0;5.0
59;Totaal mannen en vrouwen;België;Meerderjarig;2023;790.0;340.0;770.0;20.0;485.0;285.0;15.0;5.0;320.0;20.0;250.0;70.0;15.0;5.0
60;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2014;;;;;;;;;;;;;;
61;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2015;;;;;;;;;;;;;;
62;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2016;;;;;;;;;;;;;;
63;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2017;;;;;;;;;;;;;;
64;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2018;;;;;;;;;;;;;;
65;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2019;;;;;;;;;;;;;;
66;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2020;;;;;;;;;;;;;;
67;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2021;95.0;10.0;95.0;0.0;30.0;65.0;0.0;0.0;10.0;0.0;10.0;0.0;0.0;0.0
68;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2022;120.0;10.0;115.0;5.0;35.0;80.0;0.0;5.0;5.0;0.0;0.0;5.0;0.0;0.0
69;Totaal mannen en vrouwen;België;Minderjarig met ouder of voogd;2023;140.0;85.0;140.0;5.0;50.0;90.0;5.0;0.0;80.0;5.0;70.0;10.0;5.0;0.0
70;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2014;;;;;;;;;;;;;;
71;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2015;;;;;;;;;;;;;;
72;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2016;;;;;;;;;;;;;;
73;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2017;;;;;;;;;;;;;;
74;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2018;;;;;;;;;;;;;;
75;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2019;;;;;;;;;;;;;;
76;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2020;;;;;;;;;;;;;;
77;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2021;5.0;0.0;5.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
78;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2022;10.0;0.0;10.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
79;Totaal mannen en vrouwen;België;Minderjarig zonder ouder of voogd;2023;5.0;0.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80;Totaal mannen en vrouwen;Bulgarije;Totaal;2014;5.0;35.0;5.0;0.0;0.0;5.0;0.0;0.0;30.0;5.0;15.0;15.0;0.0;0.0
81;Totaal mannen en vrouwen;Bulgarije;Totaal;2015;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;30.0;20.0;0.0;0.0
82;Totaal mannen en vrouwen;Bulgarije;Totaal;2016;5.0;100.0;5.0;0.0;0.0;0.0;0.0;0.0;100.0;5.0;80.0;15.0;5.0;0.0
83;Totaal mannen en vrouwen;Bulgarije;Totaal;2017;0.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;5.0;15.0;25.0;0.0;5.0
84;Totaal mannen en vrouwen;Bulgarije;Totaal;2018;10.0;60.0;5.0;5.0;0.0;5.0;0.0;5.0;40.0;20.0;20.0;20.0;5.0;15.0
85;Totaal mannen en vrouwen;Bulgarije;Totaal;2019;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;10.0;20.0;15.0;5.0;5.0
86;Totaal mannen en vrouwen;Bulgarije;Totaal;2020;5.0;40.0;5.0;5.0;0.0;5.0;0.0;0.0;30.0;5.0;5.0;25.0;0.0;5.0
87;Totaal mannen en vrouwen;Bulgarije;Totaal;2021;10.0;50.0;5.0;5.0;0.0;5.0;0.0;0.0;40.0;10.0;15.0;25.0;5.0;5.0
88;Totaal mannen en vrouwen;Bulgarije;Totaal;2022;15.0;325.0;10.0;5.0;5.0;5.0;0.0;5.0;310.0;15.0;220.0;90.0;5.0;10.0
89;Totaal mannen en vrouwen;Bulgarije;Totaal;2023;20.0;600.0;10.0;10.0;5.0;5.0;0.0;10.0;570.0;30.0;405.0;165.0;5.0;25.0
90;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2014;;;;;;;;;;;;;;
91;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2015;;;;;;;;;;;;;;
92;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2016;;;;;;;;;;;;;;
93;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2017;;;;;;;;;;;;;;
94;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2018;;;;;;;;;;;;;;
95;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2019;;;;;;;;;;;;;;
96;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2020;;;;;;;;;;;;;;
97;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2021;5.0;45.0;5.0;0.0;0.0;5.0;0.0;0.0;35.0;10.0;15.0;20.0;5.0;5.0
98;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2022;5.0;270.0;5.0;0.0;0.0;5.0;0.0;0.0;255.0;10.0;195.0;65.0;5.0;10.0
99;Totaal mannen en vrouwen;Bulgarije;Meerderjarig;2023;10.0;535.0;5.0;0.0;0.0;5.0;0.0;0.0;510.0;25.0;370.0;140.0;5.0;20.0
100;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2014;;;;;;;;;;;;;;
101;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2015;;;;;;;;;;;;;;
102;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2016;;;;;;;;;;;;;;
103;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2017;;;;;;;;;;;;;;
104;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2018;;;;;;;;;;;;;;
105;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2019;;;;;;;;;;;;;;
106;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2020;;;;;;;;;;;;;;
107;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2021;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
108;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2022;10.0;25.0;5.0;5.0;5.0;5.0;0.0;5.0;25.0;0.0;20.0;5.0;0.0;0.0
109;Totaal mannen en vrouwen;Bulgarije;Minderjarig met ouder of voogd;2023;5.0;45.0;0.0;5.0;0.0;0.0;0.0;5.0;40.0;0.0;25.0;15.0;0.0;0.0
110;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2014;;;;;;;;;;;;;;
111;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2015;;;;;;;;;;;;;;
112;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2016;;;;;;;;;;;;;;
113;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2017;;;;;;;;;;;;;;
114;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2018;;;;;;;;;;;;;;
115;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2019;;;;;;;;;;;;;;
116;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2020;;;;;;;;;;;;;;
117;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
118;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2022;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;5.0;20.0;0.0;0.0
119;Totaal mannen en vrouwen;Bulgarije;Minderjarig zonder ouder of voogd;2023;5.0;20.0;0.0;5.0;0.0;0.0;0.0;5.0;20.0;0.0;10.0;10.0;0.0;0.0
120;Totaal mannen en vrouwen;Cyprus;Totaal;2014;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;5.0;5.0;0.0;0.0
121;Totaal mannen en vrouwen;Cyprus;Totaal;2015;10.0;45.0;5.0;5.0;0.0;5.0;0.0;0.0;40.0;0.0;5.0;35.0;0.0;0.0
122;Totaal mannen en vrouwen;Cyprus;Totaal;2016;10.0;5.0;10.0;5.0;0.0;10.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0
123;Totaal mannen en vrouwen;Cyprus;Totaal;2017;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;Totaal mannen en vrouwen;Cyprus;Totaal;2018;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;0.0;0.0
125;Totaal mannen en vrouwen;Cyprus;Totaal;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126;Totaal mannen en vrouwen;Cyprus;Totaal;2020;5.0;5.0;5.0;5.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0
127;Totaal mannen en vrouwen;Cyprus;Totaal;2021;10.0;25.0;10.0;0.0;0.0;5.0;0.0;0.0;25.0;0.0;10.0;15.0;0.0;0.0
128;Totaal mannen en vrouwen;Cyprus;Totaal;2022;20.0;10.0;20.0;5.0;0.0;15.0;0.0;5.0;10.0;0.0;10.0;0.0;0.0;0.0
129;Totaal mannen en vrouwen;Cyprus;Totaal;2023;70.0;30.0;45.0;25.0;5.0;35.0;10.0;15.0;25.0;0.0;10.0;15.0;0.0;0.0
130;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2014;;;;;;;;;;;;;;
131;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2015;;;;;;;;;;;;;;
132;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2016;;;;;;;;;;;;;;
133;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2017;;;;;;;;;;;;;;
134;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2018;;;;;;;;;;;;;;
135;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2019;;;;;;;;;;;;;;
136;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2020;;;;;;;;;;;;;;
137;Totaal mannen en vrouwen;Cyprus;Meerderjarig;2021;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;10.0;15.0;0.0;0.0
