ID;NECSectors;EmissionsToAir;Periods;EmissionToAir_1
0;Total stationary and mobile sources;Ammonia (NH3);1990;346.6
1;Total stationary and mobile sources;Ammonia (NH3);1995;219.9
2;Total stationary and mobile sources;Ammonia (NH3);2000;174.9
3;Total stationary and mobile sources;Ammonia (NH3);2001;168.7
4;Total stationary and mobile sources;Ammonia (NH3);2002;161.3
5;Total stationary and mobile sources;Ammonia (NH3);2003;158.2
6;Total stationary and mobile sources;Ammonia (NH3);2004;157.9
7;Total stationary and mobile sources;Ammonia (NH3);2005;155.2
8;Total stationary and mobile sources;Ammonia (NH3);2006;158.0
9;Total stationary and mobile sources;Ammonia (NH3);2007;154.2
10;Total stationary and mobile sources;Ammonia (NH3);2008;141.6
11;Total stationary and mobile sources;Ammonia (NH3);2009;137.4
12;Total stationary and mobile sources;Ammonia (NH3);2010;134.4
13;Total stationary and mobile sources;Ammonia (NH3);2011;131.8
14;Total stationary and mobile sources;Ammonia (NH3);2012;127.7
15;Total stationary and mobile sources;Ammonia (NH3);2013;124.4
16;Total stationary and mobile sources;Ammonia (NH3);2014;128.0
17;Total stationary and mobile sources;Ammonia (NH3);2015;129.4
18;Total stationary and mobile sources;Ammonia (NH3);2016;130.8
19;Total stationary and mobile sources;Ammonia (NH3);2017;133.2
20;Total stationary and mobile sources;Ammonia (NH3);2018;131.7
21;Total stationary and mobile sources;Ammonia (NH3);2019;125.3
22;Total stationary and mobile sources;Ammonia (NH3);2020;124.6
23;Total stationary and mobile sources;Ammonia (NH3);2021;122.9
24;Total stationary and mobile sources;Ammonia (NH3);2022;120.4
25;Total stationary and mobile sources;Ammonia (NH3);2023;116.4
26;Total stationary and mobile sources;Nitrogen oxides (NOx);1990;631.3
27;Total stationary and mobile sources;Nitrogen oxides (NOx);1995;530.2
28;Total stationary and mobile sources;Nitrogen oxides (NOx);2000;449.5
29;Total stationary and mobile sources;Nitrogen oxides (NOx);2001;437.1
30;Total stationary and mobile sources;Nitrogen oxides (NOx);2002;422.1
31;Total stationary and mobile sources;Nitrogen oxides (NOx);2003;417.4
32;Total stationary and mobile sources;Nitrogen oxides (NOx);2004;407.7
33;Total stationary and mobile sources;Nitrogen oxides (NOx);2005;396.6
34;Total stationary and mobile sources;Nitrogen oxides (NOx);2006;384.4
35;Total stationary and mobile sources;Nitrogen oxides (NOx);2007;362.6
36;Total stationary and mobile sources;Nitrogen oxides (NOx);2008;349.9
37;Total stationary and mobile sources;Nitrogen oxides (NOx);2009;310.6
38;Total stationary and mobile sources;Nitrogen oxides (NOx);2010;313.1
39;Total stationary and mobile sources;Nitrogen oxides (NOx);2011;300.3
40;Total stationary and mobile sources;Nitrogen oxides (NOx);2012;282.8
41;Total stationary and mobile sources;Nitrogen oxides (NOx);2013;266.5
42;Total stationary and mobile sources;Nitrogen oxides (NOx);2014;242.5
43;Total stationary and mobile sources;Nitrogen oxides (NOx);2015;236.3
44;Total stationary and mobile sources;Nitrogen oxides (NOx);2016;224.5
45;Total stationary and mobile sources;Nitrogen oxides (NOx);2017;217.1
46;Total stationary and mobile sources;Nitrogen oxides (NOx);2018;215.3
47;Total stationary and mobile sources;Nitrogen oxides (NOx);2019;203.4
48;Total stationary and mobile sources;Nitrogen oxides (NOx);2020;175.0
49;Total stationary and mobile sources;Nitrogen oxides (NOx);2021;170.8
50;Total stationary and mobile sources;Nitrogen oxides (NOx);2022;159.5
51;Total stationary and mobile sources;Nitrogen oxides (NOx);2023;151.7
52;Total stationary and mobile sources;Sulphur dioxide (SO2);1990;198.1
53;Total stationary and mobile sources;Sulphur dioxide (SO2);1995;136.9
54;Total stationary and mobile sources;Sulphur dioxide (SO2);2000;78.5
55;Total stationary and mobile sources;Sulphur dioxide (SO2);2001;79.1
56;Total stationary and mobile sources;Sulphur dioxide (SO2);2002;71.5
57;Total stationary and mobile sources;Sulphur dioxide (SO2);2003;66.7
