ID;Persoonskenmerken;RegioS;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;Zelfstandige_5;PositieInDeWerkkringOnbekend_6;Beroepsniveau1_7;Beroepsniveau2_8;Beroepsniveau3_9;Beroepsniveau4_10;BeroepsniveauOnbekend_11;WerklozeBeroepsbevolking_12;Werkloosheidspercentage_13;NietBeroepsbevolking_14;BrutoArbeidsparticipatie_15;NettoArbeidsparticipatie_16
0;Totaal personen;Nederland;2003;12116.0;8178.0;7783.0;6783.0;1000.0;0.0;660.0;3627.0;1408.0;1987.0;101.0;395.0;4.8;3938.0;67.5;64.2
1;Totaal personen;Nederland;2004;12155.0;8227.0;7761.0;6738.0;1022.0;0.0;637.0;3711.0;1378.0;1976.0;59.0;466.0;5.7;3929.0;67.7;63.8
2;Totaal personen;Nederland;2005;12190.0;8307.0;7818.0;6763.0;1054.0;1.0;662.0;3767.0;1361.0;1975.0;54.0;489.0;5.9;3883.0;68.1;64.1
3;Totaal personen;Nederland;2006;12221.0;8357.0;7938.0;6847.0;1091.0;1.0;696.0;3761.0;1366.0;2026.0;89.0;419.0;5.0;3863.0;68.4;65.0
4;Totaal personen;Nederland;2007;12257.0;8524.0;8169.0;7020.0;1148.0;1.0;715.0;3810.0;1426.0;2123.0;96.0;355.0;4.2;3733.0;69.5;66.6
5;Totaal personen;Nederland;2008;12315.0;8676.0;8358.0;7164.0;1194.0;1.0;705.0;3854.0;1478.0;2226.0;95.0;318.0;3.7;3639.0;70.5;67.9
6;Totaal personen;Nederland;2009;12372.0;8742.0;8361.0;7134.0;1226.0;1.0;677.0;3837.0;1481.0;2259.0;108.0;381.0;4.4;3630.0;70.7;67.6
7;Totaal personen;Nederland;2010;12412.0;8713.0;8278.0;7035.0;1242.0;1.0;672.0;3702.0;1476.0;2313.0;115.0;435.0;5.0;3699.0;70.2;66.7
8;Totaal personen;Nederland;2011;12452.0;8714.0;8280.0;7031.0;1249.0;0.0;670.0;3668.0;1503.0;2324.0;115.0;434.0;5.0;3738.0;70.0;66.5
9;Totaal personen;Nederland;2012;12541.0;8846.0;8330.0;7057.0;1273.0;0.0;703.0;3678.0;1500.0;2344.0;105.0;516.0;5.8;3695.0;70.5;66.4
10;Totaal personen;Nederland;2013;12638.0;8913.0;8266.0;6947.0;1319.0;0.0;737.0;3539.0;1397.0;2461.0;133.0;647.0;7.3;3724.0;70.5;65.4
11;Totaal personen;Nederland;2014;12665.0;8874.0;8214.0;6860.0;1354.0;0.0;737.0;3535.0;1349.0;2482.0;111.0;660.0;7.4;3791.0;70.1;64.9
12;Totaal personen;Nederland;2015;12685.0;8907.0;8294.0;6909.0;1384.0;0.0;737.0;3592.0;1341.0;2527.0;96.0;614.0;6.9;3778.0;70.2;65.4
13;Totaal personen;Nederland;2016;12768.0;8942.0;8403.0;7000.0;1403.0;0.0;738.0;3597.0;1391.0;2579.0;98.0;538.0;6.0;3826.0;70.0;65.8
14;Totaal personen;Nederland;2017;12870.0;9017.0;8579.0;7154.0;1425.0;0.0;768.0;3653.0;1410.0;2610.0;138.0;438.0;4.9;3853.0;70.1;66.7
15;Totaal personen;Nederland;2018;12936.0;9125.0;8774.0;7322.0;1452.0;0.0;775.0;3691.0;1478.0;2709.0;121.0;350.0;3.8;3812.0;70.5;67.8
16;Totaal personen;Nederland;2019;13015.0;9267.0;8953.0;7475.0;1477.0;0.0;781.0;3713.0;1554.0;2827.0;77.0;314.0;3.4;3749.0;71.2;68.8
17;Totaal personen;Nederland;2020;13094.0;9308.0;8951.0;7421.0;1530.0;0.0;759.0;3580.0;1566.0;2945.0;102.0;357.0;3.8;3786.0;71.1;68.4
18;Totaal personen;Nederland;2021;13147.0;9663.0;9255.0;7810.0;1445.0;0.0;746.0;3552.0;1666.0;3193.0;98.0;408.0;4.2;3483.0;73.5;70.4
19;Totaal personen;Noord-Nederland (LD);2003;1264.0;831.0;786.0;674.0;112.0;0.0;76.0;392.0;139.0;167.0;12.0;45.0;5.4;433.0;65.8;62.2
20;Totaal personen;Noord-Nederland (LD);2004;1266.0;837.0;782.0;667.0;115.0;0.0;70.0;400.0;134.0;171.0;8.0;54.0;6.5;429.0;66.1;61.8
21;Totaal personen;Noord-Nederland (LD);2005;1267.0;843.0;786.0;668.0;117.0;0.0;75.0;402.0;132.0;171.0;6.0;58.0;6.9;424.0;66.6;62.0
22;Totaal personen;Noord-Nederland (LD);2006;1267.0;841.0;793.0;672.0;121.0;0.0;73.0;407.0;132.0;172.0;9.0;48.0;5.7;426.0;66.4;62.6
23;Totaal personen;Noord-Nederland (LD);2007;1270.0;861.0;820.0;695.0;125.0;0.0;76.0;415.0;139.0;179.0;11.0;40.0;4.7;409.0;67.8;64.6
24;Totaal personen;Noord-Nederland (LD);2008;1274.0;877.0;841.0;712.0;129.0;0.0;75.0;424.0;146.0;184.0;12.0;36.0;4.1;398.0;68.8;66.0
25;Totaal personen;Noord-Nederland (LD);2009;1276.0;879.0;836.0;704.0;132.0;0.0;75.0;414.0;145.0;192.0;11.0;43.0;4.9;396.0;68.9;65.5
26;Totaal personen;Noord-Nederland (LD);2010;1281.0;878.0;831.0;699.0;132.0;0.0;74.0;391.0;145.0;208.0;12.0;48.0;5.4;403.0;68.6;64.9
27;Totaal personen;Noord-Nederland (LD);2011;1281.0;875.0;827.0;699.0;127.0;0.0;76.0;386.0;147.0;205.0;14.0;48.0;5.4;406.0;68.3;64.6
28;Totaal personen;Noord-Nederland (LD);2012;1285.0;884.0;827.0;694.0;132.0;0.0;77.0;392.0;148.0;195.0;15.0;57.0;6.4;401.0;68.8;64.3
29;Totaal personen;Noord-Nederland (LD);2013;1290.0;890.0;821.0;684.0;137.0;0.0;79.0;384.0;140.0;202.0;16.0;69.0;7.8;400.0;69.0;63.6
30;Totaal personen;Noord-Nederland (LD);2014;1289.0;881.0;811.0;674.0;137.0;0.0;81.0;378.0;135.0;201.0;17.0;70.0;8.0;407.0;68.4;63.0
31;Totaal personen;Noord-Nederland (LD);2015;1287.0;885.0;818.0;676.0;142.0;0.0;80.0;388.0;132.0;201.0;17.0;67.0;7.6;401.0;68.8;63.6
32;Totaal personen;Noord-Nederland (LD);2016;1289.0;881.0;823.0;678.0;145.0;0.0;81.0;383.0;137.0;206.0;15.0;58.0;6.6;408.0;68.3;63.8
33;Totaal personen;Noord-Nederland (LD);2017;1295.0;887.0;838.0;695.0;143.0;0.0;82.0;386.0;142.0;205.0;22.0;48.0;5.5;408.0;68.5;64.7
34;Totaal personen;Noord-Nederland (LD);2018;1295.0;889.0;850.0;704.0;146.0;0.0;79.0;389.0;145.0;222.0;15.0;39.0;4.4;406.0;68.7;65.6
35;Totaal personen;Noord-Nederland (LD);2019;1298.0;898.0;866.0;720.0;145.0;0.0;83.0;396.0;151.0;225.0;11.0;33.0;3.6;399.0;69.2;66.7
36;Totaal personen;Noord-Nederland (LD);2020;1300.0;898.0;862.0;711.0;151.0;0.0;80.0;382.0;153.0;231.0;16.0;36.0;4.0;402.0;69.1;66.3
37;Totaal personen;Noord-Nederland (LD);2021;1293.0;932.0;893.0;753.0;140.0;0.0;83.0;367.0;168.0;254.0;20.0;40.0;4.3;361.0;72.1;69.0
38;Totaal personen;Oost-Nederland (LD);2003;2531.0;1722.0;1644.0;1431.0;213.0;0.0;151.0;801.0;286.0;393.0;13.0;78.0;4.6;809.0;68.0;64.9
39;Totaal personen;Oost-Nederland (LD);2004;2542.0;1733.0;1638.0;1428.0;209.0;0.0;143.0;826.0;282.0;379.0;8.0;95.0;5.5;809.0;68.2;64.4
40;Totaal personen;Oost-Nederland (LD);2005;2552.0;1747.0;1645.0;1432.0;213.0;0.0;146.0;829.0;278.0;383.0;10.0;101.0;5.8;805.0;68.4;64.5
41;Totaal personen;Oost-Nederland (LD);2006;2562.0;1765.0;1680.0;1452.0;228.0;0.0;157.0;830.0;283.0;394.0;16.0;85.0;4.8;797.0;68.9;65.6
42;Totaal personen;Oost-Nederland (LD);2007;2572.0;1813.0;1740.0;1492.0;248.0;0.0;161.0;853.0;299.0;412.0;16.0;73.0;4.0;759.0;70.5;67.7
43;Totaal personen;Oost-Nederland (LD);2008;2587.0;1845.0;1778.0;1527.0;252.0;0.0;159.0;846.0;314.0;438.0;22.0;67.0;3.6;741.0;71.3;68.8
44;Totaal personen;Oost-Nederland (LD);2009;2596.0;1851.0;1774.0;1517.0;256.0;0.0;151.0;835.0;313.0;453.0;22.0;78.0;4.2;745.0;71.3;68.3
45;Totaal personen;Oost-Nederland (LD);2010;2607.0;1848.0;1757.0;1504.0;253.0;0.0;150.0;812.0;314.0;454.0;27.0;91.0;4.9;758.0;70.9;67.4
46;Totaal personen;Oost-Nederland (LD);2011;2614.0;1848.0;1759.0;1501.0;258.0;0.0;156.0;809.0;316.0;455.0;24.0;89.0;4.8;766.0;70.7;67.3
47;Totaal personen;Oost-Nederland (LD);2012;2631.0;1866.0;1762.0;1500.0;262.0;0.0;161.0;803.0;316.0;459.0;22.0;105.0;5.6;765.0;70.9;67.0
48;Totaal personen;Oost-Nederland (LD);2013;2650.0;1892.0;1757.0;1486.0;272.0;0.0;176.0;771.0;293.0;494.0;23.0;135.0;7.1;758.0;71.4;66.3
49;Totaal personen;Oost-Nederland (LD);2014;2652.0;1873.0;1736.0;1460.0;276.0;0.0;173.0;772.0;279.0;492.0;19.0;137.0;7.3;779.0;70.6;65.4
50;Totaal personen;Oost-Nederland (LD);2015;2657.0;1880.0;1755.0;1474.0;281.0;0.0;167.0;788.0;279.0;501.0;20.0;125.0;6.6;777.0;70.7;66.0
51;Totaal personen;Oost-Nederland (LD);2016;2674.0;1883.0;1769.0;1485.0;284.0;0.0;167.0;786.0;291.0;502.0;24.0;114.0;6.0;791.0;70.4;66.2
52;Totaal personen;Oost-Nederland (LD);2017;2698.0;1907.0;1816.0;1527.0;289.0;0.0;170.0;816.0;297.0;506.0;27.0;90.0;4.7;791.0;70.7;67.3
53;Totaal personen;Oost-Nederland (LD);2018;2713.0;1928.0;1856.0;1570.0;286.0;0.0;174.0;824.0;310.0;525.0;23.0;72.0;3.7;786.0;71.0;68.4
