ID;RegioS;Perioden;LangdurigWerklozen_1
0;Nederland;2001;90
1;Nederland;2002;88
2;Nederland;2003;129
3;Nederland;2004;182
4;Nederland;2005;203
5;Nederland;2006;189
6;Nederland;2007;146
7;Nederland;2008;119
8;Noord-Nederland (LD);2001;14
9;Noord-Nederland (LD);2002;12
10;Noord-Nederland (LD);2003;19
11;Noord-Nederland (LD);2004;23
12;Noord-Nederland (LD);2005;27
13;Noord-Nederland (LD);2006;23
14;Noord-Nederland (LD);2007;21
15;Noord-Nederland (LD);2008;18
16;Oost-Nederland (LD);2001;20
17;Oost-Nederland (LD);2002;16
18;Oost-Nederland (LD);2003;25
19;Oost-Nederland (LD);2004;41
20;Oost-Nederland (LD);2005;46
21;Oost-Nederland (LD);2006;41
22;Oost-Nederland (LD);2007;28
23;Oost-Nederland (LD);2008;25
24;West-Nederland (LD);2001;37
25;West-Nederland (LD);2002;39
26;West-Nederland (LD);2003;58
27;West-Nederland (LD);2004;79
28;West-Nederland (LD);2005;86
29;West-Nederland (LD);2006;86
30;West-Nederland (LD);2007;68
31;West-Nederland (LD);2008;52
32;Zuid-Nederland (LD);2001;19
33;Zuid-Nederland (LD);2002;21
34;Zuid-Nederland (LD);2003;28
35;Zuid-Nederland (LD);2004;38
36;Zuid-Nederland (LD);2005;45
37;Zuid-Nederland (LD);2006;38
38;Zuid-Nederland (LD);2007;30
39;Zuid-Nederland (LD);2008;25
40;Groningen (PV);2001;5
41;Groningen (PV);2002;5
42;Groningen (PV);2003;7
43;Groningen (PV);2004;7
44;Groningen (PV);2005;12
45;Groningen (PV);2006;7
46;Groningen (PV);2007;9
47;Groningen (PV);2008;8
48;Friesland (PV);2001;5
49;Friesland (PV);2002;4
50;Friesland (PV);2003;6
51;Friesland (PV);2004;10
52;Friesland (PV);2005;9
53;Friesland (PV);2006;9
54;Friesland (PV);2007;6
55;Friesland (PV);2008;6
56;Drenthe (PV);2001;4
57;Drenthe (PV);2002;4
58;Drenthe (PV);2003;5
59;Drenthe (PV);2004;6
60;Drenthe (PV);2005;6
61;Drenthe (PV);2006;7
62;Drenthe (PV);2007;6
63;Drenthe (PV);2008;4
64;Overijssel (PV);2001;6
65;Overijssel (PV);2002;5
66;Overijssel (PV);2003;6
67;Overijssel (PV);2004;13
68;Overijssel (PV);2005;17
69;Overijssel (PV);2006;14
70;Overijssel (PV);2007;10
71;Overijssel (PV);2008;7
72;Flevoland (PV);2001;2
73;Flevoland (PV);2002;2
74;Flevoland (PV);2003;5
75;Flevoland (PV);2004;6
76;Flevoland (PV);2005;7
77;Flevoland (PV);2006;7
78;Flevoland (PV);2007;4
79;Flevoland (PV);2008;4
80;Gelderland (PV);2001;12
81;Gelderland (PV);2002;9
82;Gelderland (PV);2003;15
83;Gelderland (PV);2004;22
84;Gelderland (PV);2005;22
85;Gelderland (PV);2006;21
86;Gelderland (PV);2007;14
87;Gelderland (PV);2008;14
88;Utrecht (PV);2001;3
89;Utrecht (PV);2002;6
90;Utrecht (PV);2003;6
91;Utrecht (PV);2004;10
92;Utrecht (PV);2005;11
93;Utrecht (PV);2006;10
94;Utrecht (PV);2007;10
95;Utrecht (PV);2008;5
96;Noord-Holland (PV);2001;12
97;Noord-Holland (PV);2002;11
98;Noord-Holland (PV);2003;21
99;Noord-Holland (PV);2004;29
100;Noord-Holland (PV);2005;32
101;Noord-Holland (PV);2006;31
102;Noord-Holland (PV);2007;23
103;Noord-Holland (PV);2008;18
104;Zuid-Holland (PV);2001;20
105;Zuid-Holland (PV);2002;20
106;Zuid-Holland (PV);2003;28
107;Zuid-Holland (PV);2004;37
108;Zuid-Holland (PV);2005;39
109;Zuid-Holland (PV);2006;42
110;Zuid-Holland (PV);2007;33
111;Zuid-Holland (PV);2008;26
112;Zeeland (PV);2001;2
113;Zeeland (PV);2002;2
114;Zeeland (PV);2003;3
115;Zeeland (PV);2004;3
116;Zeeland (PV);2005;4
117;Zeeland (PV);2006;3
118;Zeeland (PV);2007;2
119;Zeeland (PV);2008;3
120;Noord-Brabant (PV);2001;11
121;Noord-Brabant (PV);2002;13
122;Noord-Brabant (PV);2003;18
123;Noord-Brabant (PV);2004;23
124;Noord-Brabant (PV);2005;28
125;Noord-Brabant (PV);2006;23
126;Noord-Brabant (PV);2007;17
127;Noord-Brabant (PV);2008;14
128;Limburg (PV);2001;8
129;Limburg (PV);2002;8
130;Limburg (PV);2003;10
131;Limburg (PV);2004;16
132;Limburg (PV);2005;17
133;Limburg (PV);2006;16
134;Limburg (PV);2007;13
135;Limburg (PV);2008;10
