ID;BedrijfstakkenBranchesSBI2008;Perioden;NietSeizoengecorrigeerd_1;Seizoengecorrigeerd_2;NietSeizoengecorrigeerd_3;Seizoengecorrigeerd_4;NietSeizoengecorrigeerd_5;Seizoengecorrigeerd_6;NietSeizoengecorrigeerd_7;Seizoengecorrigeerd_8;NietSeizoengecorrigeerd_9;Seizoengecorrigeerd_10;NietSeizoengecorrigeerd_11;Seizoengecorrigeerd_12
0;A-U Alle economische activiteiten;1996 1e kwartaal;71.1;74.3;69.4;73.7;6.7;6.9;18.1;19.4;16.4;16.2;43.0;43.7
1;A-U Alle economische activiteiten;1996 2e kwartaal;83.3;74.5;83.5;73.8;7.8;7.0;22.9;19.4;16.3;16.3;45.3;43.6
2;A-U Alle economische activiteiten;1996 3e kwartaal;72.0;74.4;71.8;73.6;6.5;7.0;19.8;19.4;15.8;16.5;45.6;43.8
3;A-U Alle economische activiteiten;1996 4e kwartaal;71.7;74.8;69.9;73.6;7.0;7.1;17.6;19.1;16.9;16.4;41.6;43.0
4;A-U Alle economische activiteiten;1997 1e kwartaal;72.2;74.8;70.4;73.8;6.9;7.1;18.7;19.6;16.6;16.5;43.9;43.9
5;A-U Alle economische activiteiten;1997 2e kwartaal;83.8;74.9;83.2;73.8;8.0;7.1;22.7;19.6;16.5;16.5;45.1;43.9
6;A-U Alle economische activiteiten;1997 3e kwartaal;72.3;74.8;71.9;73.8;6.6;7.2;20.2;19.9;16.0;16.6;46.6;44.6
7;A-U Alle economische activiteiten;1997 4e kwartaal;71.9;75.1;70.4;74.2;7.1;7.2;18.6;20.2;17.2;16.7;43.6;45.0
8;A-U Alle economische activiteiten;1998 1e kwartaal;72.5;75.3;70.5;74.2;7.1;7.3;19.1;20.2;17.1;16.9;44.7;45.2
9;A-U Alle economische activiteiten;1998 2e kwartaal;84.5;75.3;84.3;74.4;8.2;7.3;23.9;20.4;16.9;16.9;46.8;45.4
10;A-U Alle economische activiteiten;1998 3e kwartaal;73.7;76.1;73.3;75.2;6.9;7.4;21.1;20.6;16.3;17.0;47.5;45.5
11;A-U Alle economische activiteiten;1998 4e kwartaal;72.8;76.5;71.4;75.7;7.3;7.5;19.2;21.1;17.5;17.0;44.5;46.2
12;A-U Alle economische activiteiten;1999 1e kwartaal;74.2;76.8;72.5;76.2;7.4;7.6;20.1;21.3;17.3;17.1;45.8;46.3
13;A-U Alle economische activiteiten;1999 2e kwartaal;86.3;77.0;86.3;76.3;8.5;7.6;25.0;21.4;17.1;17.2;47.9;46.5
14;A-U Alle economische activiteiten;1999 3e kwartaal;74.9;77.2;74.8;76.6;7.2;7.7;22.1;21.7;16.6;17.4;49.0;46.9
15;A-U Alle economische activiteiten;1999 4e kwartaal;73.5;77.5;71.9;76.8;7.6;7.8;19.6;21.8;18.1;17.5;45.1;47.1
16;A-U Alle economische activiteiten;2000 1e kwartaal;76.1;79.3;74.1;78.7;7.9;8.0;20.7;22.5;18.0;17.6;46.1;47.4
17;A-U Alle economische activiteiten;2000 2e kwartaal;88.4;79.1;88.3;78.3;9.0;8.0;26.1;22.3;17.7;17.7;48.8;47.2
18;A-U Alle economische activiteiten;2000 3e kwartaal;77.7;79.7;78.1;79.4;7.5;8.1;24.1;23.2;16.9;17.7;51.0;48.5
19;A-U Alle economische activiteiten;2000 4e kwartaal;76.0;79.6;75.2;79.1;8.0;8.2;21.7;23.3;18.3;17.8;47.8;48.8
20;A-U Alle economische activiteiten;2001 1e kwartaal;77.8;80.6;75.7;79.8;8.0;8.2;21.6;23.3;18.0;17.8;47.3;48.4
21;A-U Alle economische activiteiten;2001 2e kwartaal;90.3;80.8;90.1;79.9;9.2;8.3;27.4;23.4;17.8;17.8;50.3;48.4
22;A-U Alle economische activiteiten;2001 3e kwartaal;79.9;82.1;79.7;81.3;7.8;8.4;24.6;23.7;17.0;17.7;51.1;48.4
23;A-U Alle economische activiteiten;2001 4e kwartaal;78.3;82.3;76.9;81.4;8.2;8.4;21.9;23.8;18.3;17.8;47.2;48.5
24;A-U Alle economische activiteiten;2002 1e kwartaal;81.9;84.8;79.7;83.8;8.4;8.6;23.0;24.6;17.8;17.6;47.7;48.6
25;A-U Alle economische activiteiten;2002 2e kwartaal;95.0;84.9;94.7;83.8;9.7;8.6;29.1;24.6;17.7;17.7;50.8;48.7
26;A-U Alle economische activiteiten;2002 3e kwartaal;82.5;85.5;81.9;84.3;8.1;8.7;25.2;24.8;17.0;17.7;51.0;48.8
27;A-U Alle economische activiteiten;2002 4e kwartaal;82.0;85.9;80.2;84.4;8.6;8.7;23.1;25.0;18.2;17.7;47.6;49.1
28;A-U Alle economische activiteiten;2003 1e kwartaal;83.2;86.5;80.6;85.2;8.5;8.8;23.5;25.3;17.9;17.8;48.2;49.1
29;A-U Alle economische activiteiten;2003 2e kwartaal;98.4;87.4;97.9;85.9;10.0;8.9;30.4;25.5;17.7;17.7;51.4;49.2
30;A-U Alle economische activiteiten;2003 3e kwartaal;84.6;87.7;83.8;86.5;8.3;9.0;26.1;25.8;17.1;17.8;51.5;49.5
31;A-U Alle economische activiteiten;2003 4e kwartaal;84.3;88.0;82.6;86.8;8.9;9.1;24.3;26.2;18.4;17.9;48.6;50.0
32;A-U Alle economische activiteiten;2004 1e kwartaal;83.2;87.3;80.8;86.2;8.8;9.2;23.8;26.2;18.4;18.3;48.8;50.3
33;A-U Alle economische activiteiten;2004 2e kwartaal;98.8;87.3;98.8;86.2;10.4;9.2;31.6;26.3;18.3;18.3;52.9;50.6
34;A-U Alle economische activiteiten;2004 3e kwartaal;83.8;87.3;83.1;86.3;8.5;9.2;26.5;26.4;17.7;18.3;52.7;50.7
35;A-U Alle economische activiteiten;2004 4e kwartaal;83.5;87.4;81.6;86.3;9.1;9.3;24.1;26.6;19.0;18.4;48.8;51.0
36;A-U Alle economische activiteiten;2005 1e kwartaal;83.5;87.5;81.3;86.6;8.9;9.3;24.6;26.8;18.5;18.4;50.0;51.2
37;A-U Alle economische activiteiten;2005 2e kwartaal;98.7;87.8;99.0;87.2;10.6;9.3;31.9;27.1;18.6;18.5;53.3;51.5
38;A-U Alle economische activiteiten;2005 3e kwartaal;83.6;87.5;83.0;86.6;8.7;9.4;27.0;27.1;18.0;18.7;53.9;51.9
39;A-U Alle economische activiteiten;2005 4e kwartaal;83.6;86.7;82.4;85.9;9.3;9.4;25.3;27.0;19.3;18.8;50.7;52.1
40;A-U Alle economische activiteiten;2006 1e kwartaal;82.5;86.8;80.3;86.3;8.9;9.3;24.1;27.0;18.8;18.7;49.7;51.9
41;A-U Alle economische activiteiten;2006 2e kwartaal;98.6;87.1;99.2;86.7;10.7;9.5;33.1;27.6;19.0;18.9;55.1;52.8
42;A-U Alle economische activiteiten;2006 3e kwartaal;83.3;87.4;83.3;86.8;8.7;9.5;27.7;27.5;18.2;18.9;54.9;52.5
43;A-U Alle economische activiteiten;2006 4e kwartaal;85.7;88.2;84.9;87.7;9.5;9.6;26.4;27.7;19.3;18.8;51.5;52.4
44;A-U Alle economische activiteiten;2007 1e kwartaal;84.5;88.3;82.6;88.0;9.2;9.6;25.2;27.8;19.0;19.0;50.4;52.4
45;A-U Alle economische activiteiten;2007 2e kwartaal;100.2;88.8;101.1;88.3;10.9;9.7;33.8;27.8;19.0;18.9;55.3;52.3
46;A-U Alle economische activiteiten;2007 3e kwartaal;84.5;89.3;84.6;88.9;8.9;9.8;28.3;28.3;18.4;19.0;55.4;52.8
47;A-U Alle economische activiteiten;2007 4e kwartaal;87.9;90.2;86.9;89.7;9.9;9.9;27.3;28.9;19.6;19.2;52.0;53.4
48;A-U Alle economische activiteiten;2008 1e kwartaal;87.3;91.4;85.4;90.7;9.6;10.0;26.6;29.1;19.1;19.1;51.6;53.1
49;A-U Alle economische activiteiten;2008 2e kwartaal;102.9;91.5;103.3;90.8;11.4;10.1;34.9;29.2;19.3;19.2;55.9;53.3
50;A-U Alle economische activiteiten;2008 3e kwartaal;87.0;92.4;86.7;91.9;9.3;10.2;29.1;29.6;18.6;19.1;55.4;53.4
51;A-U Alle economische activiteiten;2008 4e kwartaal;92.3;93.7;91.1;93.2;10.3;10.2;28.3;29.8;19.4;19.0;51.3;53.0
52;A-U Alle economische activiteiten;2009 1e kwartaal;92.6;97.2;90.6;96.4;9.8;10.3;27.3;29.8;18.4;18.4;49.9;51.2
53;A-U Alle economische activiteiten;2009 2e kwartaal;109.9;97.4;110.8;96.8;11.7;10.4;36.7;30.2;18.5;18.5;54.8;51.7
54;A-U Alle economische activiteiten;2009 3e kwartaal;91.1;96.9;90.8;96.5;9.5;10.4;29.7;30.5;18.1;18.6;54.1;52.5
55;A-U Alle economische activiteiten;2009 4e kwartaal;95.1;96.4;93.8;95.9;10.5;10.4;28.7;30.4;19.2;18.8;50.6;52.6
56;A-U Alle economische activiteiten;2010 1e kwartaal;91.5;95.4;90.0;95.2;9.8;10.3;28.0;30.5;18.7;18.8;51.5;53.2
57;A-U Alle economische activiteiten;2010 2e kwartaal;107.2;95.8;108.8;95.5;11.7;10.4;37.6;30.6;19.0;18.9;57.2;53.1
58;A-U Alle economische activiteiten;2010 3e kwartaal;89.7;95.9;89.3;95.5;9.5;10.4;29.3;30.4;18.5;18.9;54.2;52.7
59;A-U Alle economische activiteiten;2010 4e kwartaal;95.1;96.1;93.7;95.5;10.7;10.6;28.8;30.7;19.5;19.1;50.9;53.3
60;A-U Alle economische activiteiten;2011 1e kwartaal;92.1;96.0;90.3;95.9;10.1;10.6;28.3;31.1;19.0;19.2;51.8;53.7
61;A-U Alle economische activiteiten;2011 2e kwartaal;107.6;96.5;108.8;96.3;11.9;10.6;37.5;31.4;19.3;19.1;57.0;54.1
62;A-U Alle economische activiteiten;2011 3e kwartaal;91.2;97.2;90.4;96.5;9.7;10.7;29.8;31.0;18.6;19.1;54.5;53.3
63;A-U Alle economische activiteiten;2011 4e kwartaal;97.9;98.8;97.1;98.4;10.9;10.8;30.4;31.3;19.4;18.9;51.7;52.8
64;A-U Alle economische activiteiten;2012 1e kwartaal;95.0;99.1;92.7;98.6;10.2;10.8;28.4;31.6;18.8;18.9;50.7;53.1
65;A-U Alle economische activiteiten;2012 2e kwartaal;110.6;99.5;111.8;99.1;12.2;10.8;38.2;31.8;19.2;18.9;56.5;53.2
66;A-U Alle economische activiteiten;2012 3e kwartaal;94.1;100.3;93.6;99.6;10.0;10.9;31.2;32.1;18.4;18.9;55.2;53.4
67;A-U Alle economische activiteiten;2012 4e kwartaal;100.4;101.0;100.0;101.0;11.1;11.0;31.7;32.5;19.2;18.8;52.4;53.3
68;A-U Alle economische activiteiten;2013 1e kwartaal;98.3;101.6;96.0;100.6;10.6;11.1;30.0;32.6;18.7;19.0;51.8;53.6
69;A-U Alle economische activiteiten;2013 2e kwartaal;112.1;101.6;112.8;100.8;12.4;11.1;38.5;32.3;19.3;19.0;56.5;53.1
70;A-U Alle economische activiteiten;2013 3e kwartaal;95.1;101.4;94.8;101.2;10.2;11.2;31.5;32.7;18.7;19.1;55.0;53.6
71;A-U Alle economische activiteiten;2013 4e kwartaal;99.1;100.0;98.6;99.6;11.2;11.1;31.6;32.3;19.7;19.3;53.0;53.9
72;A-U Alle economische activiteiten;2014 1e kwartaal;97.7;101.4;95.6;100.7;10.7;11.2;30.1;32.6;19.1;19.3;52.0;53.7
73;A-U Alle economische activiteiten;2014 2e kwartaal;111.8;101.1;112.9;101.1;12.6;11.3;39.0;33.3;19.6;19.4;57.1;54.6
74;A-U Alle economische activiteiten;2014 3e kwartaal;95.3;101.5;94.6;100.5;10.4;11.3;31.6;32.6;18.9;19.4;55.2;53.8
75;A-U Alle economische activiteiten;2014 4e kwartaal;100.9;101.6;100.6;101.6;11.6;11.4;32.6;33.3;20.0;19.5;53.5;54.3
76;A-U Alle economische activiteiten;2015 1e kwartaal;96.4;99.7;94.6;99.2;10.7;11.2;30.3;32.8;19.3;19.6;52.9;54.7
77;A-U Alle economische activiteiten;2015 2e kwartaal;110.1;99.8;111.8;99.8;12.6;11.2;39.4;33.0;19.9;19.6;58.3;54.8
78;A-U Alle economische activiteiten;2015 3e kwartaal;94.0;100.0;94.3;100.3;10.3;11.3;32.0;33.0;19.1;19.6;56.1;54.5
79;A-U Alle economische activiteiten;2015 4e kwartaal;99.6;100.6;99.3;100.7;11.5;11.3;31.7;32.8;20.0;19.5;52.8;54.1
80;A-U Alle economische activiteiten;2016 1e kwartaal;97.1;100.7;95.9;101.1;10.8;11.4;30.8;33.2;19.4;19.7;53.1;54.4
81;A-U Alle economische activiteiten;2016 2e kwartaal;110.5;101.0;111.3;101.0;12.7;11.4;38.1;32.9;20.0;19.6;56.6;54.0
82;A-U Alle economische activiteiten;2016 3e kwartaal;94.9;100.8;95.3;101.0;10.5;11.4;32.6;33.5;19.3;19.7;56.5;54.9
83;A-U Alle economische activiteiten;2016 4e kwartaal;100.6;100.5;100.6;100.8;11.6;11.4;32.5;33.2;20.1;19.8;53.4;54.6
84;A-U Alle economische activiteiten;2017 1e kwartaal;96.7;100.7;94.8;100.6;10.9;11.5;30.1;33.3;19.6;19.8;52.6;54.8
85;A-U Alle economische activiteiten;2017 2e kwartaal;110.7;101.0;112.2;101.4;12.8;11.5;38.9;33.3;20.2;19.8;57.3;54.4
86;A-U Alle economische activiteiten;2017 3e kwartaal;95.5;101.1;95.9;101.3;10.6;11.5;32.9;33.4;19.3;19.8;56.6;54.6
87;A-U Alle economische activiteiten;2017 4e kwartaal;101.9;101.8;102.3;101.9;11.8;11.6;33.6;33.8;20.1;19.8;54.3;55.0
88;A-U Alle economische activiteiten;2018 1e kwartaal;98.9;102.4;97.4;102.6;11.1;11.7;31.2;33.9;19.6;19.8;53.0;54.8
89;A-U Alle economische activiteiten;2018 2e kwartaal;112.0;102.6;113.1;102.5;13.0;11.7;39.5;33.9;20.2;19.8;57.8;54.9
90;A-U Alle economische activiteiten;2018 3e kwartaal;98.5;104.3;99.0;104.7;10.9;11.8;33.7;34.2;19.2;19.7;56.2;54.2
91;A-U Alle economische activiteiten;2018 4e kwartaal;104.7;104.8;104.9;104.8;12.0;11.9;33.7;34.2;20.0;19.7;53.2;54.2
92;A-U Alle economische activiteiten;2019 1e kwartaal;102.5;105.5;101.2;106.0;11.4;11.9;32.2;34.7;19.4;19.7;52.7;54.2
93;A-U Alle economische activiteiten;2019 2e kwartaal;115.7;106.3;117.2;107.0;13.3;12.0;40.2;35.1;20.1;19.7;56.7;54.3
94;A-U Alle economische activiteiten;2019 3e kwartaal;100.6;107.1;100.3;106.7;11.1;12.1;33.9;34.9;19.3;19.7;55.9;54.2
95;A-U Alle economische activiteiten;2019 4e kwartaal;108.4;108.0;108.7;108.5;12.4;12.2;35.1;35.5;19.9;19.7;53.3;54.2
96;A-U Alle economische activiteiten;2020 1e kwartaal;107.3;110.6;106.2;111.3;11.8;12.3;34.8;37.9;19.1;19.4;54.1;56.4
97;A-U Alle economische activiteiten;2020 2e kwartaal;123.4;113.2;121.8;110.5;13.2;11.9;40.2;34.3;18.6;18.2;54.6;51.4
98;A-U Alle economische activiteiten;2020 3e kwartaal;105.2;111.9;106.1;112.0;11.3;12.3;37.0;36.6;18.7;19.1;57.7;54.2
99;A-U Alle economische activiteiten;2020 4e kwartaal;113.0;112.7;111.7;111.8;12.7;12.4;35.6;36.7;19.5;19.2;52.7;54.4
100;A-U Alle economische activiteiten;2021 1e kwartaal;107.7;110.5;105.2;109.6;11.8;12.4;33.2;36.3;19.1;19.5;52.3;54.9
101;A-U Alle economische activiteiten;2021 2e kwartaal;119.2;110.3;118.5;108.9;13.8;12.5;41.3;36.4;20.2;19.8;57.7;55.3
102;A-U Alle economische activiteiten;2021 3e kwartaal;104.3;110.6;103.8;109.2;11.7;12.7;38.0;37.5;19.5;19.9;60.6;56.8
103;A-U Alle economische activiteiten;2021 4e kwartaal;111.8;111.7;109.0;109.8;13.0;12.8;36.1;37.7;20.3;19.9;54.8;57.0
104;A-U Alle economische activiteiten;2022 1e kwartaal;112.0;114.4;108.9;113.2;12.5;13.0;34.4;37.9;19.5;19.8;52.2;55.5
105;A-U Alle economische activiteiten;2022 2e kwartaal;123.5;115.1;123.2;113.9;14.4;13.2;44.1;38.9;20.3;19.9;59.1;56.6
106;A-U Alle economische activiteiten;2022 3e kwartaal;111.7;118.0;111.4;116.8;12.5;13.5;40.2;39.5;19.4;19.8;59.7;56.0
107;A-U Alle economische activiteiten;2022 4e kwartaal;120.2;119.8;118.0;118.2;13.9;13.7;39.4;40.2;20.2;19.9;55.2;56.3
108;A-U Alle economische activiteiten;2023 1e kwartaal;120.3;122.6;116.6;121.2;13.4;13.9;36.6;40.9;19.4;19.7;52.0;55.9
109;A-U Alle economische activiteiten;2023 2e kwartaal;133.9;124.7;133.4;123.3;15.4;14.1;46.8;41.4;20.0;19.6;58.1;55.6
110;A-U Alle economische activiteiten;2023 3e kwartaal;120.8;127.0;120.3;125.5;13.2;14.3;43.1;41.8;19.0;19.5;59.3;55.2
111;A-U Alle economische activiteiten;2023 4e kwartaal;129.7;129.7;127.8;127.9;14.8;14.5;42.7;42.7;19.9;19.5;55.2;55.4
112;A Landbouw, bosbouw en visserij;1996 1e kwartaal;92.0;100.8;86.7;105.3;4.9;4.7;14.2;14.8;10.4;9.2;22.5;20.1
113;A Landbouw, bosbouw en visserij;1996 2e kwartaal;105.2;95.8;119.3;100.0;5.3;4.7;18.4;14.7;9.7;9.7;21.3;21.0
114;A Landbouw, bosbouw en visserij;1996 3e kwartaal;81.8;98.8;80.8;102.1;4.2;4.8;12.4;14.6;9.9;9.5;21.2;20.5
115;A Landbouw, bosbouw en visserij;1996 4e kwartaal;110.2;100.6;114.6;102.4;4.6;4.7;14.3;14.2;8.0;9.3;17.2;19.9
116;A Landbouw, bosbouw en visserij;1997 1e kwartaal;83.4;92.4;79.4;95.4;4.8;4.6;14.1;14.3;11.1;9.8;24.6;21.5
117;A Landbouw, bosbouw en visserij;1997 2e kwartaal;103.3;92.7;114.0;95.6;5.2;4.7;17.9;14.5;9.8;9.9;21.6;21.7
