ID;Sources;Periods;CO2_1;NMVOC_2;CH4_3;SO2_4;N2O_5;CO_6;NOx_7;NH3_8;PM10_9;PM25_10
0;"Stationary sources; total";1990;136700;394.4;1267.6;170.7;60.22;369.5;280.6;343.6;52.55;31.64
1;"Stationary sources; total";1995;144600;288.3;1180.5;109.7;60.24;323.8;237.9;216.0;39.52;24.48
2;"Stationary sources; total";2000;142300;244.4;964.0;63.1;53.07;267.4;184.5;169.1;30.48;17.77
3;"Stationary sources; total";2001;147500;223.2;938.0;67.1;49.98;268.0;181.3;162.5;29.46;17.22
4;"Stationary sources; total";2002;146900;215.0;892.5;60.6;46.95;252.9;175.8;154.9;29.2;16.58
5;"Stationary sources; total";2003;149600;213.6;861.7;56.5;46.58;252.2;175.9;151.7;28.1;16.77
6;"Stationary sources; total";2004;151900;200.2;845.7;59.1;47.85;273.8;167.8;151.3;27.71;16.33
7;"Stationary sources; total";2005;148900;208.2;787.0;57.9;47.71;260.6;163.7;149.0;27.15;15.76
8;"Stationary sources; total";2006;143400;205.4;769.1;58.3;48.0;267.3;157.1;152.0;27.07;16.05
9;"Stationary sources; total";2007;143600;210.7;771.0;55.3;42.66;252.9;145.7;148.4;26.51;15.0
10;"Stationary sources; total";2008;147900;208.4;780.2;47.8;30.03;264.0;143.8;136.1;26.35;14.86
11;"Stationary sources; total";2009;145500;212.6;773.7;35.4;29.48;213.1;131.6;132.2;25.34;14.28
12;"Stationary sources; total";2010;157800;226.7;770.9;32.9;28.48;251.9;134.1;130.0;26.08;14.97
13;"Stationary sources; total";2011;144300;222.2;748.3;33.3;27.72;217.5;123.1;128.3;24.93;13.69
14;"Stationary sources; total";2012;143000;218.5;731.8;33.6;27.15;216.7;119.8;122.9;24.64;13.28
15;"Stationary sources; total";2013;142900;219.9;731.2;29.3;27.9;206.1;119.2;120.4;25.0;13.61
16;"Stationary sources; total";2014;136800;206.0;713.8;28.8;28.43;183.7;110.1;124.1;24.02;12.5
17;"Stationary sources; total";2015;143400;215.5;721.9;30.0;29.17;196.5;113.4;125.5;24.28;12.89
18;"Stationary sources; total";2016;144400;212.1;726.8;27.9;28.17;191.8;108.1;126.7;24.14;12.81
19;"Stationary sources; total";2017;141400;212.8;713.6;26.3;28.94;180.3;102.4;128.5;23.87;12.66
20;"Stationary sources; total";2018;137200;207.3;689.8;24.4;28.23;181.0;100.1;126.3;23.76;12.62
21;"Stationary sources; total";2019;133800;204.0;685.4;22.1;27.83;180.5;96.0;121.0;23.07;12.22
22;"Stationary sources; total";2020;125400;240.2;675.1;19.0;27.37;164.3;90.5;120.3;21.83;11.32
23;"Stationary sources; total";2021;131200;248.1;665.8;20.2;26.22;166.8;91.2;118.8;20.48;10.84
24;Energy sector ;1990;52900;33.6;80.0;112.8;0.42;11.4;103.9;0.0;7.95;6.05
25;Energy sector ;1995;61400;28.3;80.2;78.4;0.46;11.1;83.3;0.0;5.35;4.18
26;Energy sector ;2000;63300;28.9;41.2;48.3;0.42;18.0;64.9;0.0;3.65;2.57
27;Energy sector ;2001;67600;20.4;40.9;50.6;0.46;15.9;62.8;0.0;3.3;2.51
28;Energy sector ;2002;68100;18.7;39.4;44.4;0.48;19.8;62.9;0.0;2.94;2.06
29;Energy sector ;2003;69000;17.5;38.8;43.7;0.48;19.8;63.9;0.1;3.29;2.36
