ID;LeeftijdReferentiepersoon;Perioden;ReferentiepersonenMetKinderen_1;k_0Tot3Jaar_2;k_3Tot6Jaar_3;k_6Tot12Jaar_4;k_12Tot18Jaar_5;k_18JaarOfOuder_6
0;Totaal over alle leeftijden;2007;2528680;511928;354551;557701.0;517996.0;586504.0
1;Totaal over alle leeftijden;2008;2531496;498241;350821;568680.0;522721.0;591033.0
2;Totaal over alle leeftijden;2009;2534891;489351;340914;582233.0;520617.0;601777.0
3;Totaal over alle leeftijden;2010;2537434;484290;327055;595256.0;518005.0;612829.0
4;Totaal over alle leeftijden;2011;2538902;481734;315504;598107.0;521294.0;622263.0
5;Totaal over alle leeftijden;2012;2538996;479787;308301;595102.0;523999.0;631806.0
6;Totaal over alle leeftijden;2013;2537619;478055;304583;581617.0;533377.0;639988.0
7;Totaal over alle leeftijden;2014;2534293;476837;302972;567810.0;544713.0;641966.0
8;Totaal over alle leeftijden;2015;2529895;476400;301478;551993.0;558927.0;641096.0
9;Totaal over alle leeftijden;2016;2525196;476963;299735;535489.0;572336.0;640675.0
10;Totaal over alle leeftijden;2017;2521113;478325;298145;523146.0;575271.0;646229.0
11;Totaal over alle leeftijden;2018;2516827;480259;297012;514969.0;572215.0;652371.0
12;Totaal over alle leeftijden;2019;2513204;482711;296594;509776.0;558649.0;665477.0
13;Totaal over alle leeftijden;2020;2508321;485505;296757;506634.0;544698.0;674724.0
14;Totaal over alle leeftijden;2021;2502858;488459;297403;503872.0;528818.0;684305.0
15;Totaal over alle leeftijden;2022;2496520;491287;298588;501436.0;512370.0;692841.0
16;Totaal over alle leeftijden;2023;2488320;493841;300184;499627.0;500099.0;694568.0
17;Totaal over alle leeftijden;2024;2478995;496102;302045;498660.0;492087.0;690103.0
18;Totaal over alle leeftijden;2025;2469319;498042;303904;498876.0;487095.0;681404.0
19;Totaal over alle leeftijden;2026;2459909;499666;305662;500061.0;484093.0;670427.0
20;Totaal over alle leeftijden;2027;2451382;500935;307317;501992.0;481380.0;659759.0
21;Totaal over alle leeftijden;2028;2443976;501832;308801;504497.0;478913.0;649937.0
22;Totaal over alle leeftijden;2029;2437838;502345;310070;507372.0;477021.0;641033.0
23;Totaal over alle leeftijden;2030;2432907;502489;311058;510477.0;475914.0;632969.0
24;Totaal over alle leeftijden;2031;2429101;502244;311751;513495.0;475962.0;625651.0
25;Totaal over alle leeftijden;2032;2426288;501584;312150;516283.0;476962.0;619311.0
26;Totaal over alle leeftijden;2033;2424269;500490;312315;518758.0;478702.0;614011.0
27;Totaal over alle leeftijden;2034;2422866;498941;312302;520814.0;481035.0;609773.0
28;Totaal over alle leeftijden;2035;2421907;496950;312155;522419.0;483761.0;606623.0
29;Totaal over alle leeftijden;2036;2421245;494575;311862;523566.0;486743.0;604502.0
30;Totaal over alle leeftijden;2037;2420765;491912;311374;524303.0;489661.0;603513.0
31;Totaal over alle leeftijden;2038;2420336;489119;310619;524697.0;492359.0;603540.0
32;Totaal over alle leeftijden;2039;2419852;486334;309566;524822.0;494741.0;604388.0
33;Totaal over alle leeftijden;2040;2419211;483701;308224;524675.0;496717.0;605894.0
