ID;Perioden;Monumenten_1;Subsidiebedrag_2;HerleideBouwkosten_3;Restauratiekostenindex_4
0;1970;;18278;;26
1;1971;;18904;;30
2;1972;;19091;;35
3;1973;39.7;28284;;41
4;1974;39.9;34284;;47
5;1975;40.1;50539;;51
6;1976;40.5;60871;183431.0;56
7;1977;40.8;57798;173827.0;60
8;1978;41.4;56613;170291.0;65
9;1979;41.6;58255;175352.0;73
10;1980;41.7;62914;188491.0;76
11;1981;41.9;54975;165227.0;80
12;1982;42.4;52640;155992.0;82
13;1983;42.5;81036;138994.0;85
14;1984;43.0;92791;158655.0;87
15;1985;43.1;84012;151608.0;90
16;1986;43.2;43729;80436.0;92
17;1987;42.6;51671;92702.0;94
18;1988;43.6;41295;77935.0;94
19;1989;43.8;34322;67464.0;95
20;1990;43.8;40292;80714.0;100
21;1991;43.8;53777;100555.0;104
22;1992;42.9;62843;115369.0;106
23;1993;43.4;61481;114354.0;109
24;1994;44.1;54780;103944.0;109
25;1995;44.6;48248;92595.0;112
26;1996;43.5;46757;90720.0;113
27;1997;44.2;52050;101120.0;116
28;1998;44.8;55906;116289.0;118
29;1999;45.7;57359;118036.0;121
30;2000;46.8;59145;122414.0;126
31;2001;48.5;73454;152028.0;132
32;2002;50.7;88064;;137
