ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;PurchaseValueOfTurnover_9;PersonnelCosts_10;TotalOtherBusinessCosts_11;EnergyCosts_12;HousingCosts_13;EquipmentAndInventoryCosts_14;TransportCosts_15;SalesCosts_16;CommunicationCosts_17;ServicesProvidedByThirdParties_18;BusinessCostsNotElsewhereClassified_19;DepreciationFixedAssets_20;ProfitLoss_21;ProfitLossBeforeTax_22
0;01411 Gardening services;2006;24.6;21.0;15.6;14.2;1747.0;1726.0;21.0;1521.0;613.0;554.0;282.0;12.0;28.0;38.0;84.0;22.0;12.0;26.0;61.0;72.0;226.0;235.0
1;01411 Gardening services;2007;26.5;22.5;16.5;14.3;1893.0;1874.0;18.0;1602.0;675.0;566.0;292.0;10.0;30.0;50.0;72.0;23.0;13.0;29.0;64.0;69.0;291.0;284.0
2;01411 Gardening services;2008;27.3;22.4;16.9;14.7;2051.0;2033.0;18.0;1751.0;740.0;613.0;322.0;14.0;33.0;54.0;78.0;26.0;13.0;30.0;72.0;76.0;300.0;295.0
3;0141a Agriculture services;2006;38.9;33.0;24.8;21.6;3485.0;3425.0;60.0;3014.0;1157.0;818.0;749.0;110.0;66.0;190.0;138.0;32.0;20.0;69.0;126.0;289.0;471.0;429.0
4;0141a Agriculture services;2007;38.0;31.8;22.5;19.7;3440.0;3380.0;59.0;2887.0;1044.0;793.0;764.0;109.0;67.0;196.0;150.0;27.0;20.0;59.0;138.0;286.0;553.0;527.0
5;0141a Agriculture services;2008;39.2;29.9;22.7;18.0;3885.0;3788.0;97.0;3308.0;1322.0;782.0;896.0;138.0;84.0;242.0;152.0;26.0;21.0;72.0;161.0;308.0;577.0;524.0
6;C Mining and quarrying;2006;15.0;12.4;7.6;7.3;31662.0;31299.0;363.0;26436.0;20575.0;831.0;4256.0;88.0;91.0;477.0;150.0;151.0;12.0;165.0;3121.0;775.0;5227.0;5298.0
7;C Mining and quarrying;2007;13.9;12.3;11.0;9.8;31247.0;30749.0;498.0;25857.0;20038.0;892.0;4073.0;79.0;94.0;556.0;131.0;86.0;11.0;247.0;2870.0;853.0;5391.0;5467.0
8;C Mining and quarrying;2008;12.3;10.8;7.6;7.2;41807.0;41263.0;544.0;34517.0;26499.0;814.0;6166.0;112.0;93.0;354.0;314.0;56.0;11.0;298.0;4929.0;1038.0;7290.0;8288.0
9;CA Mining and quarrying of energy ..;2006;12.0;9.6;5.1;4.9;30467.0;30120.0;346.0;25324.0;19942.0;685.0;3995.0;30.0;77.0;413.0;116.0;139.0;9.0;149.0;3061.0;702.0;5143.0;5235.0
10;CA Mining and quarrying of energy ..;2007;11.3;9.9;8.8;7.8;30195.0;29715.0;480.0;24898.0;19487.0;769.0;3840.0;22.0;79.0;498.0;106.0;75.0;8.0;224.0;2826.0;801.0;5297.0;5357.0
11;CA Mining and quarrying of energy ..;2008;10.1;8.8;5.6;5.4;40599.0;40073.0;526.0;33419.0;25830.0;693.0;5906.0;42.0;75.0;292.0;288.0;51.0;9.0;272.0;4878.0;990.0;7180.0;8172.0
12;10 Extraction and agglomeration of peat;2006;;;;;;;;;;;;;;;;;;;;;;
13;10 Extraction and agglomeration of peat;2007;;;;;;;;;;;;;;;;;;;;;;
14;10 Extraction and agglomeration of peat;2008;;;;;;;;;;;;;;;;;;;;;;
15;11 Extraction of crude petroleum and gas;2006;12.0;9.6;5.0;4.8;30465.0;30118.0;346.0;25322.0;19942.0;683.0;3995.0;30.0;77.0;413.0;116.0;139.0;9.0;149.0;3061.0;702.0;5143.0;5234.0
16;11 Extraction of crude petroleum and gas;2007;11.3;9.9;8.8;7.8;30193.0;29713.0;480.0;24897.0;19487.0;769.0;3839.0;22.0;79.0;498.0;106.0;75.0;8.0;224.0;2826.0;801.0;5296.0;5357.0
17;11 Extraction of crude petroleum and gas;2008;10.1;8.8;5.6;5.4;40599.0;40073.0;526.0;33419.0;25830.0;693.0;5906.0;42.0;75.0;292.0;288.0;51.0;9.0;272.0;4878.0;990.0;7180.0;8172.0
