ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1
0;Beroeps- en eigen vervoer;Totaal;1955;
1;Beroeps- en eigen vervoer;Totaal;1956;
2;Beroeps- en eigen vervoer;Totaal;1957;
3;Beroeps- en eigen vervoer;Totaal;1958;
4;Beroeps- en eigen vervoer;Totaal;1959;
5;Beroeps- en eigen vervoer;Totaal;1960;
6;Beroeps- en eigen vervoer;Totaal;1961;
7;Beroeps- en eigen vervoer;Totaal;1962;
8;Beroeps- en eigen vervoer;Totaal;1963;
9;Beroeps- en eigen vervoer;Totaal;1964;
10;Beroeps- en eigen vervoer;Totaal;1965;
11;Beroeps- en eigen vervoer;Totaal;1966;
12;Beroeps- en eigen vervoer;Totaal;1967;
13;Beroeps- en eigen vervoer;Totaal;1968;
14;Beroeps- en eigen vervoer;Totaal;1969;
15;Beroeps- en eigen vervoer;Totaal;1970;
16;Beroeps- en eigen vervoer;Totaal;1971;
17;Beroeps- en eigen vervoer;Totaal;1972;
18;Beroeps- en eigen vervoer;Totaal;1973;
19;Beroeps- en eigen vervoer;Totaal;1974;
20;Beroeps- en eigen vervoer;Totaal;1975;
21;Beroeps- en eigen vervoer;Totaal;1976;
22;Beroeps- en eigen vervoer;Totaal;1977;
23;Beroeps- en eigen vervoer;Totaal;1978;
24;Beroeps- en eigen vervoer;Totaal;1979;
25;Beroeps- en eigen vervoer;Totaal;1980;
26;Beroeps- en eigen vervoer;Totaal;1981;
27;Beroeps- en eigen vervoer;Totaal;1982;
28;Beroeps- en eigen vervoer;Totaal;1983;
29;Beroeps- en eigen vervoer;Totaal;1984;
30;Beroeps- en eigen vervoer;Totaal;1985;
31;Beroeps- en eigen vervoer;Totaal;1986;
32;Beroeps- en eigen vervoer;Totaal;1987;
33;Beroeps- en eigen vervoer;Totaal;1988;
34;Beroeps- en eigen vervoer;Totaal;1989;
35;Beroeps- en eigen vervoer;Totaal;1990;
36;Beroeps- en eigen vervoer;Totaal;1991;
37;Beroeps- en eigen vervoer;Totaal;1992;
38;Beroeps- en eigen vervoer;Totaal;1993;
39;Beroeps- en eigen vervoer;Totaal;1994;
40;Beroeps- en eigen vervoer;Totaal;1995;
41;Beroeps- en eigen vervoer;Totaal;1996;
42;Beroeps- en eigen vervoer;Totaal;1997;584441.0
43;Beroeps- en eigen vervoer;Totaal;1998;598510.0
44;Beroeps- en eigen vervoer;Totaal;1999;667002.0
45;Beroeps- en eigen vervoer;Totaal;2000;640579.0
46;Beroeps- en eigen vervoer;Totaal;2001;650092.0
47;Beroeps- en eigen vervoer;Totaal;2002;624668.0
48;Beroeps- en eigen vervoer;Totaal;2003;628812.0
49;Beroeps- en eigen vervoer;Totaal;2004;672318.0
50;Beroeps- en eigen vervoer;Totaal;2005;674947.0
51;Beroeps- en eigen vervoer;Totaal;2006;680409.0
52;Beroeps- en eigen vervoer;Totaal;2007;700291.0
53;Beroeps- en eigen vervoer;Totaal;2008;682134.0
54;Beroeps- en eigen vervoer;Totaal;2009;675315.0
55;Beroeps- en eigen vervoer;Totaal;2010;657702.0
56;Beroeps- en eigen vervoer;Totaal;2011;657859.0
57;Beroeps- en eigen vervoer;Totaal;2012;631705.0
58;Beroeps- en eigen vervoer;Totaal;2013;642050.0
59;Beroeps- en eigen vervoer;Totaal;2014;639692.0
60;Beroeps- en eigen vervoer;Totaal;2015;641440.0
61;Beroeps- en eigen vervoer;Totaal;2016;656417.0
62;Beroeps- en eigen vervoer;Totaal;2017;665992.0
63;Beroeps- en eigen vervoer;Totaal;2018;680169.0
64;Beroeps- en eigen vervoer;Totaal;2019;688739.0
65;Beroeps- en eigen vervoer;Totaal;2020;684241.0
66;Beroeps- en eigen vervoer;Totaal;2021;699323.0
67;Beroeps- en eigen vervoer;Totaal;2022;690726.0
68;Beroeps- en eigen vervoer;Totaal;2023;642195.0
69;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1955;
70;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1956;
71;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1957;
72;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1958;
73;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1959;
74;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1960;
75;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1961;
76;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1962;
77;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1963;
78;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1964;
79;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1965;
80;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1966;
81;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1967;
82;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1968;
83;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1969;
84;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1970;
85;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1971;
86;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1972;
87;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1973;
88;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1974;
89;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1975;
90;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1976;
91;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1977;
92;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1978;
93;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1979;
94;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1980;
95;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1981;
96;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1982;440114.0
97;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1983;415579.0
98;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1984;433858.0
99;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1985;431807.0
100;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1986;459919.0
101;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1987;465084.0
102;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1988;513015.0
103;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1989;499635.0
104;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1990;513250.0
105;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1991;508740.0
106;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1992;539861.0
107;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1993;527790.0
108;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1994;530680.0
109;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1995;543172.0
110;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1996;529070.0
111;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1997;564955.0
112;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1998;577684.0
113;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;1999;644206.0
114;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2000;618294.0
115;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2001;626096.0
116;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2002;601335.0
117;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2003;602083.0
118;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2004;640033.0
119;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2005;644042.0
120;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2006;652254.0
121;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2007;673400.0
122;Beroeps- en eigen vervoer;Binnenlands en bilateraal vervoer;2008;652853.0
