ID;TypeZelfstandigOndernemer;Marges;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6
0;Zelfstandig ondernemer (totaal);Waarde;2015;78.5;81.4;66.1;66.8;83.1;85.1
1;Zelfstandig ondernemer (totaal);Waarde;2017;78.3;81.1;66.0;66.4;82.1;84.7
2;Zelfstandig ondernemer (totaal);Waarde;2019;79.0;81.0;66.2;67.1;84.9;87.0
3;Zelfstandig ondernemer (totaal);Waarde;2021;78.0;81.0;66.0;67.2;79.6;81.1
4;Zelfstandig ondernemer (totaal);Waarde;2023;80.1;82.2;65.6;66.8;84.0;85.9
5;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2015;77.2;80.2;65.8;66.4;81.9;84.0
6;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2017;77.1;80.0;65.8;66.2;81.0;83.7
7;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2019;77.8;79.9;65.9;66.8;83.9;86.0
8;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2021;76.9;80.1;65.7;67.0;78.7;80.2
9;Zelfstandig ondernemer (totaal);Ondergrens 95%-interval;2023;78.9;81.1;65.3;66.4;83.0;84.9
10;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2015;79.8;82.6;66.5;67.2;84.2;86.2
11;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2017;79.4;82.2;66.3;66.7;83.1;85.6
12;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2019;80.1;82.1;66.5;67.4;85.9;87.9
13;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2021;79.0;82.0;66.3;67.5;80.6;82.0
14;Zelfstandig ondernemer (totaal);Bovengrens 95%-interval;2023;81.1;83.2;65.9;67.1;84.9;86.8
15;Zelfstandig ondernemer zonder personeel;Waarde;2015;78.9;81.8;66.8;67.2;83.0;85.1
16;Zelfstandig ondernemer zonder personeel;Waarde;2017;78.1;80.8;66.5;66.8;82.3;84.9
17;Zelfstandig ondernemer zonder personeel;Waarde;2019;79.4;81.2;66.8;67.6;85.5;87.3
18;Zelfstandig ondernemer zonder personeel;Waarde;2021;77.6;81.0;66.5;67.6;79.9;81.4
19;Zelfstandig ondernemer zonder personeel;Waarde;2023;80.5;82.4;66.1;67.1;84.2;85.8
20;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2015;77.4;80.5;66.4;66.7;81.7;83.8
21;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2017;76.8;79.6;66.2;66.4;81.1;83.7
22;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2019;78.0;79.9;66.4;67.2;84.3;86.2
23;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2021;76.5;79.9;66.1;67.3;78.8;80.3
24;Zelfstandig ondernemer zonder personeel;Ondergrens 95%-interval;2023;79.2;81.2;65.7;66.7;83.1;84.8
25;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2015;80.2;83.1;67.2;67.6;84.3;86.3
26;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2017;79.4;82.0;66.9;67.1;83.5;86.0
27;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2019;80.7;82.5;67.1;68.0;86.6;88.4
28;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2021;78.7;82.0;66.8;68.0;80.9;82.4
29;Zelfstandig ondernemer zonder personeel;Bovengrens 95%-interval;2023;81.6;83.5;66.4;67.4;85.3;86.9
30;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2015;78.9;81.8;66.6;67.2;83.4;84.9
31;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2017;78.5;81.2;66.4;66.7;83.0;85.3
32;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2019;79.8;81.7;66.6;67.5;86.3;87.7
33;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2021;77.6;81.0;66.4;67.6;81.3;82.5
34;Zelfstandig ondernemer z.p.-eigen arbeid;Waarde;2023;80.7;83.1;65.7;66.9;85.0;86.7
35;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2015;77.2;80.2;66.2;66.7;81.9;83.4
36;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2017;77.0;79.8;66.1;66.3;81.6;84.1
37;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2019;78.2;80.3;66.2;67.0;85.0;86.4
38;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2021;76.3;79.8;66.0;67.2;80.2;81.3
39;Zelfstandig ondernemer z.p.-eigen arbeid;Ondergrens 95%-interval;2023;79.3;81.8;65.4;66.5;83.7;85.5
40;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2015;80.5;83.3;67.1;67.7;84.8;86.3
41;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2017;80.0;82.6;66.8;67.1;84.3;86.6
42;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2019;81.2;83.1;67.0;67.9;87.5;88.9
43;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2021;78.8;82.2;66.7;68.0;82.5;83.6
44;Zelfstandig ondernemer z.p.-eigen arbeid;Bovengrens 95%-interval;2023;82.0;84.4;66.1;67.3;86.1;87.8
45;Zelfstandig ondernemer z.p.-producten;Waarde;2015;78.8;82.0;67.2;67.2;82.0;85.4
46;Zelfstandig ondernemer z.p.-producten;Waarde;2017;76.8;79.7;66.9;66.9;80.3;83.5
47;Zelfstandig ondernemer z.p.-producten;Waarde;2019;78.1;79.6;67.4;68.1;82.5;86.0
48;Zelfstandig ondernemer z.p.-producten;Waarde;2021;77.8;80.9;66.8;67.7;75.1;77.7
49;Zelfstandig ondernemer z.p.-producten;Waarde;2023;79.6;79.9;67.3;67.7;81.7;82.9
50;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2015;75.9;79.2;66.4;66.3;79.3;82.8
51;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2017;73.9;76.9;66.2;66.3;77.7;80.9
52;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2019;75.1;76.7;66.6;67.2;79.8;83.5
53;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2021;75.4;78.6;66.1;67.0;72.6;75.3
54;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2023;76.9;77.2;66.4;66.9;79.3;80.3
55;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2015;81.5;84.5;68.1;68.2;84.5;87.6
56;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2017;79.5;82.2;67.7;67.6;82.7;85.8
57;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2019;80.8;82.2;68.3;69.0;84.9;88.2
