ID;SBI93;Perioden;TotaalGevaarlijkAfval_1;ZureEnAnorganischeStoffenInOpl_2;AlkalischeAnorganischeStoffenInOpl_3;HalogeenarmeOrganischeStoffen_4;HalogeenrijkeOrganischeStoffen_5;StoffenMetZwareMetalen_6;AfvalstoffenMetBuitengewoneRisicoS_7;Overig_8;BewarenOverslag_9;DirectToepassenOfHergebruik_10;MechanischFysischBehandelen_11;ChemischFysischBehandelen_12;MicrobiologischBehandelen_13;ThermischBehandelen_14;Storten_15;Anders_16
0;Totaal bedrijfsklassen;1993;867.3;48.8;19.4;525.1;21.9;231.3;20.8;0.0;198.3;43.6;0.0;233.8;0.0;148.6;188.0;55.0
1;Totaal bedrijfsklassen;1994;884.7;49.1;18.2;495.5;18.7;150.6;11.4;141.1;223.3;33.9;7.7;217.2;28.3;165.3;204.2;4.6
2;Totaal bedrijfsklassen;1995;1004.5;62.3;21.0;587.7;24.9;199.6;8.8;100.2;277.3;60.4;5.3;273.1;26.1;182.1;172.8;7.4
3;Totaal bedrijfsklassen;1996;1015.6;66.7;23.2;598.9;29.3;197.3;11.0;89.1;307.1;58.8;17.5;308.7;40.2;161.8;117.6;3.9
4;Totaal bedrijfsklassen;1997;1276.6;63.0;32.7;746.4;29.4;208.7;8.7;187.6;373.6;45.5;27.7;417.0;113.2;149.0;146.3;4.4
5;A Landbouw, jacht en bosbouw;1993;1.1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.6;0.0;0.0;0.0;0.0
6;A Landbouw, jacht en bosbouw;1994;4.5;0.0;0.0;4.0;0.0;0.1;0.0;0.4;0.5;0.3;0.0;3.6;0.0;0.0;0.0;0.0
7;A Landbouw, jacht en bosbouw;1995;2.1;0.0;0.0;1.6;0.0;0.1;0.0;0.4;0.5;0.4;0.0;1.3;0.0;0.0;0.0;0.0
8;A Landbouw, jacht en bosbouw;1996;2.8;0.0;0.0;2.5;0.0;0.1;0.0;0.1;0.5;0.0;0.0;2.0;0.0;0.2;0.1;0.0
9;A Landbouw, jacht en bosbouw;1997;2.6;0.0;0.0;2.5;0.0;0.1;0.0;0.0;0.6;0.1;0.0;1.9;0.0;0.0;0.0;0.0
10;B Visserij;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;B Visserij;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;B Visserij;1995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;B Visserij;1996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;B Visserij;1997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;C Delfstoffenwinning;1993;24.6;0.5;0.1;23.5;0.0;0.4;0.0;0.0;1.5;0.0;0.0;21.0;0.0;0.0;0.4;1.7
16;C Delfstoffenwinning;1994;16.1;0.0;0.0;16.0;0.0;0.0;0.0;0.1;1.8;0.0;0.0;7.3;5.9;1.0;0.0;0.0
17;C Delfstoffenwinning;1995;24.6;0.1;0.0;24.2;0.0;0.1;0.0;0.1;2.0;0.0;0.0;18.9;3.1;0.5;0.0;0.0
18;C Delfstoffenwinning;1996;50.3;0.1;0.0;49.9;0.0;0.3;0.0;0.0;2.2;0.0;0.2;44.7;2.6;0.6;0.0;0.0
19;C Delfstoffenwinning;1997;65.0;0.7;0.0;63.6;0.2;0.2;0.0;0.2;11.4;0.0;1.8;43.8;7.3;0.6;0.1;0.0
20;D Industrie;1993;377.0;41.8;12.4;225.5;17.7;73.1;6.6;0.0;101.1;43.2;0.0;82.9;0.0;79.9;51.9;18.0
21;D Industrie;1994;357.2;42.9;12.0;210.0;14.9;48.4;3.1;25.9;106.2;32.5;1.9;83.9;6.2;91.9;30.6;3.9
22;D Industrie;1995;433.6;55.7;13.2;248.1;21.0;57.3;1.7;36.6;144.7;43.2;3.4;103.0;7.0;94.5;32.7;5.2
23;D Industrie;1996;418.3;59.2;14.3;243.8;25.2;50.0;2.0;23.7;140.8;45.4;11.6;103.0;20.1;72.2;22.0;3.1
24;D Industrie;1997;497.6;55.0;23.5;322.7;23.9;46.7;1.5;24.3;182.1;34.1;16.1;125.2;42.9;71.9;22.8;2.6
25;15 Voedingsmiddelen- en drankenindustrie;1993;4.5;0.1;0.1;3.8;0.0;0.5;0.0;0.0;2.2;0.0;0.0;2.0;0.0;0.3;0.1;0.0
26;15 Voedingsmiddelen- en drankenindustrie;1994;4.4;0.1;0.1;3.1;0.1;0.7;0.1;0.1;2.6;0.0;0.0;1.3;0.0;0.2;0.2;0.0
27;15 Voedingsmiddelen- en drankenindustrie;1995;4.7;0.1;0.2;3.2;0.1;1.0;0.0;0.1;3.3;0.0;0.0;1.0;0.1;0.1;0.2;0.0
28;15 Voedingsmiddelen- en drankenindustrie;1996;5.0;0.1;0.1;3.6;0.1;0.8;0.0;0.2;3.4;0.0;0.1;1.2;0.0;0.1;0.1;0.0
29;15 Voedingsmiddelen- en drankenindustrie;1997;12.3;0.3;0.1;10.6;0.1;0.8;0.1;0.4;5.7;0.0;0.2;1.3;0.1;5.0;0.0;0.0
30;16 Tabakverwerkende industrie;1993;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.0;0.0
31;16 Tabakverwerkende industrie;1994;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.0;0.0
32;16 Tabakverwerkende industrie;1995;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.0;0.0
33;16 Tabakverwerkende industrie;1996;0.3;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.0;0.0
34;16 Tabakverwerkende industrie;1997;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0
35;17 Textielindustrie;1993;4.3;0.0;0.1;2.3;0.2;1.7;0.0;0.0;0.9;0.0;0.0;1.7;0.0;0.2;0.0;1.5
36;17 Textielindustrie;1994;2.3;0.0;0.1;2.0;0.1;0.1;0.0;0.1;0.9;0.0;0.0;0.2;0.0;1.2;0.0;0.0
37;17 Textielindustrie;1995;2.7;0.0;0.2;2.3;0.1;0.1;0.0;0.0;0.9;0.0;0.0;0.3;0.0;1.4;0.0;0.0
38;17 Textielindustrie;1996;3.5;0.0;0.2;3.0;0.1;0.1;0.0;0.0;1.8;0.0;0.0;0.5;0.1;1.2;0.0;0.0
39;17 Textielindustrie;1997;3.2;0.0;0.1;2.8;0.1;0.2;0.0;0.1;2.0;0.0;0.0;0.5;0.0;0.7;0.0;0.0
40;18 Kleding- en bontindustrie;1993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;18 Kleding- en bontindustrie;1994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;18 Kleding- en bontindustrie;1995;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0
43;18 Kleding- en bontindustrie;1996;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;18 Kleding- en bontindustrie;1997;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0
45;19 Leer-, lederwaren- en schoenindustrie;1993;7.1;0.0;0.0;0.1;0.0;7.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;7.0;0.0
46;19 Leer-, lederwaren- en schoenindustrie;1994;3.0;0.0;0.0;0.1;0.0;0.0;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;2.9;0.0
47;19 Leer-, lederwaren- en schoenindustrie;1995;5.5;0.0;0.0;1.7;0.0;0.0;0.0;3.8;0.1;0.0;0.0;1.6;0.0;0.0;3.8;0.0
48;19 Leer-, lederwaren- en schoenindustrie;1996;8.1;0.0;0.0;5.9;0.0;0.0;0.0;2.2;0.0;0.0;0.0;5.9;0.0;0.0;2.2;0.0
49;19 Leer-, lederwaren- en schoenindustrie;1997;11.3;0.0;0.0;7.7;0.0;0.0;0.0;3.6;0.0;0.0;0.0;7.6;0.0;0.0;3.6;0.0
50;20 Hout-,kurk-,rietwarenind,geen meubels;1993;1.8;0.0;0.0;1.7;0.0;0.1;0.0;0.0;1.5;0.0;0.0;0.1;0.0;0.2;0.1;0.0
51;20 Hout-,kurk-,rietwarenind,geen meubels;1994;1.9;0.0;0.0;1.8;0.0;0.1;0.0;0.0;1.1;0.0;0.4;0.2;0.0;0.1;0.0;0.0
52;20 Hout-,kurk-,rietwarenind,geen meubels;1995;2.3;0.0;0.0;2.1;0.0;0.1;0.0;0.0;1.3;0.0;0.4;0.5;0.0;0.1;0.0;0.0
53;20 Hout-,kurk-,rietwarenind,geen meubels;1996;2.5;0.0;0.0;2.4;0.0;0.0;0.0;0.0;1.7;0.0;0.3;0.4;0.0;0.1;0.0;0.0
54;20 Hout-,kurk-,rietwarenind,geen meubels;1997;2.1;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.9;0.0;0.4;0.8;0.0;0.1;0.0;0.0
55;21 Papier(waren)- en karton(waren)ind.;1993;3.5;0.1;0.0;3.2;0.0;0.2;0.0;0.0;2.2;0.1;0.0;0.9;0.0;0.3;0.0;0.0
56;21 Papier(waren)- en karton(waren)ind.;1994;4.0;0.1;0.0;3.7;0.0;0.0;0.0;0.1;2.2;0.0;0.1;1.1;0.0;0.5;0.1;0.0
57;21 Papier(waren)- en karton(waren)ind.;1995;3.6;0.1;0.1;3.1;0.1;0.1;0.0;0.1;2.1;0.0;0.1;0.9;0.0;0.4;0.1;0.0
58;21 Papier(waren)- en karton(waren)ind.;1996;3.8;0.1;0.1;3.2;0.1;0.1;0.0;0.2;2.4;0.0;0.1;0.8;0.0;0.4;0.0;0.0
59;21 Papier(waren)- en karton(waren)ind.;1997;4.7;0.0;0.1;3.9;0.2;0.1;0.0;0.4;2.8;0.0;0.2;1.3;0.0;0.4;0.1;0.0
60;22 Uitgeverijen,drukkerijen,reproductie;1993;10.0;2.0;4.3;3.3;0.1;0.3;0.0;0.0;4.6;0.0;0.0;4.9;0.0;0.5;0.0;0.0
61;22 Uitgeverijen,drukkerijen,reproductie;1994;10.2;1.9;4.1;3.4;0.0;0.6;0.0;0.2;4.1;0.0;0.2;5.2;0.0;0.7;0.0;0.0
62;22 Uitgeverijen,drukkerijen,reproductie;1995;10.7;1.9;4.0;3.6;0.2;0.7;0.0;0.2;4.2;0.0;0.2;5.7;0.0;0.6;0.0;0.0
63;22 Uitgeverijen,drukkerijen,reproductie;1996;11.5;1.9;4.0;4.2;0.3;0.8;0.0;0.2;4.6;0.0;0.2;5.5;0.0;0.6;0.6;0.0
