ID;Systemen;Perioden;InGebruikGenomenInstallaties_1;UitGebruikGenomenInstallaties_2;OpgesteldeInstallatiesEindeVanJaar_3;InGebruikGenomenCollectoroppervlak_4;UitGebruikGenomenCollectoroppervlak_5;OpgesteldCollectoroppervlakEindeJaar_6;Warmteproductie_7
0;Totaal zonnewarmte;1990;;;;9095;1235;73228;100
1;Totaal zonnewarmte;1991;;;;11611;4280;80559;113
2;Totaal zonnewarmte;1992;;;;17311;2976;94894;136
3;Totaal zonnewarmte;1993;;;;14474;4018;105350;154
4;Totaal zonnewarmte;1994;;;;17584;1957;120977;180
5;Totaal zonnewarmte;1995;;;;20782;2677;139082;211
6;Totaal zonnewarmte;1996;;;;23238;4486;157835;244
7;Totaal zonnewarmte;1997;;;;33253;5744;185344;294
8;Totaal zonnewarmte;1998;;;;34173;4507;215010;345
9;Totaal zonnewarmte;1999;;;;35928;2434;248504;404
10;Totaal zonnewarmte;2000;;;;35563;8373;275694;454
11;Totaal zonnewarmte;2001;;;;38171;7342;306523;511
12;Totaal zonnewarmte;2002;;;;41582;6050;342055;575
13;Totaal zonnewarmte;2003;;;;29692;3703;368044;624
14;Totaal zonnewarmte;2004;;;;33878;6459;395462;674
15;Totaal zonnewarmte;2005;;;;26338;0;421800;719
16;Totaal zonnewarmte;2006;;;;20964;0;442764;755
17;Totaal zonnewarmte;2007;;;;25222;0;467986;798
18;Totaal zonnewarmte;2008;;;;26369;0;494355;846
19;Totaal zonnewarmte;2009;;;;44176;0;538531;926
20;Totaal zonnewarmte;2010;;;;46731;9095;576167;994
21;Totaal zonnewarmte;2011;;;;36026;11611;600582;1040
22;Totaal zonnewarmte;2012;;;;31683;17311;614954;1070
23;Totaal zonnewarmte;2013;;;;32499;14244;633209;1106
24;Totaal zonnewarmte;2014;;;;28196;17572;643832;1128
25;Totaal zonnewarmte;2015;;;;24140;20575;647397;1137
26;Totaal zonnewarmte;2016;;;;27937;23129;652205;1147
27;Totaal zonnewarmte;2017;;;;31004;32938;650271;1144
28;Totaal zonnewarmte;2018;;;;40835;34173;656934;1156
29;Totaal zonnewarmte;2019;;;;51491;35928;672496;1180
30;Totaal zonnewarmte;2020;;;;32482;35563;669416;1176
31;Totaal zonnewarmte;2021;;;;30609;38171;661854;1164
32;Totaal zonnewarmte;2022;;;;42097;41582;662369;1168
33;Totaal zonnewarmte;2023;;;;34851;29692;667528;1176
34;Zonnewarmte, afgedekte systemen <= 6 m²;1990;544.0;0.0;2129.0;1511;0;5990;11
35;Zonnewarmte, afgedekte systemen <= 6 m²;1991;1815.0;0.0;3944.0;5278;0;11268;21
36;Zonnewarmte, afgedekte systemen <= 6 m²;1992;2135.0;0.0;6079.0;6715;0;17984;34
37;Zonnewarmte, afgedekte systemen <= 6 m²;1993;1914.0;12.0;7981.0;5969;48;23904;45
38;Zonnewarmte, afgedekte systemen <= 6 m²;1994;2505.0;5.0;10481.0;8137;14;32028;60
39;Zonnewarmte, afgedekte systemen <= 6 m²;1995;3375.0;52.0;13804.0;11028;143;42913;81
40;Zonnewarmte, afgedekte systemen <= 6 m²;1996;4495.0;124.0;18175.0;14647;330;57230;108
41;Zonnewarmte, afgedekte systemen <= 6 m²;1997;7917.0;233.0;25859.0;21759;643;78346;148
42;Zonnewarmte, afgedekte systemen <= 6 m²;1998;7526.0;326.0;33059.0;20229;1013;97563;184
43;Zonnewarmte, afgedekte systemen <= 6 m²;1999;8565.0;142.0;41482.0;25721;385;122899;232
44;Zonnewarmte, afgedekte systemen <= 6 m²;2000;7971.0;184.0;49269.0;24682;496;147085;278
45;Zonnewarmte, afgedekte systemen <= 6 m²;2001;8736.0;126.0;57879.0;27257;340;174003;328
46;Zonnewarmte, afgedekte systemen <= 6 m²;2002;10035.0;240.0;67674.0;28080;658;201424;380
47;Zonnewarmte, afgedekte systemen <= 6 m²;2003;8385.0;125.0;75934.0;23450;348;224526;424
48;Zonnewarmte, afgedekte systemen <= 6 m²;2004;7844.0;249.0;83529.0;21284;705;245104;463
49;Zonnewarmte, afgedekte systemen <= 6 m²;2005;7294.0;0.0;90823.0;17577;0;262681;496
50;Zonnewarmte, afgedekte systemen <= 6 m²;2006;5551.0;0.0;96374.0;13010;0;275691;520
51;Zonnewarmte, afgedekte systemen <= 6 m²;2007;6214.0;0.0;102588.0;17021;0;292712;552
52;Zonnewarmte, afgedekte systemen <= 6 m²;2008;6977.0;0.0;109565.0;19420;0;312132;589
53;Zonnewarmte, afgedekte systemen <= 6 m²;2009;10714.0;0.0;120279.0;31842;0;343974;649
54;Zonnewarmte, afgedekte systemen <= 6 m²;2010;8318.0;544.0;128053.0;25434;1511;367897;694
55;Zonnewarmte, afgedekte systemen <= 6 m²;2011;9109.0;1815.0;135347.0;24600;5278;387219;731
56;Zonnewarmte, afgedekte systemen <= 6 m²;2012;7038.0;2135.0;140250.0;20730;6715;401234;757
57;Zonnewarmte, afgedekte systemen <= 6 m²;2013;7895.0;1914.0;146231.0;21650;5969;416915;787
58;Zonnewarmte, afgedekte systemen <= 6 m²;2014;7268.0;2501.0;150998.0;19901;8126;428691;809
59;Zonnewarmte, afgedekte systemen <= 6 m²;2015;5145.0;3300.0;152843.0;15664;10821;433534;818
60;Zonnewarmte, afgedekte systemen <= 6 m²;2016;6050.0;4454.0;154439.0;18712;14538;437707;826
61;Zonnewarmte, afgedekte systemen <= 6 m²;2017;6303.0;7804.0;152938.0;18077;21443;434341;820
62;Zonnewarmte, afgedekte systemen <= 6 m²;2018;;;;23479;20229;437591;826
63;Zonnewarmte, afgedekte systemen <= 6 m²;2019;;;;23874;25721;435744;822
64;Zonnewarmte, afgedekte systemen <= 6 m²;2020;;;;22785;24682;433846;819
65;Zonnewarmte, afgedekte systemen <= 6 m²;2021;;;;17634;27257;424224;801
66;Zonnewarmte, afgedekte systemen <= 6 m²;2022;;;;27629;28080;423773;800
67;Zonnewarmte, afgedekte systemen <= 6 m²;2023;;;;22030;23450;422353;797
68;Zonnewarmte, afgedekte systemen > 6 m²;1990;;;;1206;125;10518;18
69;Zonnewarmte, afgedekte systemen > 6 m²;1991;;;;716;265;10969;19
70;Zonnewarmte, afgedekte systemen > 6 m²;1992;;;;555;526;10998;19
71;Zonnewarmte, afgedekte systemen > 6 m²;1993;;;;1979;80;12896;22
72;Zonnewarmte, afgedekte systemen > 6 m²;1994;;;;2175;79;14993;26
73;Zonnewarmte, afgedekte systemen > 6 m²;1995;;;;2005;426;16571;29
74;Zonnewarmte, afgedekte systemen > 6 m²;1996;;;;1841;214;18198;32
75;Zonnewarmte, afgedekte systemen > 6 m²;1997;;;;3680;542;21336;38
76;Zonnewarmte, afgedekte systemen > 6 m²;1998;;;;3512;291;24557;44
77;Zonnewarmte, afgedekte systemen > 6 m²;1999;;;;2407;400;26563;48
78;Zonnewarmte, afgedekte systemen > 6 m²;2000;;;;3080;3935;25708;47
79;Zonnewarmte, afgedekte systemen > 6 m²;2001;;;;3414;780;28342;52
80;Zonnewarmte, afgedekte systemen > 6 m²;2002;;;;6002;900;33444;60
81;Zonnewarmte, afgedekte systemen > 6 m²;2003;;;;4235;493;37187;66
82;Zonnewarmte, afgedekte systemen > 6 m²;2004;;;;5061;610;41639;74
83;Zonnewarmte, afgedekte systemen > 6 m²;2005;;;;2582;0;44221;79
84;Zonnewarmte, afgedekte systemen > 6 m²;2006;;;;1751;0;45972;82
85;Zonnewarmte, afgedekte systemen > 6 m²;2007;;;;2485;0;48457;86
86;Zonnewarmte, afgedekte systemen > 6 m²;2008;;;;3139;0;51596;92
87;Zonnewarmte, afgedekte systemen > 6 m²;2009;;;;11016;0;62612;111
88;Zonnewarmte, afgedekte systemen > 6 m²;2010;;;;18070;1206;79475;138
89;Zonnewarmte, afgedekte systemen > 6 m²;2011;;;;8805;716;87564;151
90;Zonnewarmte, afgedekte systemen > 6 m²;2012;;;;8332;555;95341;164
91;Zonnewarmte, afgedekte systemen > 6 m²;2013;;;;8228;1749;101821;175
92;Zonnewarmte, afgedekte systemen > 6 m²;2014;;;;5674;2175;105320;181
93;Zonnewarmte, afgedekte systemen > 6 m²;2015;;;;5855;2005;109170;187
94;Zonnewarmte, afgedekte systemen > 6 m²;2016;;;;6605;1841;113934;194
95;Zonnewarmte, afgedekte systemen > 6 m²;2017;;;;10305;3680;120559;204
96;Zonnewarmte, afgedekte systemen > 6 m²;2018;;;;14735;3512;131782;220
97;Zonnewarmte, afgedekte systemen > 6 m²;2019;;;;24996;2407;154371;254
98;Zonnewarmte, afgedekte systemen > 6 m²;2020;;;;7077;3080;158367;260
99;Zonnewarmte, afgedekte systemen > 6 m²;2021;;;;10354;3414;165307;273
100;Zonnewarmte, afgedekte systemen > 6 m²;2022;;;;11847;6002;171151;283
101;Zonnewarmte, afgedekte systemen > 6 m²;2023;;;;10201;4235;177116;293
102;Zonnewarmte, onafgedekte systemen;1990;;;;6378;1110;56719;71
103;Zonnewarmte, onafgedekte systemen;1991;;;;5617;4015;58321;73
104;Zonnewarmte, onafgedekte systemen;1992;;;;10041;2450;65913;83
105;Zonnewarmte, onafgedekte systemen;1993;;;;6527;3890;68549;86
106;Zonnewarmte, onafgedekte systemen;1994;;;;7272;1864;73957;93
107;Zonnewarmte, onafgedekte systemen;1995;;;;7750;2108;79598;100
108;Zonnewarmte, onafgedekte systemen;1996;;;;6750;3942;82406;104
109;Zonnewarmte, onafgedekte systemen;1997;;;;7814;4559;85662;108
110;Zonnewarmte, onafgedekte systemen;1998;;;;10432;3202;92891;117
111;Zonnewarmte, onafgedekte systemen;1999;;;;7800;1649;99042;125
112;Zonnewarmte, onafgedekte systemen;2000;;;;7800;3941;102901;129
113;Zonnewarmte, onafgedekte systemen;2001;;;;7500;6223;104178;131
114;Zonnewarmte, onafgedekte systemen;2002;;;;7500;4492;107186;135
115;Zonnewarmte, onafgedekte systemen;2003;;;;2007;2862;106331;134
116;Zonnewarmte, onafgedekte systemen;2004;;;;7533;5144;108719;137
117;Zonnewarmte, onafgedekte systemen;2005;;;;6179;0;114898;145
118;Zonnewarmte, onafgedekte systemen;2006;;;;6203;0;121101;152
119;Zonnewarmte, onafgedekte systemen;2007;;;;5716;0;126817;160
120;Zonnewarmte, onafgedekte systemen;2008;;;;3810;0;130627;164
121;Zonnewarmte, onafgedekte systemen;2009;;;;1318;0;131945;166
122;Zonnewarmte, onafgedekte systemen;2010;;;;3227;6378;128795;162
123;Zonnewarmte, onafgedekte systemen;2011;;;;2621;5617;125799;158
124;Zonnewarmte, onafgedekte systemen;2012;;;;2621;10041;118378;149
125;Zonnewarmte, onafgedekte systemen;2013;;;;2621;6527;114473;144
126;Zonnewarmte, onafgedekte systemen;2014;;;;2621;7272;109822;138
127;Zonnewarmte, onafgedekte systemen;2015;;;;2621;7750;104693;132
128;Zonnewarmte, onafgedekte systemen;2016;;;;2621;6750;100564;127
129;Zonnewarmte, onafgedekte systemen;2017;;;;2621;7814;95371;120
130;Zonnewarmte, onafgedekte systemen;2018;;;;2621;10432;87561;110
131;Zonnewarmte, onafgedekte systemen;2019;;;;2621;7800;82382;104
132;Zonnewarmte, onafgedekte systemen;2020;;;;2621;7800;77203;97
133;Zonnewarmte, onafgedekte systemen;2021;;;;2621;7500;72324;91
134;Zonnewarmte, onafgedekte systemen;2022;;;;2621;7500;67445;85
135;Zonnewarmte, onafgedekte systemen;2023;;;;2621;2007;68059;86
