ID;BedrijfstakkenBranchesSBI2008;Perioden;Ondernemersvertrouwen_1
0;Totaal (ex. financieel of nutsbedrijven);2008 4e kwartaal;-7.0
1;Totaal (ex. financieel of nutsbedrijven);2009 1e kwartaal;-24.3
2;Totaal (ex. financieel of nutsbedrijven);2009 2e kwartaal;-29.7
3;Totaal (ex. financieel of nutsbedrijven);2009 3e kwartaal;-23.5
4;Totaal (ex. financieel of nutsbedrijven);2009 4e kwartaal;-13.5
5;Totaal (ex. financieel of nutsbedrijven);2010 1e kwartaal;-7.1
6;Totaal (ex. financieel of nutsbedrijven);2010 2e kwartaal;0.5
7;Totaal (ex. financieel of nutsbedrijven);2010 3e kwartaal;3.4
8;Totaal (ex. financieel of nutsbedrijven);2010 4e kwartaal;6.1
9;Totaal (ex. financieel of nutsbedrijven);2011 1e kwartaal;7.2
10;Totaal (ex. financieel of nutsbedrijven);2011 2e kwartaal;10.1
11;Totaal (ex. financieel of nutsbedrijven);2011 3e kwartaal;3.2
12;Totaal (ex. financieel of nutsbedrijven);2011 4e kwartaal;-4.4
13;Totaal (ex. financieel of nutsbedrijven);2012 1e kwartaal;-6.3
14;Totaal (ex. financieel of nutsbedrijven);2012 2e kwartaal;-6.8
15;Totaal (ex. financieel of nutsbedrijven);2012 3e kwartaal;-8.6
16;Totaal (ex. financieel of nutsbedrijven);2012 4e kwartaal;-9.2
17;Totaal (ex. financieel of nutsbedrijven);2013 1e kwartaal;-10.7
18;Totaal (ex. financieel of nutsbedrijven);2013 2e kwartaal;-11.7
19;Totaal (ex. financieel of nutsbedrijven);2013 3e kwartaal;-8.7
20;Totaal (ex. financieel of nutsbedrijven);2013 4e kwartaal;-2.7
21;Totaal (ex. financieel of nutsbedrijven);2014 1e kwartaal;1.6
22;Totaal (ex. financieel of nutsbedrijven);2014 2e kwartaal;4.7
23;Totaal (ex. financieel of nutsbedrijven);2014 3e kwartaal;2.9
24;Totaal (ex. financieel of nutsbedrijven);2014 4e kwartaal;4.9
25;Totaal (ex. financieel of nutsbedrijven);2015 1e kwartaal;5.6
26;Totaal (ex. financieel of nutsbedrijven);2015 2e kwartaal;5.4
27;Totaal (ex. financieel of nutsbedrijven);2015 3e kwartaal;8.7
28;Totaal (ex. financieel of nutsbedrijven);2015 4e kwartaal;7.4
29;Totaal (ex. financieel of nutsbedrijven);2016 1e kwartaal;9.3
30;Totaal (ex. financieel of nutsbedrijven);2016 2e kwartaal;8.8
31;Totaal (ex. financieel of nutsbedrijven);2016 3e kwartaal;7.9
32;Totaal (ex. financieel of nutsbedrijven);2016 4e kwartaal;9.2
33;Totaal (ex. financieel of nutsbedrijven);2017 1e kwartaal;14.7
34;Totaal (ex. financieel of nutsbedrijven);2017 2e kwartaal;15.5
35;Totaal (ex. financieel of nutsbedrijven);2017 3e kwartaal;15.9
36;Totaal (ex. financieel of nutsbedrijven);2017 4e kwartaal;13.4
37;Totaal (ex. financieel of nutsbedrijven);2018 1e kwartaal;18.1
38;Totaal (ex. financieel of nutsbedrijven);2018 2e kwartaal;14.2
39;Totaal (ex. financieel of nutsbedrijven);2018 3e kwartaal;15.0
40;Totaal (ex. financieel of nutsbedrijven);2018 4e kwartaal;13.4
41;Totaal (ex. financieel of nutsbedrijven);2019 1e kwartaal;10.6
42;Totaal (ex. financieel of nutsbedrijven);2019 2e kwartaal;12.0
43;Totaal (ex. financieel of nutsbedrijven);2019 3e kwartaal;10.6
44;Totaal (ex. financieel of nutsbedrijven);2019 4e kwartaal;6.6
45;Totaal (ex. financieel of nutsbedrijven);2020 1e kwartaal;6.4
46;Totaal (ex. financieel of nutsbedrijven);2020 2e kwartaal;-37.2
47;Totaal (ex. financieel of nutsbedrijven);2020 3e kwartaal;-19.3
48;Totaal (ex. financieel of nutsbedrijven);2020 4e kwartaal;-4.0
49;Totaal (ex. financieel of nutsbedrijven);2021 1e kwartaal;-6.0
50;Totaal (ex. financieel of nutsbedrijven);2021 2e kwartaal;2.3
51;Totaal (ex. financieel of nutsbedrijven);2021 3e kwartaal;18.4
52;Totaal (ex. financieel of nutsbedrijven);2021 4e kwartaal;19.9
53;Totaal (ex. financieel of nutsbedrijven);2022 1e kwartaal;6.4
54;Totaal (ex. financieel of nutsbedrijven);2022 2e kwartaal;16.8
55;Totaal (ex. financieel of nutsbedrijven);2022 3e kwartaal;8.2
56;Totaal (ex. financieel of nutsbedrijven);2022 4e kwartaal;-0.9
57;Totaal (ex. financieel of nutsbedrijven);2023 1e kwartaal;6.4
58;Totaal (ex. financieel of nutsbedrijven);2023 2e kwartaal;7.5
59;B Delfstoffenwinning;2008 4e kwartaal;-13.8
60;B Delfstoffenwinning;2009 1e kwartaal;-27.2
61;B Delfstoffenwinning;2009 2e kwartaal;-38.2
62;B Delfstoffenwinning;2009 3e kwartaal;-28.1
63;B Delfstoffenwinning;2009 4e kwartaal;-10.7
64;B Delfstoffenwinning;2010 1e kwartaal;-17.0
65;B Delfstoffenwinning;2010 2e kwartaal;4.5
66;B Delfstoffenwinning;2010 3e kwartaal;2.8
67;B Delfstoffenwinning;2010 4e kwartaal;7.9
68;B Delfstoffenwinning;2011 1e kwartaal;13.7
69;B Delfstoffenwinning;2011 2e kwartaal;7.9
70;B Delfstoffenwinning;2011 3e kwartaal;6.1
71;B Delfstoffenwinning;2011 4e kwartaal;-4.3
72;B Delfstoffenwinning;2012 1e kwartaal;-7.5
73;B Delfstoffenwinning;2012 2e kwartaal;1.0
74;B Delfstoffenwinning;2012 3e kwartaal;-9.7
75;B Delfstoffenwinning;2012 4e kwartaal;5.4
76;B Delfstoffenwinning;2013 1e kwartaal;10.5
77;B Delfstoffenwinning;2013 2e kwartaal;1.6
78;B Delfstoffenwinning;2013 3e kwartaal;12.1
79;B Delfstoffenwinning;2013 4e kwartaal;-0.1
80;B Delfstoffenwinning;2014 1e kwartaal;4.2
81;B Delfstoffenwinning;2014 2e kwartaal;14.5
82;B Delfstoffenwinning;2014 3e kwartaal;14.2
83;B Delfstoffenwinning;2014 4e kwartaal;15.4
84;B Delfstoffenwinning;2015 1e kwartaal;-12.3
85;B Delfstoffenwinning;2015 2e kwartaal;-12.3
86;B Delfstoffenwinning;2015 3e kwartaal;0.4
87;B Delfstoffenwinning;2015 4e kwartaal;2.6
88;B Delfstoffenwinning;2016 1e kwartaal;-15.6
89;B Delfstoffenwinning;2016 2e kwartaal;-17.9
90;B Delfstoffenwinning;2016 3e kwartaal;-20.1
91;B Delfstoffenwinning;2016 4e kwartaal;-32.6
92;B Delfstoffenwinning;2017 1e kwartaal;-14.6
93;B Delfstoffenwinning;2017 2e kwartaal;-2.8
94;B Delfstoffenwinning;2017 3e kwartaal;-18.5
95;B Delfstoffenwinning;2017 4e kwartaal;-14.1
96;B Delfstoffenwinning;2018 1e kwartaal;0.5
97;B Delfstoffenwinning;2018 2e kwartaal;-13.9
98;B Delfstoffenwinning;2018 3e kwartaal;-20.5
99;B Delfstoffenwinning;2018 4e kwartaal;-14.4
100;B Delfstoffenwinning;2019 1e kwartaal;4.4
101;B Delfstoffenwinning;2019 2e kwartaal;-1.0
102;B Delfstoffenwinning;2019 3e kwartaal;8.9
103;B Delfstoffenwinning;2019 4e kwartaal;-8.5
104;B Delfstoffenwinning;2020 1e kwartaal;-10.6
105;B Delfstoffenwinning;2020 2e kwartaal;-42.0
106;B Delfstoffenwinning;2020 3e kwartaal;-24.5
107;B Delfstoffenwinning;2020 4e kwartaal;-17.1
108;B Delfstoffenwinning;2021 1e kwartaal;-16.3
109;B Delfstoffenwinning;2021 2e kwartaal;-4.8
110;B Delfstoffenwinning;2021 3e kwartaal;15.2
